Time,PG2
0.0,18
0.00390625,33
0.0078125,43
0.01171875,51
0.015625,58
0.01953125,61
0.0234375,51
0.02734375,30
0.03125,2
0.03515625,-24
0.0390625,-40
0.04296875,-41
0.046875,-30
0.05078125,-19
0.0546875,-21
0.05859375,-34
0.0625,-51
0.06640625,-61
0.0703125,-55
0.07421875,-31
0.078125,6
0.08203125,46
0.0859375,78
0.08984375,100
0.09375,112
0.09765625,114
0.1015625,104
0.10546875,85
0.109375,66
0.11328125,51
0.1171875,42
0.12109375,38
0.125,35
0.12890625,26
0.1328125,4
0.13671875,-27
0.140625,-56
0.14453125,-78
0.1484375,-93
0.15234375,-99
0.15625,-97
0.16015625,-88
0.1640625,-74
0.16796875,-56
0.171875,-32
0.17578125,-6
0.1796875,15
0.18359375,33
0.1875,48
0.19140625,64
0.1953125,77
0.19921875,86
0.203125,89
0.20703125,84
0.2109375,71
0.21484375,57
0.21875,48
0.22265625,45
0.2265625,40
0.23046875,30
0.234375,13
0.23828125,-11
0.2421875,-36
0.24609375,-55
0.25,-62
0.25390625,-60
0.2578125,-52
0.26171875,-44
0.265625,-40
0.26953125,-39
0.2734375,-40
0.27734375,-41
0.28125,-38
0.28515625,-31
0.2890625,-20
0.29296875,-6
0.296875,12
0.30078125,30
0.3046875,47
0.30859375,61
0.3125,70
0.31640625,65
0.3203125,44
0.32421875,13
0.328125,-16
0.33203125,-31
0.3359375,-29
0.33984375,-11
0.34375,12
0.34765625,27
0.3515625,26
0.35546875,15
0.359375,12
0.36328125,32
0.3671875,70
0.37109375,110
0.375,136
0.37890625,139
0.3828125,117
0.38671875,81
0.390625,51
0.39453125,39
0.3984375,41
0.40234375,40
0.40625,25
0.41015625,-7
0.4140625,-49
0.41796875,-90
0.421875,-118
0.42578125,-128
0.4296875,-118
0.43359375,-94
0.4375,-68
0.44140625,-49
0.4453125,-37
0.44921875,-33
0.453125,-35
0.45703125,-37
0.4609375,-33
0.46484375,-23
0.46875,-9
0.47265625,3
0.4765625,7
0.48046875,-4
0.484375,-25
0.48828125,-48
0.4921875,-66
0.49609375,-74
0.5,-71
0.50390625,-55
0.5078125,-31
0.51171875,-6
0.515625,13
0.51953125,27
0.5234375,40
0.52734375,53
0.53125,63
0.53515625,71
0.5390625,82
0.54296875,94
0.546875,96
0.55078125,85
0.5546875,62
0.55859375,30
0.5625,-3
0.56640625,-27
0.5703125,-38
0.57421875,-40
0.578125,-39
0.58203125,-41
0.5859375,-52
0.58984375,-70
0.59375,-85
0.59765625,-89
0.6015625,-79
0.60546875,-59
0.609375,-33
0.61328125,-3
0.6171875,24
0.62109375,45
0.625,58
0.62890625,61
0.6328125,57
0.63671875,50
0.640625,45
0.64453125,40
0.6484375,29
0.65234375,12
0.65625,-12
0.66015625,-43
0.6640625,-76
0.66796875,-100
0.671875,-106
0.67578125,-96
0.6796875,-81
0.68359375,-69
0.6875,-67
0.69140625,-74
0.6953125,-82
0.69921875,-81
0.703125,-64
0.70703125,-25
0.7109375,29
0.71484375,85
0.71875,125
0.72265625,144
0.7265625,142
0.73046875,123
0.734375,92
0.73828125,61
0.7421875,38
0.74609375,24
0.75,13
0.75390625,-4
0.7578125,-29
0.76171875,-60
0.765625,-95
0.76953125,-125
0.7734375,-142
0.77734375,-143
0.78125,-134
0.78515625,-118
0.7890625,-99
0.79296875,-78
0.796875,-55
0.80078125,-28
0.8046875,8
0.80859375,51
0.8125,97
0.81640625,134
0.8203125,153
0.82421875,147
0.828125,115
0.83203125,61
0.8359375,-2
0.83984375,-55
0.84375,-86
0.84765625,-98
0.8515625,-99
0.85546875,-95
0.859375,-89
0.86328125,-88
0.8671875,-88
0.87109375,-85
0.875,-73
0.87890625,-56
0.8828125,-36
0.88671875,-14
0.890625,9
0.89453125,31
0.8984375,52
0.90234375,71
0.90625,86
0.91015625,99
0.9140625,110
