Time,PG2
0.0,58
0.00390625,71
0.0078125,84
0.01171875,96
0.015625,105
0.01953125,111
0.0234375,112
0.02734375,111
0.03125,108
0.03515625,104
0.0390625,100
0.04296875,95
0.046875,88
0.05078125,78
0.0546875,66
0.05859375,52
0.0625,38
0.06640625,26
0.0703125,15
0.07421875,7
0.078125,3
0.08203125,4
0.0859375,9
0.08984375,18
0.09375,28
0.09765625,38
0.1015625,48
0.10546875,56
0.109375,64
0.11328125,68
0.1171875,70
0.12109375,68
0.125,63
0.12890625,56
0.1328125,51
0.13671875,48
0.140625,47
0.14453125,43
0.1484375,38
0.15234375,30
0.15625,20
0.16015625,11
0.1640625,5
0.16796875,0
0.171875,-3
0.17578125,-7
0.1796875,-11
0.18359375,-15
0.1875,-19
0.19140625,-22
0.1953125,-24
0.19921875,-24
0.203125,-22
0.20703125,-17
0.2109375,-13
0.21484375,-10
0.21875,-11
0.22265625,-17
0.2265625,-25
0.23046875,-32
0.234375,-36
0.23828125,-36
0.2421875,-34
0.24609375,-30
0.25,-27
0.25390625,-25
0.2578125,-25
0.26171875,-25
0.265625,-25
0.26953125,-26
0.2734375,-28
0.27734375,-28
0.28125,-25
0.28515625,-21
0.2890625,-17
0.29296875,-14
0.296875,-12
0.30078125,-11
0.3046875,-9
0.30859375,-4
0.3125,4
0.31640625,10
0.3203125,13
0.32421875,11
0.328125,4
0.33203125,-3
0.3359375,-6
0.33984375,-3
0.34375,4
0.34765625,13
0.3515625,20
0.35546875,21
0.359375,16
0.36328125,8
0.3671875,-2
0.37109375,-10
0.375,-16
0.37890625,-20
0.3828125,-21
0.38671875,-20
0.390625,-17
0.39453125,-13
0.3984375,-8
0.40234375,-2
0.40625,4
0.41015625,11
0.4140625,18
0.41796875,25
0.421875,30
0.42578125,32
0.4296875,32
0.43359375,29
0.4375,26
0.44140625,24
0.4453125,22
0.44921875,21
0.453125,19
0.45703125,16
0.4609375,13
0.46484375,11
0.46875,9
0.47265625,8
0.4765625,5
0.48046875,-1
0.484375,-8
0.48828125,-15
0.4921875,-19
0.49609375,-18
0.5,-12
0.50390625,-3
0.5078125,6
0.51171875,15
0.515625,21
0.51953125,24
0.5234375,23
0.52734375,19
0.53125,11
0.53515625,1
0.5390625,-8
0.54296875,-16
0.546875,-22
0.55078125,-26
0.5546875,-29
0.55859375,-33
0.5625,-38
0.56640625,-44
0.5703125,-51
0.57421875,-55
0.578125,-58
0.58203125,-58
0.5859375,-55
0.58984375,-51
0.59375,-47
0.59765625,-42
0.6015625,-34
0.60546875,-24
0.609375,-12
0.61328125,0
0.6171875,8
0.62109375,11
0.625,9
0.62890625,4
0.6328125,-2
0.63671875,-6
0.640625,-7
0.64453125,-6
0.6484375,-6
0.65234375,-6
0.65625,-8
0.66015625,-10
0.6640625,-10
0.66796875,-8
0.671875,-3
0.67578125,4
0.6796875,12
0.68359375,18
0.6875,22
0.69140625,24
0.6953125,25
0.69921875,26
0.703125,26
0.70703125,26
0.7109375,27
0.71484375,28
0.71875,29
0.72265625,30
0.7265625,30
0.73046875,27
0.734375,22
0.73828125,16
0.7421875,9
0.74609375,2
0.75,-4
0.75390625,-10
0.7578125,-17
0.76171875,-26
0.765625,-35
0.76953125,-41
0.7734375,-43
0.77734375,-40
0.78125,-33
0.78515625,-24
0.7890625,-16
0.79296875,-8
0.796875,-3
0.80078125,2
0.8046875,7
0.80859375,11
0.8125,14
0.81640625,14
0.8203125,12
0.82421875,6
0.828125,0
0.83203125,-6
0.8359375,-10
0.83984375,-12
0.84375,-15
0.84765625,-18
0.8515625,-24
0.85546875,-30
0.859375,-36
0.86328125,-40
0.8671875,-43
0.87109375,-46
0.875,-48
0.87890625,-49
0.8828125,-49
0.88671875,-46
0.890625,-42
0.89453125,-38
0.8984375,-33
0.90234375,-29
0.90625,-21
0.91015625,-8
0.9140625,9
0.91796875,26
0.921875,39
0.92578125,46
0.9296875,44
0.93359375,37
0.9375,28
0.94140625,20
0.9453125,13
0.94921875,7
0.953125,0
0.95703125,-8
0.9609375,-16
0.96484375,-21
0.96875,-23
0.97265625,-20
0.9765625,-14
0.98046875,-6
0.984375,3
0.98828125,10
0.9921875,15
0.99609375,17
1.0,18
1.00390625,17
1.0078125,14
1.01171875,9
1.015625,6
1.01953125,4
1.0234375,3
1.02734375,2
1.03125,1
1.03515625,-2
1.0390625,-8
1.04296875,-16
1.046875,-24
1.05078125,-27
1.0546875,-26
1.05859375,-20
1.0625,-13
1.06640625,-8
1.0703125,-8
1.07421875,-13
1.078125,-23
1.08203125,-33
1.0859375,-42
1.08984375,-49
1.09375,-54
1.09765625,-57
1.1015625,-58
1.10546875,-55
1.109375,-47
1.11328125,-33
1.1171875,-17
1.12109375,-1
1.125,9
1.12890625,13
1.1328125,10
1.13671875,3
1.140625,-4
1.14453125,-11
1.1484375,-16
1.15234375,-20
1.15625,-24
1.16015625,-30
1.1640625,-37
1.16796875,-46
1.171875,-54
1.17578125,-60
1.1796875,-64
1.18359375,-66
1.1875,-65
1.19140625,-62
1.1953125,-57
1.19921875,-51
1.203125,-46
1.20703125,-44
1.2109375,-43
1.21484375,-43
1.21875,-42
1.22265625,-37
1.2265625,-28
1.23046875,-18
1.234375,-11
1.23828125,-6
1.2421875,-3
1.24609375,0
1.25,4
1.25390625,9
1.2578125,14
1.26171875,15
1.265625,12
1.26953125,5
1.2734375,-2
1.27734375,-6
1.28125,-8
1.28515625,-7
1.2890625,-8
1.29296875,-12
1.296875,-20
1.30078125,-28
1.3046875,-34
1.30859375,-36
1.3125,-32
1.31640625,-26
1.3203125,-18
1.32421875,-11
1.328125,-7
1.33203125,-3
1.3359375,1
1.33984375,8
1.34375,17
1.34765625,26
1.3515625,34
1.35546875,38
1.359375,37
1.36328125,31
1.3671875,24
1.37109375,20
1.375,17
1.37890625,16
1.3828125,15
1.38671875,11
1.390625,5
1.39453125,-5
1.3984375,-19
1.40234375,-36
1.40625,-55
1.41015625,-74
1.4140625,-88
1.41796875,-90
1.421875,-81
1.42578125,-62
1.4296875,-39
1.43359375,-16
1.4375,3
1.44140625,16
1.4453125,23
1.44921875,27
1.453125,28
1.45703125,29
1.4609375,28
1.46484375,25
1.46875,21
1.47265625,14
1.4765625,6
1.48046875,-4
1.484375,-13
1.48828125,-20
1.4921875,-23
1.49609375,-22
1.5,-17
1.50390625,-11
1.5078125,-5
1.51171875,-2
1.515625,-3
1.51953125,-7
1.5234375,-14
1.52734375,-21
1.53125,-27
1.53515625,-32
1.5390625,-35
1.54296875,-35
1.546875,-33
1.55078125,-31
1.5546875,-30
1.55859375,-31
1.5625,-34
1.56640625,-38
1.5703125,-41
1.57421875,-43
1.578125,-43
1.58203125,-42
1.5859375,-43
1.58984375,-45
1.59375,-49
1.59765625,-52
1.6015625,-55
1.60546875,-55
1.609375,-53
1.61328125,-51
1.6171875,-49
1.62109375,-46
1.625,-43
1.62890625,-38
1.6328125,-31
1.63671875,-23
1.640625,-14
1.64453125,-4
1.6484375,4
1.65234375,10
1.65625,15
1.66015625,17
1.6640625,17
1.66796875,16
1.671875,12
1.67578125,7
1.6796875,-1
1.68359375,-9
1.6875,-15
1.69140625,-18
1.6953125,-16
1.69921875,-9
1.703125,2
1.70703125,15
1.7109375,28
1.71484375,40
1.71875,50
1.72265625,55
1.7265625,57
1.73046875,54
1.734375,51
1.73828125,48
1.7421875,49
1.74609375,54
1.75,61
1.75390625,68
1.7578125,72
1.76171875,69
1.765625,61
1.76953125,49
1.7734375,36
1.77734375,24
1.78125,14
1.78515625,4
1.7890625,-2
1.79296875,-5
1.796875,-6
1.80078125,-5
1.8046875,-3
1.80859375,-3
1.8125,-3
1.81640625,-5
1.8203125,-6
1.82421875,-6
1.828125,-4
1.83203125,-2
1.8359375,1
1.83984375,3
1.84375,8
1.84765625,15
1.8515625,23
1.85546875,31
1.859375,34
1.86328125,32
1.8671875,25
1.87109375,14
1.875,2
1.87890625,-8
1.8828125,-16
1.88671875,-19
1.890625,-19
1.89453125,-16
1.8984375,-12
1.90234375,-8
1.90625,-5
1.91015625,-2
1.9140625,2
1.91796875,8
1.921875,17
