Time,PG2
0.0,20
0.00390625,8
0.0078125,-9
0.01171875,-28
0.015625,-45
0.01953125,-56
0.0234375,-56
0.02734375,-45
0.03125,-30
0.03515625,-18
0.0390625,-14
0.04296875,-15
0.046875,-21
0.05078125,-26
0.0546875,-27
0.05859375,-26
0.0625,-22
0.06640625,-17
0.0703125,-9
0.07421875,-2
0.078125,-1
0.08203125,-10
0.0859375,-24
0.08984375,-35
0.09375,-40
0.09765625,-38
0.1015625,-32
0.10546875,-28
0.109375,-35
0.11328125,-53
0.1171875,-75
0.12109375,-88
0.125,-84
0.12890625,-69
0.1328125,-53
0.13671875,-41
0.140625,-32
0.14453125,-27
0.1484375,-22
0.15234375,-17
0.15625,-7
0.16015625,5
0.1640625,14
0.16796875,17
0.171875,20
0.17578125,32
0.1796875,47
0.18359375,58
0.1875,63
0.19140625,63
0.1953125,52
0.19921875,33
0.203125,15
0.20703125,5
0.2109375,3
0.21484375,0
0.21875,-10
0.22265625,-28
0.2265625,-53
0.23046875,-79
0.234375,-94
0.23828125,-91
0.2421875,-71
0.24609375,-41
0.25,-10
0.25390625,17
0.2578125,33
0.26171875,33
0.265625,15
0.26953125,-9
0.2734375,-26
0.27734375,-29
0.28125,-22
0.28515625,-6
0.2890625,11
0.29296875,17
0.296875,7
0.30078125,-9
0.3046875,-25
0.30859375,-38
0.3125,-54
0.31640625,-72
0.3203125,-87
0.32421875,-93
0.328125,-90
0.33203125,-81
0.3359375,-70
0.33984375,-63
0.34375,-61
0.34765625,-58
0.3515625,-47
0.35546875,-25
0.359375,-2
0.36328125,14
0.3671875,21
0.37109375,21
0.375,18
0.37890625,21
0.3828125,32
0.38671875,47
0.390625,61
0.39453125,65
0.3984375,52
0.40234375,28
0.40625,2
0.41015625,-18
0.4140625,-23
0.41796875,-6
0.421875,28
0.42578125,62
0.4296875,85
0.43359375,94
0.4375,96
0.44140625,96
0.4453125,102
0.44921875,113
0.453125,123
0.45703125,122
0.4609375,107
0.46484375,80
0.46875,50
0.47265625,26
0.4765625,9
0.48046875,-5
0.484375,-19
0.48828125,-32
0.4921875,-47
0.49609375,-66
0.5,-85
0.50390625,-98
0.5078125,-99
0.51171875,-88
0.515625,-65
0.51953125,-35
0.5234375,-4
0.52734375,19
0.53125,29
0.53515625,29
0.5390625,25
0.54296875,16
0.546875,0
0.55078125,-22
0.5546875,-45
0.55859375,-63
0.5625,-70
0.56640625,-64
0.5703125,-50
0.57421875,-39
0.578125,-38
0.58203125,-44
0.5859375,-48
0.58984375,-44
0.59375,-31
0.59765625,-13
0.6015625,6
0.60546875,17
0.609375,16
0.61328125,11
0.6171875,11
0.62109375,18
0.625,32
0.62890625,48
0.6328125,62
0.63671875,69
0.640625,67
0.64453125,57
0.6484375,46
0.65234375,36
0.65625,27
0.66015625,19
0.6640625,15
0.66796875,10
0.671875,3
0.67578125,-3
0.6796875,-7
0.68359375,-13
0.6875,-22
0.69140625,-25
0.6953125,-17
0.69921875,-3
0.703125,13
0.70703125,32
0.7109375,46
0.71484375,49
0.71875,46
0.72265625,44
0.7265625,47
0.73046875,52
0.734375,58
0.73828125,61
0.7421875,59
0.74609375,52
0.75,42
0.75390625,29
0.7578125,16
0.76171875,7
0.765625,7
0.76953125,12
0.7734375,16
0.77734375,16
0.78125,12
0.78515625,1
0.7890625,-17
0.79296875,-36
0.796875,-46
0.80078125,-47
0.8046875,-45
0.80859375,-46
0.8125,-47
0.81640625,-50
0.8203125,-55
0.82421875,-58
0.828125,-52
0.83203125,-38
0.8359375,-20
0.83984375,-7
0.84375,-5
0.84765625,-13
0.8515625,-29
0.85546875,-50
0.859375,-71
0.86328125,-86
0.8671875,-88
0.87109375,-79
0.875,-62
0.87890625,-43
0.8828125,-27
0.88671875,-21
0.890625,-25
0.89453125,-33
0.8984375,-39
0.90234375,-38
0.90625,-29
0.91015625,-14
0.9140625,3
0.91796875,21
0.921875,32
0.92578125,31
0.9296875,18
0.93359375,-3
0.9375,-31
0.94140625,-56
0.9453125,-73
0.94921875,-79
0.953125,-78
0.95703125,-76
0.9609375,-72
0.96484375,-65
0.96875,-51
0.97265625,-29
0.9765625,0
0.98046875,31
0.984375,57
0.98828125,73
0.9921875,82
0.99609375,84
1.0,80
1.00390625,68
1.0078125,49
1.01171875,24
1.015625,-6
1.01953125,-37
1.0234375,-66
1.02734375,-87
1.03125,-97
1.03515625,-97
1.0390625,-90
1.04296875,-77
1.046875,-57
1.05078125,-34
1.0546875,-11
1.05859375,9
1.0625,28
1.06640625,42
1.0703125,49
1.07421875,47
1.078125,43
1.08203125,43
1.0859375,47
1.08984375,54
1.09375,62
1.09765625,68
1.1015625,65
1.10546875,49
1.109375,27
1.11328125,8
1.1171875,-8
1.12109375,-22
1.125,-35
1.12890625,-46
1.1328125,-58
1.13671875,-65
