Time,PG2
0.0,-9
0.00390625,-16
0.0078125,-20
0.01171875,-26
0.015625,-32
0.01953125,-32
0.0234375,-26
0.02734375,-14
0.03125,1
0.03515625,18
0.0390625,34
0.04296875,45
0.046875,52
0.05078125,56
0.0546875,58
0.05859375,53
0.0625,40
0.06640625,23
0.0703125,9
0.07421875,-2
0.078125,-12
0.08203125,-22
0.0859375,-36
0.08984375,-52
0.09375,-68
0.09765625,-81
0.1015625,-87
0.10546875,-88
0.109375,-85
0.11328125,-79
0.1171875,-67
0.12109375,-49
0.125,-24
0.12890625,2
0.1328125,24
0.13671875,37
0.140625,42
0.14453125,46
0.1484375,48
0.15234375,49
0.15625,47
0.16015625,41
0.1640625,28
0.16796875,9
0.171875,-10
0.17578125,-25
0.1796875,-40
0.18359375,-53
0.1875,-60
0.19140625,-59
0.1953125,-50
0.19921875,-38
0.203125,-24
0.20703125,-12
0.2109375,-7
0.21484375,-7
0.21875,-4
0.22265625,5
0.2265625,16
0.23046875,23
0.234375,25
0.23828125,18
0.2421875,4
0.24609375,-15
0.25,-34
0.25390625,-51
0.2578125,-67
0.26171875,-79
0.265625,-85
0.26953125,-83
0.2734375,-77
0.27734375,-68
0.28125,-62
0.28515625,-57
0.2890625,-53
0.29296875,-44
0.296875,-25
0.30078125,1
0.3046875,26
0.30859375,45
0.3125,53
0.31640625,56
0.3203125,57
0.32421875,61
0.328125,70
0.33203125,81
0.3359375,89
0.33984375,93
0.34375,92
0.34765625,86
0.3515625,75
0.35546875,55
0.359375,30
0.36328125,8
0.3671875,-5
0.37109375,-6
0.375,3
0.37890625,22
0.3828125,40
0.38671875,48
0.390625,46
0.39453125,41
0.3984375,39
0.40234375,41
0.40625,47
0.41015625,55
0.4140625,58
0.41796875,50
0.421875,34
0.42578125,14
0.4296875,-9
0.43359375,-31
0.4375,-48
0.44140625,-58
0.4453125,-60
0.44921875,-54
0.453125,-39
0.45703125,-19
0.4609375,-2
0.46484375,6
0.46875,9
0.47265625,10
0.4765625,14
0.48046875,20
0.484375,29
0.48828125,38
0.4921875,45
0.49609375,45
0.5,40
0.50390625,35
0.5078125,35
0.51171875,35
0.515625,31
0.51953125,20
0.5234375,6
0.52734375,-13
0.53125,-32
0.53515625,-48
0.5390625,-55
0.54296875,-56
0.546875,-57
0.55078125,-57
0.5546875,-54
0.55859375,-43
0.5625,-26
0.56640625,-2
0.5703125,31
0.57421875,68
