Time,PG2
0.0,-35
0.00390625,-39
0.0078125,-37
0.01171875,-29
0.015625,-18
0.01953125,-2
0.0234375,13
0.02734375,19
0.03125,7
0.03515625,-14
0.0390625,-32
0.04296875,-41
0.046875,-41
0.05078125,-37
0.0546875,-30
0.05859375,-25
0.0625,-27
0.06640625,-34
0.0703125,-40
0.07421875,-42
0.078125,-39
0.08203125,-32
0.0859375,-21
0.08984375,-8
0.09375,0
0.09765625,3
0.1015625,5
0.10546875,5
0.109375,0
0.11328125,-10
0.1171875,-18
0.12109375,-25
0.125,-32
0.12890625,-36
0.1328125,-33
0.13671875,-28
0.140625,-28
0.14453125,-34
0.1484375,-44
0.15234375,-58
0.15625,-71
0.16015625,-82
0.1640625,-88
0.16796875,-83
0.171875,-61
0.17578125,-24
0.1796875,16
0.18359375,49
0.1875,72
0.19140625,83
0.1953125,84
0.19921875,82
0.203125,86
0.20703125,92
0.2109375,92
0.21484375,80
0.21875,64
0.22265625,49
0.2265625,36
0.23046875,28
0.234375,23
0.23828125,20
0.2421875,19
0.24609375,21
0.25,26
0.25390625,35
0.2578125,42
0.26171875,45
0.265625,43
0.26953125,40
0.2734375,40
0.27734375,41
0.28125,44
0.28515625,48
0.2890625,53
0.29296875,58
0.296875,61
0.30078125,65
0.3046875,70
0.30859375,73
0.3125,70
0.31640625,64
0.3203125,56
0.32421875,52
0.328125,54
0.33203125,60
0.3359375,64
0.33984375,55
0.34375,29
0.34765625,-7
0.3515625,-44
0.35546875,-74
0.359375,-88
0.36328125,-83
0.3671875,-73
0.37109375,-68
0.375,-64
0.37890625,-53
0.3828125,-38
0.38671875,-24
0.390625,-13
0.39453125,-6
0.3984375,-2
0.40234375,2
0.40625,8
0.41015625,19
0.4140625,28
0.41796875,27
0.421875,14
0.42578125,-8
0.4296875,-27
0.43359375,-35
0.4375,-33
0.44140625,-22
0.4453125,-10
0.44921875,0
0.453125,7
0.45703125,10
0.4609375,12
0.46484375,12
0.46875,7
0.47265625,-1
0.4765625,-9
0.48046875,-12
0.484375,-10
0.48828125,-2
0.4921875,8
0.49609375,15
0.5,15
0.50390625,12
0.5078125,15
0.51171875,25
0.515625,35
0.51953125,38
0.5234375,29
0.52734375,9
0.53125,-18
0.53515625,-37
0.5390625,-38
0.54296875,-20
0.546875,9
0.55078125,38
0.5546875,56
0.55859375,59
0.5625,54
0.56640625,49
0.5703125,48
0.57421875,49
0.578125,53
0.58203125,55
0.5859375,50
0.58984375,34
0.59375,13
0.59765625,-7
0.6015625,-25
0.60546875,-41
0.609375,-50
0.61328125,-56
0.6171875,-66
0.62109375,-81
0.625,-93
0.62890625,-96
0.6328125,-91
0.63671875,-79
0.640625,-60
0.64453125,-41
0.6484375,-28
0.65234375,-20
0.65625,-12
0.66015625,-6
0.6640625,-8
0.66796875,-16
0.671875,-27
0.67578125,-35
0.6796875,-43
0.68359375,-48
0.6875,-51
0.69140625,-57
0.6953125,-68
0.69921875,-79
0.703125,-86
0.70703125,-90
0.7109375,-95
0.71484375,-106
0.71875,-127
0.72265625,-151
0.7265625,-171
0.73046875,-177
0.734375,-166
0.73828125,-142
0.7421875,-114
0.74609375,-93
0.75,-85
0.75390625,-83
0.7578125,-79
0.76171875,-68
0.765625,-53
0.76953125,-36
0.7734375,-23
0.77734375,-21
0.78125,-31
0.78515625,-49
0.7890625,-68
0.79296875,-84
0.796875,-96
0.80078125,-103
0.8046875,-102
0.80859375,-97
0.8125,-92
0.81640625,-90
0.8203125,-88
0.82421875,-81
0.828125,-67
0.83203125,-43
0.8359375,-14
0.83984375,12
0.84375,27
0.84765625,27
0.8515625,18
0.85546875,11
0.859375,10
0.86328125,10
0.8671875,8
0.87109375,0
