FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-28,-16,-4,-36,7,-4,-19,-3,-24,-26,5,-3,-10,1,-27,14,14,31,35,17,12,-23,-143
-26,-19,-7,-31,11,-11,-21,-6,-25,-26,-4,-13,-20,2,-23,19,9,25,30,10,3,-30,-126
-26,-24,-8,-27,11,-17,-24,-8,-24,-28,-14,-21,-29,3,-19,24,2,15,26,3,-5,-31,-104
-28,-29,-7,-23,8,-21,-25,-9,-20,-33,-21,-25,-33,3,-17,30,-3,4,22,-2,-6,-27,-89
-29,-33,-3,-19,7,-21,-20,-8,-14,-37,-24,-22,-29,3,-16,34,-7,-3,19,-1,1,-17,-86
-28,-34,4,-14,10,-18,-10,-4,-6,-38,-21,-14,-17,3,-14,35,-9,-3,18,7,15,-3,-95
-24,-32,13,-7,16,-12,5,4,5,-35,-16,-4,1,4,-12,34,-10,3,17,17,33,12,-112
-18,-28,21,-1,20,-8,21,11,15,-33,-12,2,17,4,-11,31,-12,14,15,25,46,21,-135
-13,-26,25,3,19,-8,32,15,20,-32,-13,2,26,-1,-13,24,-15,23,9,26,50,22,-162
-9,-25,25,4,15,-10,38,14,21,-34,-18,-4,27,-8,-18,15,-20,29,1,22,46,18,-194
-7,-24,22,3,12,-10,37,12,20,-35,-24,-10,21,-15,-22,6,-22,31,-5,16,39,13,-223
-7,-22,18,0,9,-8,32,7,17,-36,-27,-13,15,-19,-26,0,-21,30,-9,9,31,10,-223
-7,-20,13,-4,6,-5,23,3,11,-34,-26,-12,9,-19,-29,-3,-18,28,-11,4,24,9,-157
-8,-17,8,-8,1,0,11,-1,2,-28,-22,-9,4,-14,-31,-5,-12,27,-11,0,18,7,15
-10,-15,3,-11,-7,2,-5,-7,-8,-23,-15,-5,-3,-8,-31,-4,-7,26,-10,-5,12,2,304
-13,-15,-1,-13,-19,0,-24,-15,-20,-21,-8,-4,-13,-2,-29,-2,-4,24,-10,-14,6,-8,676
-14,-15,-2,-11,-32,-4,-40,-26,-28,-22,-1,-5,-23,3,-26,2,-3,21,-11,-23,1,-22,1053
-11,-12,0,-4,-41,-5,-49,-31,-30,-21,5,-5,-31,9,-19,6,0,20,-10,-30,-1,-34,1344
-3,-4,4,7,-41,-1,-49,-29,-23,-16,12,-4,-32,17,-8,11,8,22,-4,-31,0,-40,1470
6,7,9,18,-32,6,-41,-18,-13,-6,20,0,-28,26,5,17,19,26,4,-27,3,-38,1392
12,18,11,30,-19,16,-28,-1,-3,6,26,5,-20,35,16,23,31,29,13,-19,8,-30,1131
16,26,8,40,-6,25,-14,15,5,17,30,12,-11,39,23,27,40,31,21,-9,15,-19,761
15,30,2,45,2,30,-3,26,10,24,32,19,-2,38,25,31,46,31,28,0,24,-5,379
13,28,-4,45,5,31,3,29,14,26,32,26,7,33,25,34,48,29,33,11,35,8,63
12,23,-6,41,6,29,6,28,20,24,32,31,18,27,23,35,48,28,36,22,45,21,-141
14,17,-6,35,8,26,8,27,29,20,32,35,29,22,22,35,47,30,40,30,53,33,-230
15,11,-3,27,13,23,9,27,36,19,32,39,38,20,21,32,45,35,45,32,56,43,-233
16,8,0,20,24,22,9,29,40,21,35,42,41,22,22,29,44,39,49,26,52,50,-201
16,9,4,19,34,23,12,33,39,27,39,44,42,28,25,27,43,41,53,17,46,55,-177
15,13,8,22,40,25,18,34,35,32,41,44,41,36,28,28,39,40,54,8,41,58,-177
14,19,9,23,37,25,22,30,27,35,39,40,38,42,30,29,33,36,51,1,39,57,-197
13,22,6,20,27,21,22,21,18,33,32,32,33,43,29,29,26,27,43,-3,36,48,-226
12,21,2,11,13,14,16,10,8,26,22,19,24,39,24,24,19,16,29,-3,29,32,-250
9,14,-5,0,-2,3,3,-1,-5,15,9,3,10,31,15,15,11,6,11,-4,17,11,-258
