FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-66,-51,-14,19,-24,11,37,14,49,-15,-27,-30,6,2,-37,21,-59,-129,40,-18,91,11,200
-92,-65,-16,-7,-20,-13,16,-15,46,-25,-49,-43,-19,-38,-57,8,-65,-131,38,-36,83,7,216
-93,-61,-21,-26,-6,-37,-2,-40,50,-27,-65,-54,-37,-60,-62,5,-67,-125,35,-53,81,0,226
-73,-48,-26,-36,10,-60,-9,-56,51,-24,-69,-63,-44,-60,-57,11,-68,-115,29,-64,84,-10,227
-44,-43,-33,-44,22,-82,-8,-67,40,-23,-67,-71,-39,-49,-58,17,-75,-106,14,-66,82,-20,218
-27,-56,-47,-57,19,-106,-6,-77,15,-32,-63,-77,-29,-46,-76,9,-87,-108,-15,-65,72,-26,200
-34,-88,-64,-77,2,-131,-9,-84,-22,-52,-62,-81,-23,-60,-110,-21,-99,-123,-54,-68,53,-25,177
-60,-128,-81,-99,-23,-147,-18,-89,-60,-76,-64,-80,-26,-92,-151,-70,-107,-142,-92,-74,34,-21,159
-94,-159,-91,-115,-49,-147,-32,-87,-90,-98,-70,-68,-37,-130,-186,-122,-108,-156,-119,-79,24,-18,153
-120,-167,-92,-118,-69,-127,-47,-78,-104,-110,-79,-45,-49,-157,-202,-158,-98,-158,-129,-79,26,-17,153
-130,-153,-82,-107,-76,-94,-60,-65,-101,-107,-85,-20,-54,-159,-196,-167,-79,-145,-121,-74,38,-20,154
-122,-121,-58,-84,-68,-52,-63,-51,-85,-89,-82,-2,-49,-130,-169,-146,-61,-117,-96,-63,52,-30,152
-101,-81,-28,-56,-48,-13,-55,-37,-64,-64,-71,9,-33,-78,-129,-98,-47,-82,-63,-46,59,-39,145
-78,-46,-2,-29,-23,13,-42,-23,-48,-43,-53,12,-8,-24,-91,-36,-36,-51,-27,-25,57,-44,134
-61,-26,9,-11,-3,20,-28,-9,-38,-35,-33,8,19,10,-68,14,-25,-32,3,-7,46,-45,123
-56,-24,4,-5,1,12,-18,3,-32,-43,-17,1,37,16,-63,36,-20,-27,23,2,33,-43,115
-64,-36,-12,-10,-13,-5,-17,13,-29,-63,-8,-7,42,-2,-74,32,-21,-36,35,3,19,-38,111
-79,-56,-32,-21,-36,-23,-24,20,-26,-84,-6,-14,36,-33,-95,13,-29,-47,44,0,9,-31,108
-94,-72,-47,-29,-47,-33,-31,26,-16,-93,-7,-17,23,-61,-115,-6,-37,-52,52,-7,9,-23,103
-101,-78,-49,-26,-38,-28,-32,31,2,-84,-8,-19,7,-75,-122,-13,-40,-51,62,-18,19,-16,92
-93,-72,-37,-9,-5,-8,-20,35,22,-58,-3,-18,-4,-72,-115,0,-37,-47,74,-28,37,-8,76
-72,-54,-17,21,46,22,3,40,38,-23,9,-12,-6,-56,-93,27,-26,-41,86,-32,67,-1,63
-48,-34,0,54,95,52,27,47,45,8,20,-2,-1,-38,-67,53,-17,-39,92,-34,99,9,59
-38,-29,2,70,113,68,37,44,37,16,20,1,1,-34,-53,63,-23,-53,80,-43,117,15,65
-53,-49,-13,59,90,62,27,28,13,-6,5,-8,-8,-52,-62,45,-52,-86,48,-63,111,13,81
-87,-85,-39,23,41,34,3,4,-19,-44,-22,-23,-25,-86,-90,3,-94,-128,3,-89,84,8,103
-126,-126,-63,-25,-10,-5,-26,-19,-48,-83,-54,-37,-49,-125,-127,-51,-135,-170,-45,-110,44,3,120
-153,-157,-76,-71,-44,-42,-46,-33,-68,-108,-80,-46,-73,-158,-162,-98,-158,-203,-83,-122,6,-1,124
-156,-167,-71,-100,-51,-64,-44,-36,-75,-110,-88,-50,-87,-172,-182,-125,-155,-216,-100,-121,-13,-4,110
-132,-149,-48,-105,-35,-66,-21,-26,-72,-89,-78,-48,-85,-162,-177,-127,-129,-205,-95,-108,-8,-5,85
-98,-117,-19,-95,-11,-57,5,-13,-72,-58,-58,-43,-77,-138,-155,-112,-93,-182,-77,-93,5,-8,56
-79,-97,-1,-85,0,-47,17,-9,-85,-38,-43,-43,-69,-117,-140,-96,-64,-160,-63,-84,9,-21,33
-85,-99,0,-81,-6,-42,11,-18,-110,-37,-37,-47,-63,-105,-144,-92,-49,-147,-60,-87,-1,-41,21
-104,-111,-6,-82,-16,-42,-5,-32,-133,-50,-38,-48,-54,-98,-155,-98,-40,-139,-67,-91,-19,-60,19
-120,-119,-8,-81,-23,-45,-26,-44,-143,-67,-44,-40,-40,-89,-163,-103,-32,-132,-79,-89,-34,-69,22
-123,-117,-9,-73,-28,-43,-44,-53,-135,-82,-52,-29,-23,-83,-162,-97,-23,-123,-90,-76,-39,-68,27
-108,-99,-5,-56,-33,-34,-56,-60,-108,-96,-60,-17,-4,-75,-148,-74,-11,-109,-92,-52,-28,-60,33
-80,-67,3,-34,-36,-19,-61,-62,-70,-104,-64,-8,10,-64,-122,-37,2,-89,-81,-25,-5,-48,41
-52,-36,11,-15,-41,1,-67,-58,-33,-107,-64,-3,16,-55,-97,1,8,-73,-59,-2,16,-40,48
-38,-21,10,-3,-44,24,-73,-46,-5,-105,-60,0,11,-52,-86,27,5,-64,-32,10,29,-35,52
-42,-21,3,2,-37,47,-71,-23,12,-99,-51,4,-2,-49,-87,37,-4,-60,-5,15,37,-31,49
-61,-30,-6,1,-17,61,-57,8,20,-91,-39,7,-13,-47,-93,34,-14,-57,17,14,42,-23,38
-88,-45,-17,-8,7,62,-33,36,23,-87,-32,5,-20,-50,-99,22,-29,-59,27,11,47,-14,22
-111,-61,-33,-24,26,47,-10,51,24,-89,-38,-2,-27,-59,-104,8,-52,-67,22,7,50,-6,10
-124,-75,-54,-46,37,20,5,45,24,-97,-57,-13,-37,-75,-108,-2,-81,-82,3,2,49,-3,10
-128,-87,-72,-71,39,-12,13,29,20,-110,-84,-27,-49,-92,-113,-8,-113,-99,-22,-6,44,-8,21
-121,-92,-75,-89,35,-36,21,16,17,-116,-103,-38,-56,-100,-116,-9,-142,-112,-40,-16,42,-14,38
-102,-89,-61,-95,30,-45,30,12,21,-107,-105,-36,-58,-92,-113,-3,-158,-114,-45,-31,43,-17,52
-87,-89,-42,-90,21,-43,34,13,22,-89,-93,-26,-63,-81,-110,-5,-163,-111,-43,-51,45,-16,56
-85,-99,-30,-84,3,-41,35,11,16,-74,-75,-13,-75,-75,-114,-19,-161,-107,-41,-75,44,-15,49
-87,-114,-27,-79,-16,-40,32,5,4,-65,-57,-4,-85,-76,-124,-43,-156,-107,-44,-98,40,-15,36
-90,-130,-35,-81,-33,-45,23,-5,-9,-65,-44,-3,-91,-83,-140,-75,-151,-110,-57,-119,33,-16,19
-97,-148,-52,-97,-47,-58,7,-21,-23,-80,-41,-11,-91,-100,-163,-112,-151,-119,-79,-135,20,-23,4
-103,-158,-64,-115,-53,-70,-7,-36,-34,-100,-44,-21,-79,-119,-183,-141,-152,-127,-101,-138,7,-30,-9
-104,-150,-60,-123,-48,-70,-9,-44,-38,-116,-46,-27,-55,-127,-188,-146,-143,-129,-110,-124,-2,-33,-19
-102,-128,-42,-121,-36,-53,-4,-46,-38,-120,-40,-23,-26,-124,-178,-128,-122,-124,-103,-100,-10,-34,-31
-97,-99,-15,-110,-23,-24,3,-44,-37,-111,-26,-7,-1,-112,-157,-97,-89,-110,-81,-70,-19,-33,-45
-85,-67,16,-87,-9,17,10,-38,-38,-88,-3,20,18,-96,-129,-58,-48,-88,-46,-32,-22,-29,-59
-68,-40,39,-60,3,58,14,-28,-38,-61,22,46,30,-80,-101,-27,-10,-62,-6,3,-18,-23,-75
-53,-25,49,-38,9,86,8,-14,-36,-42,37,58,36,-70,-82,-15,12,-40,27,25,-12,-20,-95
-43,-17,46,-22,11,91,-4,3,-27,-34,39,53,40,-61,-72,-18,16,-27,45,36,-4,-15,-117
-36,-11,33,-6,10,79,-18,19,-14,-34,28,35,44,-50,-64,-19,5,-24,50,40,4,-7,-136
-34,-10,11,6,8,55,-29,29,3,-42,4,12,42,-35,-62,-16,-15,-35,43,34,10,2,-154
-37,-8,-8,12,12,28,-31,35,21,-50,-20,-8,36,-15,-61,-7,-34,-54,30,20,11,11,-170
