FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-39,-29,-54,-51,-27,-16,-32,-29,0,-50,-39,-48,-56,-47,-57,-17,-49,-30,-24,-31,-15,-61,69
-39,-35,-58,-56,-23,-27,-35,-29,-9,-53,-42,-51,-67,-53,-62,-19,-58,-39,-25,-47,-22,-57,100
-38,-39,-58,-55,-19,-35,-36,-28,-15,-53,-41,-49,-69,-53,-64,-21,-66,-45,-26,-59,-28,-50,137
-42,-43,-58,-53,-17,-44,-38,-30,-23,-50,-39,-48,-66,-54,-66,-26,-72,-50,-28,-67,-36,-43,171
-51,-49,-61,-53,-21,-55,-43,-36,-35,-48,-39,-50,-66,-59,-69,-34,-76,-55,-32,-73,-44,-40,195
-58,-54,-67,-56,-28,-67,-46,-45,-50,-46,-41,-55,-69,-68,-71,-43,-76,-60,-39,-78,-50,-40,210
-62,-59,-72,-61,-37,-76,-46,-55,-63,-44,-45,-60,-76,-79,-72,-52,-74,-64,-49,-83,-52,-44,217
-64,-66,-73,-70,-46,-83,-45,-66,-74,-44,-50,-64,-87,-88,-74,-63,-72,-66,-61,-89,-55,-51,209
-65,-74,-69,-79,-54,-87,-49,-77,-83,-45,-53,-66,-99,-90,-78,-75,-72,-67,-72,-95,-61,-59,178
-65,-80,-63,-83,-60,-85,-54,-84,-89,-47,-53,-66,-107,-81,-81,-87,-71,-65,-80,-96,-70,-66,125
-61,-80,-56,-83,-62,-79,-59,-86,-94,-48,-48,-62,-107,-63,-81,-99,-68,-61,-86,-94,-77,-72,62
-57,-74,-50,-79,-58,-70,-63,-86,-100,-49,-40,-57,-100,-44,-76,-108,-64,-55,-89,-90,-83,-80,4
-54,-66,-45,-71,-50,-61,-65,-86,-106,-51,-31,-53,-88,-31,-68,-111,-58,-49,-90,-86,-88,-87,-38
-51,-58,-40,-60,-39,-53,-65,-82,-108,-53,-25,-51,-72,-26,-59,-106,-50,-44,-88,-81,-89,-91,-63
-49,-50,-33,-47,-27,-43,-62,-73,-101,-53,-22,-48,-53,-26,-50,-93,-41,-40,-81,-71,-85,-88,-78
-46,-43,-24,-33,-16,-33,-58,-57,-82,-50,-20,-42,-33,-26,-41,-73,-30,-34,-67,-54,-75,-79,-92
-44,-38,-16,-21,-10,-24,-54,-39,-55,-44,-21,-34,-16,-22,-35,-51,-18,-24,-45,-31,-62,-62,-102
-41,-33,-12,-10,-9,-17,-48,-18,-30,-38,-25,-28,-3,-14,-30,-32,-6,-14,-19,-7,-46,-41,-108
-37,-27,-13,-3,-13,-11,-39,2,-10,-33,-33,-23,4,-3,-24,-18,4,-6,2,14,-31,-23,-110
-33,-20,-17,2,-16,-10,-29,15,2,-30,-42,-21,9,6,-18,-11,9,-2,12,28,-20,-13,-111
-31,-15,-23,3,-16,-13,-24,17,5,-30,-51,-21,10,9,-16,-9,4,-4,12,31,-15,-10,-113
-28,-11,-28,2,-10,-19,-21,13,4,-30,-57,-22,12,6,-13,-9,-7,-8,7,26,-15,-8,-118
-21,-4,-28,2,2,-22,-18,10,7,-24,-55,-19,14,4,-8,-8,-19,-12,3,20,-11,-4,-132
-11,5,-24,2,14,-20,-12,13,12,-12,-44,-13,14,5,2,-6,-29,-15,3,15,-2,3,-152
0,13,-19,2,20,-15,-4,17,17,0,-30,-8,10,8,12,-4,-36,-19,7,11,9,8,-164
10,19,-14,4,21,-11,6,21,18,11,-18,-8,1,9,22,0,-35,-24,11,6,18,10,-140
20,23,-10,8,17,-9,16,21,14,16,-8,-12,-10,8,28,5,-28,-29,10,2,24,8,-31
26,24,-4,11,13,-11,24,15,9,16,-2,-15,-17,6,32,9,-16,-31,4,1,27,3,219
29,24,4,14,15,-12,30,5,7,14,0,-15,-16,6,34,13,-4,-31,-4,1,28,0,639
29,25,17,17,25,-10,38,-4,10,14,2,-8,-4,12,35,17,8,-26,-9,3,29,4,1190
29,25,32,17,39,-5,50,-5,16,18,3,6,15,22,36,19,16,-18,-11,8,30,15,1744
24,20,40,11,47,-2,60,-3,17,20,-2,19,32,32,31,13,14,-11,-14,12,28,25,2121
10,4,35,-4,41,-6,59,-6,7,11,-16,24,38,32,15,-2,-3,-8,-23,10,16,29,2162
-14,-22,14,-27,18,-20,44,-18,-13,-14,-39,17,29,17,-13,-23,-30,-13,-39,1,-5,19,1817
-39,-49,-13,-49,-13,-41,18,-38,-40,-45,-63,2,8,-5,-43,-44,-57,-21,-56,-12,-31,0,1184
-55,-65,-37,-62,-42,-55,-7,-55,-63,-69,-76,-12,-14,-24,-61,-55,-70,-23,-67,-22,-52,-22,471
-57,-62,-48,-60,-60,-57,-25,-66,-72,-77,-74,-17,-29,-33,-63,-53,-65,-17,-66,-28,-63,-39,-112
-47,-43,-44,-46,-65,-46,-32,-67,-70,-66,-59,-18,-35,-32,-50,-41,-47,-5,-56,-27,-65,-49,-440
-27,-16,-28,-24,-62,-29,-32,-60,-60,-41,-35,-15,-31,-22,-29,-22,-23,11,-40,-19,-59,-51,-504
-3,11,-7,0,-53,-11,-26,-50,-43,-10,-10,-9,-20,-5,-7,-2,-1,28,-21,-6,-48,-48,-399
17,30,9,22,-44,3,-19,-37,-22,15,10,-1,-7,11,12,14,14,43,-5,13,-33,-39,-249
29,38,17,39,-34,13,-13,-23,1,30,21,7,6,23,24,26,22,52,9,32,-17,-28,-142
33,37,17,49,-24,19,-6,-6,20,36,25,15,15,30,30,35,26,55,22,49,-1,-16,-96
30,32,12,54,-10,25,1,13,33,36,24,22,20,31,34,42,29,56,37,58,15,-3,-83
23,25,6,54,6,28,7,29,37,33,20,26,20,25,35,46,30,54,51,58,29,7,-77
12,15,-1,46,20,23,9,37,31,27,15,24,15,15,30,46,26,47,58,49,38,11,-68
0,3,-7,30,30,11,4,36,16,18,9,14,5,6,23,41,16,34,56,34,41,7,-61
-7,-6,-10,14,32,-6,-1,28,1,12,6,4,-6,3,19,33,6,19,47,18,40,-1,-60
-6,-8,-11,4,28,-22,-4,19,-6,16,8,-3,-15,8,21,25,-1,5,35,5,36,-7,-69
0,-6,-11,-1,18,-36,-4,10,-8,25,11,-8,-21,15,24,18,-4,-9,21,-8,26,-10,-87
7,-2,-13,-6,1,-48,-6,2,-10,34,11,-13,-30,19,25,7,-3,-22,7,-21,11,-11,-102
9,0,-17,-11,-20,-57,-9,-7,-14,40,5,-22,-41,19,22,-7,-1,-30,-4,-36,-8,-11,-101
4,-2,-23,-18,-38,-65,-16,-19,-22,42,-5,-34,-49,13,13,-24,0,-34,-13,-50,-28,-12,-78
-7,-8,-28,-28,-49,-69,-24,-30,-34,38,-18,-45,-53,2,2,-36,-3,-35,-21,-60,-45,-18,-40
-18,-15,-29,-36,-52,-68,-31,-35,-45,31,-29,-49,-49,-7,-6,-40,-8,-30,-27,-60,-52,-21,7
-21,-18,-25,-38,-48,-58,-32,-29,-46,21,-31,-42,-37,-8,-7,-32,-11,-18,-28,-46,-46,-18,59
-15,-16,-15,-32,-41,-44,-29,-16,-36,12,-27,-28,-18,-3,0,-15,-11,-3,-23,-21,-28,-8,111
-7,-12,-3,-24,-31,-30,-24,-3,-20,1,-20,-9,3,3,8,5,-12,9,-16,6,-7,4,153
0,-8,9,-15,-21,-15,-20,5,-4,-11,-15,10,22,7,14,19,-11,17,-6,32,12,12,181
3,-5,19,-7,-11,-2,-14,7,11,-21,-8,27,37,10,15,23,-9,21,5,52,23,16,196
3,-2,27,0,-2,9,-5,4,24,-26,0,38,47,12,12,19,-5,22,12,64,26,16,207
-1,1,31,4,4,18,7,2,32,-22,11,43,53,12,4,12,1,20,12,67,21,11,218
-2,5,33,9,7,26,22,4,38,-13,22,43,54,12,-4,7,9,17,6,63,12,5,233
1,11,32,14,6,32,37,12,41,-2,29,36,50,14,-7,6,17,13,-3,55,2,1,255
7,15,29,19,4,33,47,21,42,6,26,21,42,18,-4,6,23,6,-14,43,-8,0,291
13,18,23,24,3,30,48,25,41,12,13,3,32,24,4,6,26,-3,-22,30,-12,-2,342
18,22,19,28,9,27,43,28,42,17,-2,-11,24,30,18,8,26,-10,-22,22,-10,-4,403
22,25,19,31,22,22,37,30,45,18,-15,-20,18,34,34,9,23,-11,-15,19,-1,-5,463
22,24,17,27,33,14,31,32,48,13,-25,-24,10,36,43,8,12,-11,-6,19,10,-4,515
16,18,11,17,37,2,25,34,48,3,-32,-24,0,30,41,4,-5,-11,0,19,21,-4,561
5,6,3,3,35,-11,23,34,43,-13,-38,-22,-8,17,28,0,-27,-14,3,18,29,-3,607
-10,-10,-9,-11,29,-26,25,31,31,-32,-46,-21,-14,-1,6,-5,-51,-18,1,13,32,0,652
-26,-27,-21,-21,22,-39,26,23,15,-48,-56,-21,-17,-20,-20,-10,-72,-22,-5,5,29,4,699
-37,-40,-29,-28,19,-44,26,13,0,-55,-62,-19,-15,-33,-45,-15,-82,-23,-13,-1,23,8,752
-41,-47,-28,-29,23,-42,25,5,-8,-53,-61,-15,-10,-41,-61,-18,-82,-18,-21,-5,16,12,808
-39,-47,-20,-27,31,-36,24,-2,-10,-44,-53,-10,-7,-42,-68,-21,-74,-9,-28,-8,7,15,863
-33,-42,-8,-21,40,-28,27,-5,-8,-30,-42,-5,-6,-37,-66,-23,-63,-1,-34,-12,-3,18,915
-22,-31,6,-11,46,-18,32,-3,-4,-15,-29,1,-5,-26,-56,-25,-50,3,-34,-14,-11,21,963
-11,-18,20,1,48,-8,37,1,0,-3,-16,5,-2,-13,-41,-25,-36,5,-31,-15,-16,22,1006
-1,-6,29,10,44,-1,37,3,0,3,-6,7,3,-2,-25,-26,-22,6,-26,-13,-18,21,1044
8,3,37,15,37,7,32,4,-2,5,1,8,8,7,-12,-26,-10,7,-20,-7,-17,17,1077
17,8,43,12,30,16,23,5,-6,4,4,9,14,14,-5,-24,2,11,-14,3,-13,11,1103
25,12,49,7,25,26,13,9,-6,3,4,12,22,20,1,-20,14,18,-6,16,-7,6,1113
30,18,55,5,25,35,9,16,-1,4,4,17,33,26,7,-12,27,29,4,29,3,5,1100
33,27,61,8,32,44,12,27,8,8,4,24,45,32,13,-2,39,41,18,40,14,8,1064
33,35,63,16,40,51,20,37,18,12,4,33,57,38,21,7,48,49,34,47,22,15,1000
30,38,57,26,44,54,25,43,24,13,5,37,64,40,27,11,54,50,45,48,23,19,912
23,35,41,33,40,50,24,41,23,10,5,32,60,36,29,9,53,42,49,43,19,17,806
16,28,21,38,32,42,18,34,18,8,5,19,45,27,28,6,47,28,43,32,11,9,689
13,23,4,44,25,33,12,27,13,13,6,3,25,20,28,7,40,13,32,20,6,2,563
19,26,-4,54,26,25,10,25,13,26,12,-13,7,21,32,13,35,4,21,10,6,-4,424
31,35,-1,65,32,18,11,29,18,44,19,-29,-7,27,38,25,33,3,10,1,13,-8,273
41,44,5,69,37,10,11,31,21,58,22,-41,-19,29,41,37,30,3,1,-11,18,-9,120
41,45,6,57,31,1,6,25,19,59,18,-49,-30,23,35,45,22,0,-6,-25,20,-9,-22
31,34,-2,31,15,-10,-6,9,9,44,7,-55,-41,9,22,44,8,-6,-11,-37,16,-10,-144
12,16,-16,-5,-6,-22,-22,-13,-6,18,-8,-57,-50,-8,4,35,-11,-15,-15,-45,10,-14,-244
-11,-6,-29,-39,-25,-32,-37,-36,-21,-10,-24,-57,-56,-25,-13,21,-30,-24,-17,-47,3,-16,-325
-31,-26,-37,-64,-39,-42,-46,-54,-32,-31,-37,-55,-55,-34,-25,4,-46,-28,-18,-44,-1,-16,-389
-43,-38,-38,-74,-44,-51,-47,-64,-37,-42,-43,-52,-50,-35,-32,-13,-54,-27,-20,-40,-5,-14,-441
-47,-44,-36,-73,-44,-59,-44,-70,-41,-43,-45,-49,-47,-32,-35,-27,-55,-24,-25,-40,-12,-15,-480
-49,-46,-37,-69,-46,-67,-43,-74,-48,-42,-48,-48,-50,-35,-38,-39,-52,-24,-33,-48,-25,-22,-503
-50,-46,-44,-64,-51,-73,-46,-78,-59,-42,-53,-46,-57,-42,-42,-45,-47,-28,-42,-61,-42,-31,-510
-49,-42,-51,-58,-55,-74,-52,-82,-66,-43,-56,-43,-62,-47,-43,-45,-40,-33,-49,-71,-56,-41,-501
-43,-33,-52,-50,-56,-65,-56,-81,-64,-41,-56,-34,-59,-44,-40,-44,-34,-35,-52,-71,-65,-47,-485
-33,-22,-45,-41,-52,-49,-58,-71,-53,-36,-53,-22,-46,-34,-34,-40,-30,-31,-51,-62,-69,-48,-472
-20,-12,-33,-33,-45,-33,-58,-56,-37,-27,-47,-11,-28,-19,-26,-30,-28,-24,-46,-47,-67,-43,-471
-9,-4,-23,-30,-40,-20,-57,-40,-22,-18,-39,-5,-11,-5,-19,-18,-26,-15,-41,-28,-62,-36,-480
-2,1,-17,-31,-37,-12,-56,-28,-11,-12,-33,-4,-1,6,-14,-9,-22,-7,-35,-9,-57,-29,-491
0,4,-15,-32,-34,-8,-54,-18,-8,-8,-30,-7,0,11,-9,-5,-16,0,-29,6,-50,-24,-497
-3,4,-15,-32,-34,-6,-52,-12,-12,-7,-33,-15,-7,8,-5,-4,-8,3,-24,14,-44,-21,-497
-11,1,-17,-30,-37,-9,-49,-13,-18,-10,-39,-23,-16,0,-2,-8,-1,2,-21,14,-39,-21,-491
-20,-6,-20,-26,-43,-12,-46,-17,-22,-13,-46,-29,-20,-9,-1,-14,2,-1,-18,10,-35,-23,-481
