FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-21,-22,-4,-13,8,4,31,23,36,-14,15,9,16,-26,-15,26,1,23,20,27,28,7,-79
-26,-32,-13,-23,3,-1,27,16,33,-24,3,4,7,-33,-25,18,-13,13,9,17,28,10,-80
-33,-40,-22,-30,0,-6,26,9,30,-29,-6,1,3,-37,-34,11,-26,4,-1,10,29,12,-78
-40,-45,-28,-34,0,-10,28,3,30,-29,-11,-2,7,-38,-40,5,-35,-1,-6,6,31,17,-74
-47,-45,-30,-35,2,-12,29,-2,34,-24,-8,-2,15,-33,-41,2,-38,-2,-4,5,34,24,-70
-48,-41,-28,-33,4,-11,30,-4,39,-17,2,2,24,-26,-39,4,-35,2,2,4,37,34,-66
-45,-37,-26,-29,6,-5,29,-5,44,-11,15,11,30,-19,-36,6,-29,9,8,3,39,43,-62
-40,-35,-23,-27,6,2,27,-4,47,-9,26,21,32,-16,-34,6,-24,16,11,0,39,48,-59
-37,-36,-21,-27,3,7,25,-2,46,-12,32,31,31,-15,-35,1,-21,20,12,-4,37,46,-58
-35,-40,-19,-28,-2,11,24,3,41,-17,34,36,31,-16,-37,-6,-21,20,11,-7,33,40,-59
-35,-44,-16,-29,-5,12,26,9,35,-21,31,39,35,-17,-41,-13,-22,18,9,-7,28,31,-60
-35,-46,-14,-28,-3,13,29,17,32,-21,25,38,43,-17,-43,-19,-23,17,10,-2,25,24,-62
-35,-44,-12,-26,0,13,28,24,30,-20,18,35,51,-18,-43,-21,-22,18,12,6,22,21,-68
-33,-40,-12,-26,3,15,23,28,30,-20,10,33,52,-20,-42,-21,-18,20,14,15,20,20,-77
-30,-36,-14,-23,3,18,15,28,31,-21,4,32,48,-23,-39,-17,-10,25,16,24,19,21,-82
-27,-30,-16,-18,3,23,8,26,33,-19,2,32,40,-25,-33,-11,1,32,19,32,20,22,-83
-28,-23,-17,-12,6,28,3,26,34,-16,4,33,32,-24,-26,-5,14,37,25,37,22,23,-77
-29,-16,-17,-4,11,32,2,27,34,-10,9,33,24,-21,-20,0,23,40,31,40,23,22,-65
-28,-11,-16,4,18,33,6,32,34,-2,14,32,22,-17,-14,3,27,41,36,40,24,20,-47
-23,-7,-15,11,26,31,15,39,34,4,14,30,25,-13,-10,4,25,41,38,38,22,17,-31
-18,-6,-14,14,32,25,24,45,33,6,9,26,29,-13,-9,1,16,36,35,33,19,14,-15
-16,-9,-14,13,31,19,29,47,31,4,-1,23,30,-18,-10,-4,5,27,28,27,15,12,0
-15,-13,-14,11,29,14,32,46,29,0,-9,20,29,-25,-12,-9,-7,18,20,20,12,11,18
-13,-16,-11,10,33,12,31,42,29,-3,-10,19,28,-30,-13,-14,-14,9,17,16,13,16,40
-13,-16,-5,11,42,13,27,40,32,-2,-5,24,27,-32,-14,-18,-16,3,19,16,18,24,62
-16,-12,2,13,52,15,25,39,35,2,5,31,27,-28,-13,-18,-13,1,27,19,25,34,86
-19,-7,10,16,59,17,25,40,38,9,15,38,29,-19,-10,-13,-7,3,35,24,30,42,113
-25,-3,14,15,57,16,27,40,38,13,19,40,31,-11,-7,-8,-1,8,40,26,31,45,142
-36,-5,10,7,43,7,27,36,31,12,17,34,29,-9,-9,-6,1,10,38,24,27,41,173
-48,-11,0,-8,21,-6,26,26,19,5,9,21,23,-12,-15,-9,0,8,27,18,20,32,201
-55,-21,-12,-24,0,-21,25,16,6,-5,0,6,16,-19,-25,-14,-5,5,13,10,11,22,215
-52,-29,-20,-35,-12,-30,25,8,-5,-15,-7,-6,10,-25,-35,-20,-9,4,0,4,5,12,209
-40,-34,-23,-40,-15,-34,23,3,-10,-21,-11,-13,5,-28,-43,-24,-12,3,-10,3,1,5,181
-25,-35,-20,-38,-12,-31,20,1,-11,-21,-14,-13,2,-25,-45,-26,-12,4,-16,4,-2,1,131
-13,-31,-12,-29,-8,-24,16,4,-9,-17,-14,-9,3,-17,-40,-24,-10,5,-16,7,-3,-2,65
-7,-25,-2,-17,-6,-15,13,7,-4,-12,-13,-5,5,-8,-31,-19,-6,7,-13,11,-2,-3,1
-10,-20,6,-7,-5,-7,9,7,1,-10,-12,-4,7,1,-23,-14,-3,6,-11,14,1,-6,-51
-18,-17,12,1,-3,-2,6,5,5,-11,-12,-6,9,7,-16,-8,1,4,-9,17,5,-9,-88
-25,-13,16,8,0,2,6,3,10,-13,-10,-8,12,14,-10,-2,5,1,-8,21,7,-11,-114
-27,-6,20,14,6,6,6,3,14,-13,-7,-10,17,19,-4,3,10,-1,-7,25,7,-12,-130
-23,0,20,19,12,8,5,3,15,-9,-8,-12,20,20,0,6,12,-3,-7,28,1,-13,-138
-15,6,18,22,15,6,2,2,15,-3,-11,-15,21,18,2,6,12,-5,-9,25,-10,-14,-143
-7,9,14,25,14,4,1,2,13,4,-14,-19,19,15,4,6,11,-6,-10,18,-19,-13,-146
