FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
12,34,30,1,-5,62,37,58,59,-16,15,37,22,31,11,-17,32,44,15,51,2,23,-103
-1,30,14,6,2,57,24,55,77,-22,9,27,2,22,2,-16,23,39,12,43,14,28,-97
-5,29,9,17,11,51,14,52,94,-15,7,17,-5,15,-1,-7,18,30,10,37,33,31,-89
-1,30,10,33,20,44,13,52,106,3,13,9,3,12,2,8,17,19,13,35,51,32,-83
5,30,9,45,26,34,17,53,109,25,21,1,19,10,8,23,16,5,21,33,59,34,-80
8,26,5,51,29,21,25,57,104,46,28,-8,36,10,14,31,13,-10,35,30,54,37,-77
8,21,-2,51,30,9,37,65,93,62,33,-17,49,14,20,31,8,-23,49,29,43,40,-70
8,17,-9,48,34,3,57,75,81,72,38,-20,55,25,25,26,2,-30,60,32,33,46,-59
10,13,-12,45,41,0,82,81,68,77,42,-15,53,36,28,19,-3,-29,67,39,25,57,-48
13,8,-7,39,52,-3,106,78,53,79,45,-7,49,43,29,12,-6,-20,67,46,21,66,-37
19,4,4,31,63,-9,120,66,35,81,47,0,44,45,28,6,-6,-5,60,50,20,69,-26
20,0,12,18,67,-19,115,46,19,81,43,7,39,40,25,4,-4,8,47,47,17,65,-18
15,-6,10,-2,58,-35,85,20,7,75,29,11,28,25,16,1,-4,12,30,36,5,53,-10
4,-14,1,-29,36,-56,42,-9,-6,62,8,13,9,5,4,-6,-6,3,11,15,-18,33,1
-7,-23,-10,-54,5,-73,0,-37,-22,42,-10,10,-10,-12,-9,-20,-9,-16,-10,-12,-44,6,19
-17,-33,-22,-71,-26,-80,-32,-61,-43,18,-22,3,-22,-21,-22,-40,-13,-42,-33,-40,-65,-19,47
-23,-45,-33,-78,-53,-77,-49,-78,-70,-9,-27,-9,-29,-25,-34,-63,-18,-64,-55,-61,-79,-38,81
-27,-57,-41,-75,-72,-65,-56,-87,-95,-37,-30,-23,-33,-27,-42,-82,-23,-76,-75,-71,-85,-50,118
-29,-66,-46,-63,-84,-46,-58,-84,-112,-60,-34,-37,-32,-27,-44,-90,-26,-73,-90,-68,-84,-56,153
-29,-61,-46,-41,-88,-20,-57,-68,-112,-73,-39,-48,-26,-24,-39,-83,-24,-55,-93,-51,-76,-57,182
-23,-44,-38,-15,-85,9,-54,-38,-93,-73,-40,-51,-15,-20,-28,-61,-12,-25,-80,-25,-60,-49,202
-16,-18,-22,11,-77,36,-48,-4,-60,-61,-31,-43,0,-14,-13,-33,8,9,-54,5,-38,-35,207
-12,7,-4,28,-68,52,-43,21,-28,-46,-18,-29,15,-8,1,-7,29,36,-23,27,-17,-21,194
-12,24,8,34,-58,57,-42,31,-4,-29,-6,-16,28,-3,9,11,43,49,4,35,1,-10,167
-13,32,9,31,-46,53,-45,28,11,-8,1,-1,35,-1,15,20,50,51,24,35,17,1,131
-15,31,0,20,-34,41,-53,19,20,12,0,11,36,-4,19,21,48,41,35,36,25,14,90
-19,23,-14,8,-26,24,-59,5,27,31,-6,13,29,-7,23,17,42,24,38,41,22,24,44
-18,18,-28,1,-20,7,-55,-10,38,49,-11,6,21,-5,30,14,38,9,37,50,15,29,-6
-9,20,-36,0,-15,-4,-38,-19,52,68,-9,-7,15,6,43,14,41,0,35,59,11,32,-55
3,27,-35,2,-11,-12,-15,-24,62,80,-1,-20,13,21,57,16,47,-4,33,64,13,32,-95
11,34,-27,0,-11,-22,3,-29,63,79,6,-33,9,33,68,18,49,-8,29,56,18,26,-124
17,38,-15,-5,-9,-33,16,-38,56,68,12,-41,2,39,75,20,45,-11,24,33,24,17,-139
21,40,-4,-10,0,-43,29,-46,44,55,17,-42,-5,41,79,20,35,-12,17,5,28,13,-142
21,36,0,-13,11,-52,41,-54,28,40,22,-37,-12,37,78,17,22,-14,7,-20,26,14,-138
11,22,-6,-22,18,-64,45,-64,5,22,23,-35,-27,24,67,8,8,-19,-8,-41,11,14,-136
-8,2,-25,-37,16,-75,40,-78,-22,7,19,-40,-47,6,45,-8,-6,-25,-31,-62,-14,8,-143
-26,-16,-48,-53,9,-78,25,-92,-49,-1,7,-48,-63,-12,19,-28,-14,-25,-54,-78,-38,-5,-157
-36,-23,-64,-66,0,-69,0,-100,-71,1,-9,-54,-69,-24,-4,-46,-13,-21,-71,-87,-51,-25,-171
