FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-2,-1,-13,6,-1,-6,20,-3,3,9,5,-4,-1,-6,-8,-21,1,-21,-22,-8,-20,8,-22
9,9,-6,13,-6,-7,7,-8,-7,18,8,-8,-9,3,2,-24,6,-24,-24,-19,-25,0,11
18,18,3,20,-8,-5,-2,-10,-13,26,12,-9,-13,11,10,-23,12,-25,-21,-24,-26,-3,50
22,23,11,25,-9,-3,-8,-12,-18,30,15,-9,-16,17,16,-19,16,-23,-17,-27,-24,-4,93
21,23,13,25,-11,-4,-14,-15,-23,30,15,-11,-19,19,17,-15,17,-20,-14,-29,-23,-6,138
15,18,9,20,-14,-9,-19,-21,-30,25,11,-15,-23,17,14,-12,15,-18,-13,-31,-24,-10,183
7,11,0,11,-19,-16,-24,-28,-36,18,4,-21,-27,10,8,-9,11,-17,-15,-34,-25,-14,223
-2,2,-10,1,-24,-24,-29,-33,-42,8,-5,-26,-30,2,-1,-9,6,-16,-17,-36,-27,-19,258
-8,-5,-17,-7,-26,-28,-30,-34,-42,0,-12,-27,-28,-4,-7,-8,1,-13,-17,-33,-25,-18,291
-11,-8,-18,-10,-24,-27,-24,-29,-34,-4,-15,-22,-20,-7,-10,-7,0,-7,-13,-23,-18,-10,324
-11,-9,-15,-9,-16,-19,-11,-17,-19,-4,-13,-12,-6,-5,-9,-3,3,3,-5,-5,-5,5,358
-10,-9,-11,-5,-6,-10,4,-3,-2,-2,-10,0,10,-3,-8,2,6,15,5,15,10,23,396
-12,-11,-11,-3,2,-2,18,9,13,-2,-8,10,24,0,-8,6,9,25,14,33,24,38,443
-16,-15,-15,-5,5,1,27,16,21,-3,-10,15,31,2,-10,8,9,32,18,45,33,47,501
-20,-20,-22,-10,2,-1,30,17,22,-9,-17,14,32,2,-14,10,7,33,18,50,36,49,564
-25,-25,-28,-17,-5,-7,28,12,18,-16,-26,8,29,1,-18,10,3,31,13,49,33,45,625
-27,-29,-30,-25,-13,-15,24,5,11,-24,-36,-1,23,-3,-22,9,-3,27,5,45,26,39,679
-28,-31,-28,-31,-18,-22,23,-1,8,-32,-45,-9,19,-8,-24,6,-10,22,-3,40,19,34,723
-27,-32,-23,-36,-17,-26,26,-2,7,-39,-50,-15,17,-14,-25,2,-16,17,-10,34,12,30,758
-24,-31,-17,-37,-12,-25,31,0,10,-42,-52,-17,17,-20,-25,-4,-21,12,-14,29,7,28,788
-22,-29,-13,-35,-4,-20,35,4,14,-40,-49,-15,17,-25,-25,-11,-25,6,-15,22,4,26,812
-18,-26,-12,-30,5,-11,37,9,15,-35,-43,-13,15,-27,-25,-15,-26,0,-15,14,-1,22,827
-15,-23,-12,-22,12,-1,35,11,12,-26,-34,-10,10,-26,-22,-18,-24,-7,-14,4,-6,16,831
-10,-18,-9,-11,15,9,29,11,6,-14,-23,-8,3,-20,-16,-18,-19,-15,-13,-7,-13,8,823
-5,-13,-4,1,15,16,19,8,-3,-2,-12,-9,-7,-13,-9,-17,-11,-23,-14,-18,-21,-2,803
0,-9,1,12,11,17,6,1,-15,8,-4,-12,-18,-6,-2,-17,-4,-32,-17,-30,-30,-14,771
3,-5,5,20,6,15,-6,-7,-27,15,2,-17,-29,1,3,-16,3,-38,-20,-41,-39,-26,726
7,-1,10,26,1,12,-15,-14,-36,20,5,-20,-38,7,7,-13,9,-41,-21,-48,-45,-36,669
11,3,16,30,-1,8,-20,-19,-43,24,8,-22,-45,12,8,-6,14,-41,-20,-51,-48,-42,598
15,6,22,31,-2,6,-23,-21,-45,26,11,-20,-49,12,7,1,18,-37,-16,-50,-46,-45,509
17,7,29,32,-2,6,-22,-20,-44,27,14,-16,-50,9,4,8,20,-32,-10,-46,-41,-44,401
16,7,34,31,-1,8,-20,-17,-39,27,18,-9,-47,5,0,12,20,-26,-2,-42,-33,-39,279
14,6,36,29,0,10,-16,-13,-31,25,22,-1,-40,-2,-5,12,19,-21,6,-37,-24,-32,153
6,0,32,24,0,12,-9,-7,-22,19,24,7,-32,-11,-13,8,13,-19,11,-33,-15,-24,27
-7,-12,22,15,2,13,2,1,-10,8,22,14,-21,-25,-26,2,1,-17,12,-28,-8,-13,-90
-26,-31,10,1,5,12,15,9,3,-7,16,20,-10,-44,-45,-8,-18,-16,10,-22,-2,-1,-194
-51,-57,-3,-17,8,8,27,16,16,-27,6,23,1,-71,-73,-21,-42,-16,5,-15,2,10,-284
-84,-91,-17,-38,10,0,38,21,26,-52,-8,23,8,-106,-110,-37,-70,-16,-4,-9,4,19,-363
-120,-130,-29,-61,9,-9,45,21,31,-77,-23,19,12,-144,-151,-53,-96,-16,-14,-2,5,24,-430
-156,-169,-40,-81,6,-19,48,17,32,-101,-36,12,12,-179,-192,-66,-116,-16,-24,4,4,26,-484
-187,-204,-48,-97,3,-27,48,11,29,-118,-46,4,10,-206,-228,-73,-126,-16,-30,10,1,25,-529
-209,-230,-52,-105,2,-33,50,4,25,-127,-50,-4,8,-221,-253,-72,-126,-13,-33,18,-1,23,-566
-220,-244,-49,-105,4,-35,53,0,21,-127,-50,-10,7,-225,-265,-63,-117,-8,-31,26,-1,23,-598
-222,-247,-43,-99,8,-33,57,-2,18,-121,-46,-13,7,-219,-266,-50,-103,-2,-25,34,1,23,-627
-216,-242,-35,-90,12,-30,58,-3,14,-112,-42,-14,5,-208,-258,-38,-88,4,-17,38,4,22,-650
-207,-232,-28,-83,13,-29,54,-4,9,-102,-39,-15,1,-194,-245,-29,-75,7,-10,37,5,19,-662
-196,-219,-26,-78,10,-29,46,-6,2,-94,-40,-18,-5,-180,-230,-24,-66,6,-7,30,3,13,-663
-186,-206,-28,-77,6,-31,34,-9,-6,-89,-42,-21,-12,-168,-217,-23,-62,0,-8,19,-3,4,-654
-175,-194,-32,-78,-1,-34,21,-12,-13,-85,-44,-24,-19,-157,-204,-24,-62,-8,-13,6,-10,-4,-640
-163,-181,-37,-77,-6,-34,8,-13,-18,-81,-43,-25,-24,-148,-192,-25,-63,-15,-18,-5,-17,-11,-625
