FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
6,-4,-24,-9,-33,-48,-9,-35,-38,-4,-11,-13,-10,-1,-6,-25,9,-17,-35,-25,-32,-37,-135
13,-1,-15,-6,-25,-43,-8,-16,-28,1,-12,-9,-1,9,-4,-23,13,-5,-25,-7,-27,-37,-129
28,12,5,7,-11,-26,1,11,-9,16,-6,2,14,28,6,-11,26,16,-7,16,-12,-26,-136
45,25,26,24,3,-5,13,34,11,31,4,16,31,47,19,5,40,39,9,33,7,-9,-147
56,34,40,37,12,15,21,44,26,40,10,27,43,57,29,19,49,56,18,42,24,8,-145
57,37,41,43,15,30,22,42,32,38,10,30,48,53,34,28,52,58,19,44,35,20,-128
48,34,32,43,14,37,17,32,30,26,5,25,46,35,31,31,49,48,16,39,39,25,-107
32,29,19,41,11,39,7,23,25,13,-3,16,38,14,25,32,42,29,13,31,36,24,-92
21,30,12,43,13,42,-2,24,25,11,-7,9,30,4,24,37,35,12,19,23,32,23,-85
23,42,15,55,24,51,-2,41,36,25,0,10,26,13,35,50,37,3,34,21,32,29,-85
39,62,24,75,41,62,8,67,55,52,20,19,27,36,54,68,47,5,53,24,36,40,-91
59,79,33,95,56,72,25,87,72,78,41,30,28,60,73,80,58,10,67,25,40,50,-101
71,85,36,103,60,75,39,90,77,91,54,35,23,72,80,76,62,7,70,20,37,49,-109
71,79,32,96,52,71,47,78,68,88,55,32,13,69,74,56,56,-4,63,10,28,37,-109
61,66,26,81,38,63,49,61,52,76,49,22,6,55,61,29,46,-17,54,2,20,21,-104
47,51,21,65,25,53,48,44,35,62,40,12,1,40,49,4,34,-23,45,-3,17,10,-97
35,38,17,51,18,42,42,29,21,49,34,6,-2,29,41,-12,22,-20,37,-6,17,5,-94
26,28,12,40,13,31,29,15,13,40,33,3,-5,23,37,-19,14,-11,28,-9,17,5,-96
20,17,5,32,9,19,11,2,5,32,35,2,-11,22,34,-20,9,-3,16,-12,13,7,-101
13,5,-2,24,2,7,-10,-14,-6,24,36,4,-19,22,29,-20,7,-1,0,-16,6,6,-103
9,-6,-7,19,-6,-1,-25,-29,-19,19,36,9,-27,23,22,-20,9,-1,-11,-16,-2,1,-99
12,-6,-1,20,-8,0,-28,-35,-25,24,39,21,-27,30,18,-16,18,3,-11,-5,-3,-1,-82
23,6,16,27,-3,8,-17,-27,-22,41,46,37,-14,42,22,-10,35,15,-1,16,9,5,-52
37,26,37,37,7,18,-1,-11,-14,61,55,50,7,55,30,-2,54,30,13,39,27,15,-19
50,45,54,43,17,24,14,4,-7,74,62,56,25,63,38,6,67,45,24,56,41,23,2
58,58,61,40,21,27,22,14,-2,76,63,53,38,66,45,13,73,53,29,62,47,27,9
62,65,63,33,24,29,25,22,3,71,59,46,47,67,51,20,73,56,31,67,46,29,18
66,71,65,33,30,37,32,33,11,67,54,45,57,71,60,32,71,58,37,75,42,34,40
69,76,68,41,41,52,45,50,27,67,49,52,67,75,69,48,70,64,52,89,40,42,72
74,81,73,58,56,73,65,72,49,75,47,65,77,80,77,67,73,73,71,104,41,50,104
84,90,84,83,75,97,88,100,78,94,50,81,90,87,86,87,83,83,94,119,50,61,136
98,105,102,114,97,119,110,130,107,117,60,97,102,98,97,108,100,95,113,130,67,74,168
115,120,118,143,116,136,127,151,129,138,72,105,108,110,111,127,117,102,123,131,85,85,196
131,132,129,162,129,144,134,158,139,149,81,105,105,121,122,137,129,102,123,123,100,91,220
143,138,135,169,136,141,135,151,137,150,84,97,95,127,131,135,132,95,115,108,109,91,239
143,135,129,162,133,125,127,131,124,138,78,83,77,124,130,120,120,81,99,88,107,84,245
123,118,106,135,115,96,106,96,98,113,61,58,49,106,112,90,90,56,74,58,88,65,222
88,88,72,93,85,59,78,54,63,79,35,23,17,77,79,52,50,27,44,22,56,36,166
52,58,43,50,58,25,52,19,30,50,12,-11,-7,49,46,22,15,2,18,-8,24,9,94
27,38,26,20,42,1,35,-2,4,32,-2,-36,-17,31,23,7,-7,-10,2,-24,3,-7,29
15,28,20,4,35,-11,23,-11,-17,21,-8,-49,-20,23,11,4,-16,-14,-6,-27,-7,-13,-20
11,21,18,-1,31,-18,11,-16,-38,14,-15,-53,-21,19,3,4,-19,-16,-10,-23,-9,-15,-55
10,12,14,-1,26,-24,-1,-23,-57,6,-23,-50,-26,13,-2,-3,-22,-19,-14,-20,-10,-16,-82
9,4,9,2,17,-31,-12,-32,-71,-2,-29,-38,-34,5,-6,-13,-23,-24,-18,-20,-10,-17,-105
11,0,6,7,5,-34,-18,-40,-76,-6,-28,-19,-40,-1,-4,-22,-19,-22,-19,-21,-8,-13,-126
18,4,9,11,-6,-32,-16,-43,-68,-2,-19,4,-40,0,4,-23,-6,-11,-19,-19,-1,-2,-138
25,13,19,12,-11,-25,-10,-39,-51,7,-4,24,-33,7,18,-16,9,6,-17,-15,8,12,-137
28,19,29,4,-14,-16,-6,-31,-34,11,8,36,-26,15,29,-7,21,19,-18,-10,13,20,-128
23,19,32,-7,-17,-8,-10,-22,-23,7,11,37,-22,23,33,-2,23,24,-23,-7,13,18,-115
12,10,27,-18,-20,-3,-17,-13,-19,-4,6,29,-19,28,30,-3,18,18,-28,-7,9,6,-105
1,-1,20,-23,-19,0,-24,-5,-17,-13,-1,17,-15,30,23,-10,8,6,-29,-9,5,-9,-103
-4,-7,18,-16,-13,6,-27,3,-13,-17,-2,10,-6,28,18,-16,2,-5,-24,-9,2,-18,-118
3,-1,23,4,-7,14,-24,13,-3,-13,6,10,7,25,19,-13,7,-7,-11,-5,3,-17,-149
17,15,31,31,-1,23,-16,23,8,0,17,15,21,22,25,0,19,-2,6,6,5,-8,-180
28,31,33,51,1,26,-10,28,15,13,24,18,26,16,28,15,28,4,16,18,4,-1,-178
30,37,22,56,-2,18,-11,25,12,14,20,13,20,5,23,23,27,0,16,26,-2,-4,-84
24,32,1,50,-7,4,-13,18,2,7,10,4,9,-4,13,22,18,-12,10,27,-8,-15,171
17,22,-18,41,-8,-10,-7,13,-6,-2,1,-3,3,-8,5,17,6,-26,6,27,-8,-24,621
13,12,-27,32,-1,-19,9,11,-7,-7,0,-5,3,-6,0,8,-7,-33,8,25,-1,-23,1221
10,0,-29,19,6,-24,27,8,-3,-13,3,-5,6,-6,-3,-5,-21,-35,13,19,4,-13,1829
2,-16,-31,4,3,-29,40,-5,-1,-24,5,-7,5,-13,-11,-22,-37,-37,14,5,3,-2,2253
-13,-36,-37,-15,-9,-36,43,-26,-4,-38,1,-14,-5,-27,-25,-39,-52,-40,9,-14,-4,3,2329
-32,-56,-49,-35,-25,-44,36,-51,-13,-48,-8,-25,-21,-41,-41,-53,-64,-44,-3,-33,-15,-1,2011
-47,-70,-61,-52,-35,-50,24,-70,-23,-48,-16,-37,-36,-46,-52,-60,-67,-48,-19,-47,-21,-11,1399
-49,-71,-63,-59,-36,-48,14,-77,-27,-36,-16,-43,-41,-40,-52,-57,-55,-49,-32,-52,-20,-20,694
-35,-54,-52,-52,-27,-35,11,-68,-24,-11,-6,-38,-31,-21,-37,-43,-31,-42,-37,-46,-13,-21,103
-10,-26,-32,-35,-11,-15,14,-47,-15,18,11,-24,-14,4,-14,-26,-5,-27,-37,-31,-7,-15,-245
14,2,-12,-19,1,5,17,-26,-8,36,25,-9,2,22,6,-15,13,-12,-35,-14,-8,-9,-340
29,20,1,-10,2,17,17,-14,-7,36,30,1,9,30,17,-14,20,-4,-33,-2,-16,-9,-281
33,28,6,-7,-2,24,13,-7,-11,25,30,9,11,28,18,-19,18,-3,-29,6,-25,-15,-190
27,29,9,-6,-5,27,10,-2,-14,12,31,16,13,23,15,-24,13,-5,-22,12,-31,-24,-145
21,28,14,-4,1,32,12,9,-7,9,36,24,20,24,15,-21,12,-5,-9,18,-27,-29,-155
22,34,26,7,16,40,21,27,10,18,47,33,33,33,23,-6,23,2,12,29,-15,-24,-187
30,46,39,30,35,52,31,48,34,38,61,44,47,47,38,19,41,15,34,43,-1,-11,-212
38,58,49,55,49,62,35,64,56,56,70,50,53,57,51,41,54,25,49,52,8,-1,-219
43,64,52,75,53,70,31,71,68,66,71,48,46,59,59,51,56,31,53,52,11,2,-210
47,66,47,88,49,75,24,72,70,65,65,41,33,55,64,52,49,34,50,46,12,1,-192
48,63,37,94,43,76,18,71,64,60,58,36,22,46,66,46,38,35,44,35,15,-1,-175
49,60,27,91,39,75,19,73,57,53,52,32,16,37,66,38,25,37,40,24,23,2,-169
52,58,20,81,37,72,25,76,52,50,50,29,16,32,67,32,16,39,40,18,36,9,-170
53,54,12,68,35,63,30,75,48,47,48,24,15,29,65,30,9,35,43,16,47,17,-168
48,46,2,51,31,45,28,63,43,41,42,14,8,24,56,28,4,22,45,16,48,20,-160
37,34,-6,34,27,24,19,40,37,31,31,0,-7,16,41,22,-3,1,41,15,40,16,-146
25,22,-10,22,23,5,9,12,32,18,18,-12,-23,6,23,12,-11,-21,30,12,27,10,-117
18,14,-8,17,24,-6,6,-11,29,8,9,-17,-32,-1,9,2,-18,-34,18,9,14,8,-72
21,14,0,16,33,-9,14,-20,32,7,8,-12,-30,-2,4,-2,-18,-35,11,6,6,13,-19
31,23,13,18,47,-3,34,-15,38,13,14,2,-16,7,9,1,-11,-23,12,6,5,24,25
41,32,26,18,58,6,55,-3,40,20,23,17,1,23,18,7,-2,-6,16,7,10,35,45
43,35,31,13,62,12,67,5,35,22,29,28,15,39,26,11,4,6,20,7,14,37,45
34,29,27,2,55,8,64,3,22,16,29,31,23,49,29,12,6,11,22,4,11,29,40
16,15,14,-11,40,-4,47,-7,3,2,23,27,22,48,24,8,6,11,19,-1,1,15,42
-5,-1,-2,-24,18,-21,18,-23,-16,-17,13,20,13,38,13,-3,2,6,10,-9,-13,-1,58
-21,-13,-16,-33,-7,-36,-13,-38,-32,-34,3,12,0,21,0,-15,-2,-2,-3,-18,-26,-17,86
-27,-15,-20,-34,-26,-42,-37,-47,-40,-43,-4,8,-10,6,-8,-21,-4,-8,-14,-25,-31,-30,123
