Time,P3
1.4921875,16
1.49609375,3
1.5,-14
1.50390625,-32
1.5078125,-48
1.51171875,-55
1.515625,-52
1.51953125,-43
1.5234375,-34
1.52734375,-30
1.53125,-33
1.53515625,-41
1.5390625,-49
1.54296875,-49
1.546875,-38
1.55078125,-21
1.5546875,-2
1.55859375,14
1.5625,22
1.56640625,19
1.5703125,10
1.57421875,-1
1.578125,-11
1.58203125,-18
1.5859375,-23
1.58984375,-26
1.59375,-30
1.59765625,-38
1.6015625,-49
1.60546875,-61
1.609375,-73
1.61328125,-84
1.6171875,-86
1.62109375,-75
1.625,-59
1.62890625,-46
1.6328125,-38
1.63671875,-32
1.640625,-28
1.64453125,-29
1.6484375,-29
1.65234375,-19
1.65625,-4
1.66015625,7
1.6640625,13
1.66796875,17
1.671875,14
1.67578125,-2
1.6796875,-24
1.68359375,-38
1.6875,-40
1.69140625,-36
1.6953125,-33
1.69921875,-33
1.703125,-38
1.70703125,-51
1.7109375,-66
1.71484375,-73
1.71875,-65
1.72265625,-43
1.7265625,-16
1.73046875,10
1.734375,29
1.73828125,40
1.7421875,41
1.74609375,37
1.75,31
1.75390625,29
1.7578125,29
1.76171875,28
1.765625,25
1.76953125,23
1.7734375,20
1.77734375,18
1.78125,17
1.78515625,21
1.7890625,27
1.79296875,32
1.796875,36
1.80078125,37
1.8046875,33
1.80859375,23
1.8125,9
1.81640625,-3
1.8203125,-8
1.82421875,-2
1.828125,12
1.83203125,29
1.8359375,48
1.83984375,63
1.84375,69
1.84765625,63
1.8515625,54
1.85546875,48
1.859375,41
1.86328125,33
1.8671875,27
1.87109375,29
1.875,33
1.87890625,35
1.8828125,33
1.88671875,32
1.890625,26
1.89453125,12
1.8984375,0
1.90234375,2
1.90625,17
1.91015625,34
1.9140625,49
1.91796875,63
1.921875,74
1.92578125,77
1.9296875,71
1.93359375,62
1.9375,53
1.94140625,45
1.9453125,39
1.94921875,37
1.953125,35
1.95703125,30
1.9609375,17
1.96484375,-4
1.96875,-27
1.97265625,-41
1.9765625,-44
1.98046875,-39
1.984375,-32
1.98828125,-27
1.9921875,-25
1.99609375,-26
2.0,-23
2.00390625,-11
2.0078125,10
2.01171875,37
2.015625,64
2.01953125,81
2.0234375,85
2.02734375,78
2.03125,65
2.03515625,50
2.0390625,32
2.04296875,14
2.046875,2
2.05078125,-6
2.0546875,-12
2.05859375,-16
2.0625,-13
2.06640625,-1
2.0703125,15
2.07421875,31
2.078125,49
2.08203125,68
2.0859375,80
2.08984375,79
2.09375,67
2.09765625,52
2.1015625,39
2.10546875,32
2.109375,32
2.11328125,43
2.1171875,60
2.12109375,73
2.125,79
2.12890625,76
2.1328125,66
2.13671875,52
2.140625,41
2.14453125,36
2.1484375,35
2.15234375,36
2.15625,34
2.16015625,23
2.1640625,3
2.16796875,-16
2.171875,-24
2.17578125,-23
2.1796875,-17
2.18359375,-8
2.1875,2
2.19140625,12
2.1953125,21
2.19921875,30
2.203125,38
2.20703125,43
2.2109375,40
2.21484375,32
2.21875,25
2.22265625,23
2.2265625,26
2.23046875,34
2.234375,45
2.23828125,51
2.2421875,52
2.24609375,48
2.25,41
2.25390625,30
2.2578125,18
2.26171875,10
2.265625,8
2.26953125,12
2.2734375,18
2.27734375,27
2.28125,38
2.28515625,51
2.2890625,65
2.29296875,78
2.296875,88
2.30078125,88
2.3046875,71
2.30859375,36
2.3125,-7
2.31640625,-46
2.3203125,-72
2.32421875,-83
2.328125,-80
2.33203125,-69
2.3359375,-57
2.33984375,-45
2.34375,-35
2.34765625,-29
2.3515625,-30
2.35546875,-35
2.359375,-37
2.36328125,-33
2.3671875,-22
2.37109375,-3
2.375,16
2.37890625,28
2.3828125,29
2.38671875,25
2.390625,23
2.39453125,20
2.3984375,14
2.40234375,6
2.40625,1
2.41015625,-5
2.4140625,-11
2.41796875,-17
2.421875,-22
2.42578125,-26
2.4296875,-30
2.43359375,-30
2.4375,-29
2.44140625,-26
2.4453125,-25
2.44921875,-30
2.453125,-37
2.45703125,-41
2.4609375,-40
2.46484375,-33
2.46875,-25
2.47265625,-15
2.4765625,-7
2.48046875,-4
2.484375,-6
2.48828125,-12
2.4921875,-18
2.49609375,-21
2.5,-22
2.50390625,-22
2.5078125,-25
2.51171875,-33
2.515625,-45
2.51953125,-58
2.5234375,-70
2.52734375,-75
2.53125,-73
2.53515625,-67
2.5390625,-59
2.54296875,-50
2.546875,-43
2.55078125,-40
2.5546875,-42
2.55859375,-45
2.5625,-47
2.56640625,-47
2.5703125,-43
2.57421875,-33
2.578125,-20
2.58203125,-9
2.5859375,-4
2.58984375,-6
2.59375,-17
2.59765625,-34
2.6015625,-52
2.60546875,-69
2.609375,-78
2.61328125,-79
2.6171875,-73
2.62109375,-59
2.625,-38
2.62890625,-16
2.6328125,-1
2.63671875,6
2.640625,5
2.64453125,-2
2.6484375,-13
2.65234375,-24
2.65625,-31
2.66015625,-33
2.6640625,-28
2.66796875,-18
2.671875,-9
2.67578125,-7
2.6796875,-15
2.68359375,-31
2.6875,-47
2.69140625,-56
2.6953125,-53
2.69921875,-42
2.703125,-27
2.70703125,-16
2.7109375,-11
2.71484375,-8
2.71875,-3
2.72265625,3
2.7265625,9
2.73046875,14
2.734375,16
2.73828125,17
2.7421875,19
2.74609375,25
2.75,33
2.75390625,41
2.7578125,45
2.76171875,41
2.765625,26
2.76953125,4
2.7734375,-18
2.77734375,-38
2.78125,-53
2.78515625,-62
2.7890625,-63
2.79296875,-56
2.796875,-45
2.80078125,-32
2.8046875,-17
2.80859375,-1
2.8125,14
2.81640625,23
2.8203125,26
2.82421875,25
2.828125,21
2.83203125,14
2.8359375,5
2.83984375,2
2.84375,6
2.84765625,11
2.8515625,13
2.85546875,7
2.859375,-6
2.86328125,-24
2.8671875,-44
2.87109375,-58
2.875,-61
2.87890625,-58
2.8828125,-54
2.88671875,-56
2.890625,-59
2.89453125,-56
2.8984375,-43
