Time,F7
0.0,-32
0.00390625,-47
0.0078125,-58
0.01171875,-61
0.015625,-55
0.01953125,-46
0.0234375,-42
0.02734375,-49
0.03125,-61
0.03515625,-66
0.0390625,-61
0.04296875,-48
0.046875,-31
0.05078125,-15
0.0546875,-6
0.05859375,-3
0.0625,4
0.06640625,21
0.0703125,44
0.07421875,61
0.078125,68
0.08203125,66
0.0859375,59
0.08984375,48
0.09375,36
0.09765625,26
0.1015625,13
0.10546875,-2
0.109375,-16
0.11328125,-25
0.1171875,-29
0.12109375,-27
0.125,-19
0.12890625,-8
0.1328125,1
0.13671875,5
0.140625,7
0.14453125,10
0.1484375,14
0.15234375,22
0.15625,35
0.16015625,49
0.1640625,57
0.16796875,60
0.171875,61
0.17578125,53
0.1796875,35
0.18359375,11
0.1875,-13
0.19140625,-36
0.1953125,-52
0.19921875,-54
0.203125,-44
0.20703125,-33
0.2109375,-27
0.21484375,-22
0.21875,-17
0.22265625,-14
0.2265625,-10
0.23046875,-2
0.234375,10
0.23828125,26
0.2421875,43
0.24609375,60
0.25,77
0.25390625,87
0.2578125,88
0.26171875,82
0.265625,69
0.26953125,51
0.2734375,30
0.27734375,9
0.28125,-9
0.28515625,-22
0.2890625,-30
0.29296875,-34
0.296875,-38
0.30078125,-42
0.3046875,-45
0.30859375,-43
0.3125,-37
0.31640625,-25
0.3203125,-11
0.32421875,0
0.328125,11
0.33203125,21
0.3359375,30
0.33984375,36
0.34375,39
0.34765625,36
0.3515625,24
0.35546875,3
0.359375,-19
0.36328125,-37
0.3671875,-49
0.37109375,-55
0.375,-60
0.37890625,-65
0.3828125,-71
0.38671875,-79
0.390625,-84
0.39453125,-77
0.3984375,-55
0.40234375,-24
0.40625,5
0.41015625,28
0.4140625,39
0.41796875,39
0.421875,33
0.42578125,31
0.4296875,36
0.43359375,43
0.4375,44
0.44140625,39
0.4453125,28
0.44921875,15
0.453125,2
0.45703125,-9
0.4609375,-16
0.46484375,-21
0.46875,-23
0.47265625,-22
0.4765625,-14
0.48046875,-3
0.484375,10
0.48828125,22
0.4921875,36
0.49609375,50
0.5,63
0.50390625,73
0.5078125,78
0.51171875,79
0.515625,76
0.51953125,69
0.5234375,57
0.52734375,40
0.53125,21
0.53515625,4
0.5390625,-9
0.54296875,-16
0.546875,-21
0.55078125,-30
0.5546875,-48
0.55859375,-68
0.5625,-82
0.56640625,-82
0.5703125,-67
0.57421875,-45
0.578125,-22
0.58203125,-2
0.5859375,16
0.58984375,31
0.59375,48
0.59765625,65
0.6015625,78
0.60546875,81
0.609375,77
0.61328125,69
0.6171875,59
0.62109375,48
0.625,36
0.62890625,22
0.6328125,4
0.63671875,-13
0.640625,-26
0.64453125,-34
0.6484375,-37
0.65234375,-35
0.65625,-33
0.66015625,-39
0.6640625,-50
0.66796875,-58
0.671875,-55
0.67578125,-41
0.6796875,-16
0.68359375,14
0.6875,41
0.69140625,57
0.6953125,62
0.69921875,61
0.703125,61
0.70703125,60
0.7109375,54
0.71484375,44
0.71875,29
0.72265625,11
0.7265625,-9
0.73046875,-30
0.734375,-49
0.73828125,-66
0.7421875,-83
0.74609375,-96
0.75,-99
0.75390625,-89
0.7578125,-68
0.76171875,-40
0.765625,-7
0.76953125,24
0.7734375,46
0.77734375,57
0.78125,62
0.78515625,63
0.7890625,61
0.79296875,57
0.796875,51
0.80078125,38
0.8046875,19
0.80859375,1
0.8125,-12
0.81640625,-18
0.8203125,-17
0.82421875,-15
0.828125,-20
0.83203125,-32
0.8359375,-44
0.83984375,-53
0.84375,-58
0.84765625,-57
0.8515625,-53
0.85546875,-50
0.859375,-46
0.86328125,-36
0.8671875,-13
0.87109375,21
0.875,57
0.87890625,86
0.8828125,98
0.88671875,90
0.890625,70
0.89453125,48
0.8984375,32
0.90234375,22
0.90625,13
0.91015625,-2
0.9140625,-23
0.91796875,-44
0.921875,-55
0.92578125,-49
0.9296875,-23
0.93359375,11
0.9375,39
0.94140625,55
0.9453125,61
0.94921875,60
0.953125,59
0.95703125,57
0.9609375,53
0.96484375,45
0.96875,31
0.97265625,13
0.9765625,-3
0.98046875,-11
0.984375,-10
0.98828125,-5
0.9921875,0
0.99609375,3
1.0,3
1.00390625,0
1.0078125,-5
1.01171875,-10
1.015625,-15
1.01953125,-22
1.0234375,-29
1.02734375,-27
1.03125,-14
1.03515625,8
1.0390625,34
1.04296875,55
1.046875,63
1.05078125,56
1.0546875,40
1.05859375,24
1.0625,14
1.06640625,8
1.0703125,2
1.07421875,-8
1.078125,-18
1.08203125,-25
1.0859375,-26
1.08984375,-18
1.09375,-3
1.09765625,10
1.1015625,16
1.10546875,17
1.109375,18
1.11328125,26
1.1171875,40
1.12109375,55
1.125,67
1.12890625,73
1.1328125,68
1.13671875,54
1.140625,35
1.14453125,18
1.1484375,4
1.15234375,-11
1.15625,-24
1.16015625,-33
1.1640625,-39
1.16796875,-47
1.171875,-58
1.17578125,-69
1.1796875,-72
1.18359375,-66
1.1875,-53
1.19140625,-29
1.1953125,3
1.19921875,36
1.203125,62
1.20703125,77
1.2109375,81
1.21484375,75
1.21875,59
1.22265625,39
1.2265625,22
1.23046875,12
1.234375,8
1.23828125,5
1.2421875,1
1.24609375,-8
1.25,-20
1.25390625,-31
1.2578125,-40
1.26171875,-45
1.265625,-50
1.26953125,-54
1.2734375,-52
1.27734375,-43
1.28125,-24
1.28515625,2
1.2890625,28
1.29296875,45
1.296875,50
1.30078125,48
1.3046875,50
1.30859375,55
1.3125,63
1.31640625,68
1.3203125,65
1.32421875,49
1.328125,23
1.33203125,-6
1.3359375,-31
1.33984375,-49
1.34375,-60
1.34765625,-68
1.3515625,-72
1.35546875,-70
1.359375,-61
1.36328125,-45
1.3671875,-27
1.37109375,-8
1.375,4
1.37890625,8
1.3828125,9
1.38671875,17
1.390625,36
1.39453125,63
1.3984375,90
1.40234375,109
1.40625,111
1.41015625,93
1.4140625,63
1.41796875,32
1.421875,7
1.42578125,-7
1.4296875,-11
1.43359375,-12
1.4375,-15
1.44140625,-23
1.4453125,-36
1.44921875,-47
1.453125,-53
1.45703125,-51
1.4609375,-41
1.46484375,-25
1.46875,-2
1.47265625,19
1.4765625,35
1.48046875,43
1.484375,43
1.48828125,35
1.4921875,23
1.49609375,12
1.5,5
1.50390625,-1
1.5078125,-10
1.51171875,-20
1.515625,-29
1.51953125,-38
1.5234375,-44
1.52734375,-49
1.53125,-50
1.53515625,-50
1.5390625,-46
1.54296875,-41
1.546875,-35
1.55078125,-24
1.5546875,-9
1.55859375,8
1.5625,21
1.56640625,30
1.5703125,39
1.57421875,47
1.578125,56
1.58203125,65
1.5859375,71
1.58984375,66
1.59375,49
1.59765625,21
