Time,F7
0.0,-42
0.00390625,-48
0.0078125,-50
0.01171875,-50
0.015625,-48
0.01953125,-46
0.0234375,-45
0.02734375,-45
0.03125,-43
0.03515625,-38
0.0390625,-31
0.04296875,-22
0.046875,-15
0.05078125,-10
0.0546875,-7
0.05859375,-6
0.0625,-4
0.06640625,-2
0.0703125,3
0.07421875,9
0.078125,15
0.08203125,20
0.0859375,23
0.08984375,23
0.09375,21
0.09765625,18
0.1015625,17
0.10546875,19
0.109375,24
0.11328125,30
0.1171875,33
0.12109375,32
0.125,27
0.12890625,19
0.1328125,13
0.13671875,10
0.140625,12
0.14453125,15
0.1484375,19
0.15234375,21
0.15625,22
0.16015625,23
0.1640625,22
0.16796875,21
0.171875,21
0.17578125,19
0.1796875,16
0.18359375,12
0.1875,6
0.19140625,-2
0.1953125,-8
0.19921875,-14
0.203125,-16
0.20703125,-14
0.2109375,-9
0.21484375,-3
0.21875,2
0.22265625,7
0.2265625,12
0.23046875,17
0.234375,21
0.23828125,25
0.2421875,28
0.24609375,29
0.25,27
0.25390625,24
0.2578125,21
0.26171875,18
0.265625,14
0.26953125,10
0.2734375,4
0.27734375,-1
0.28125,-6
0.28515625,-10
0.2890625,-14
0.29296875,-17
0.296875,-18
0.30078125,-17
0.3046875,-13
0.30859375,-5
0.3125,4
0.31640625,12
0.3203125,18
0.32421875,20
0.328125,21
0.33203125,21
0.3359375,20
0.33984375,18
0.34375,15
0.34765625,12
0.3515625,10
0.35546875,8
0.359375,7
0.36328125,7
0.3671875,6
0.37109375,1
0.375,-9
0.37890625,-26
0.3828125,-48
0.38671875,-69
0.390625,-84
0.39453125,-87
0.3984375,-77
0.40234375,-56
0.40625,-30
0.41015625,-8
0.4140625,6
0.41796875,13
0.421875,14
0.42578125,13
0.4296875,13
0.43359375,14
0.4375,17
0.44140625,19
0.4453125,21
0.44921875,23
0.453125,24
0.45703125,25
0.4609375,24
0.46484375,22
0.46875,20
0.47265625,18
0.4765625,16
0.48046875,13
0.484375,9
0.48828125,2
0.4921875,-7
0.49609375,-14
0.5,-19
0.50390625,-22
0.5078125,-21
0.51171875,-16
0.515625,-11
0.51953125,-5
0.5234375,-2
0.52734375,-1
0.53125,-2
0.53515625,-5
0.5390625,-6
0.54296875,-3
0.546875,1
0.55078125,6
0.5546875,10
0.55859375,11
0.5625,9
0.56640625,6
0.5703125,3
0.57421875,1
0.578125,-2
0.58203125,-4
0.5859375,-7
0.58984375,-10
0.59375,-13
0.59765625,-15
0.6015625,-16
0.60546875,-15
0.609375,-14
0.61328125,-14
0.6171875,-13
0.62109375,-13
0.625,-12
0.62890625,-9
0.6328125,-4
0.63671875,1
0.640625,6
0.64453125,10
0.6484375,14
0.65234375,18
0.65625,22
0.66015625,26
0.6640625,29
0.66796875,33
0.671875,37
0.67578125,44
0.6796875,52
0.68359375,60
0.6875,66
0.69140625,67
0.6953125,64
0.69921875,58
0.703125,49
0.70703125,40
0.7109375,33
0.71484375,27
0.71875,22
0.72265625,17
0.7265625,10
0.73046875,1
0.734375,-7
0.73828125,-15
0.7421875,-21
0.74609375,-26
0.75,-29
0.75390625,-30
0.7578125,-33
0.76171875,-35
0.765625,-35
0.76953125,-33
0.7734375,-28
0.77734375,-22
0.78125,-14
0.78515625,-6
0.7890625,-1
0.79296875,2
0.796875,3
0.80078125,3
0.8046875,3
0.80859375,5
0.8125,7
0.81640625,7
0.8203125,5
0.82421875,1
0.828125,-5
0.83203125,-10
0.8359375,-14
0.83984375,-16
0.84375,-16
0.84765625,-15
0.8515625,-15
0.85546875,-16
0.859375,-17
0.86328125,-17
0.8671875,-16
0.87109375,-11
0.875,-4
0.87890625,5
0.8828125,16
0.88671875,25
0.890625,34
0.89453125,39
0.8984375,42
0.90234375,43
0.90625,40
0.91015625,34
0.9140625,24
0.91796875,9
0.921875,-7
0.92578125,-20
0.9296875,-24
0.93359375,-22
0.9375,-14
0.94140625,-5
0.9453125,-2
0.94921875,-5
0.953125,-12
0.95703125,-19
0.9609375,-22
0.96484375,-21
0.96875,-15
0.97265625,-7
0.9765625,3
0.98046875,14
0.984375,22
0.98828125,30
0.9921875,35
0.99609375,39
1.0,43
1.00390625,48
1.0078125,54
1.01171875,61
1.015625,67
1.01953125,71
1.0234375,73
1.02734375,71
1.03125,67
1.03515625,60
1.0390625,52
1.04296875,41
1.046875,30
1.05078125,18
1.0546875,5
1.05859375,-6
1.0625,-16
1.06640625,-24
1.0703125,-28
1.07421875,-29
1.078125,-28
1.08203125,-26
1.0859375,-25
1.08984375,-25
1.09375,-26
1.09765625,-28
1.1015625,-31
1.10546875,-33
1.109375,-35
1.11328125,-37
1.1171875,-38
1.12109375,-38
1.125,-34
1.12890625,-26
1.1328125,-16
1.13671875,-5
1.140625,6
1.14453125,15
1.1484375,22
1.15234375,27
1.15625,32
1.16015625,36
1.1640625,39
1.16796875,42
1.171875,42
1.17578125,41
1.1796875,36
1.18359375,30
1.1875,22
1.19140625,15
1.1953125,9
1.19921875,4
1.203125,1
1.20703125,0
1.2109375,0
1.21484375,1
1.21875,1
1.22265625,3
1.2265625,5
1.23046875,6
1.234375,6
1.23828125,5
1.2421875,1
1.24609375,-4
1.25,-9
1.25390625,-14
1.2578125,-18
1.26171875,-19
1.265625,-18
1.26953125,-16
1.2734375,-13
1.27734375,-8
1.28125,-2
1.28515625,2
1.2890625,5
1.29296875,6
1.296875,5
1.30078125,3
1.3046875,1
1.30859375,-1
1.3125,-1
1.31640625,0
1.3203125,1
1.32421875,2
1.328125,3
1.33203125,4
1.3359375,3
1.33984375,0
1.34375,-6
1.34765625,-13
1.3515625,-20
1.35546875,-24
1.359375,-25
1.36328125,-21
1.3671875,-17
1.37109375,-13
1.375,-11
1.37890625,-11
1.3828125,-12
1.38671875,-11
1.390625,-8
1.39453125,-3
1.3984375,4
1.40234375,9
1.40625,13
1.41015625,15
1.4140625,16
1.41796875,18
1.421875,22
1.42578125,27
1.4296875,32
1.43359375,33
1.4375,27
1.44140625,12
1.4453125,-10
1.44921875,-37
1.453125,-62
1.45703125,-79
1.4609375,-83
1.46484375,-75
1.46875,-57
1.47265625,-35
1.4765625,-15
1.48046875,0
1.484375,7
1.48828125,10
1.4921875,10
1.49609375,12
1.5,14
1.50390625,18
1.5078125,22
1.51171875,26
1.515625,29
1.51953125,31
1.5234375,32
1.52734375,35
1.53125,37
1.53515625,37
1.5390625,35
1.54296875,31
1.546875,25
1.55078125,17
1.5546875,9
1.55859375,0
1.5625,-8
1.56640625,-16
1.5703125,-25
1.57421875,-35
1.578125,-44
1.58203125,-51
1.5859375,-56
1.58984375,-57
1.59375,-54
1.59765625,-47
1.6015625,-39
1.60546875,-33
1.609375,-27
1.61328125,-23
1.6171875,-18
1.62109375,-12
1.625,-4
1.62890625,5
1.6328125,13
1.63671875,19
1.640625,22
1.64453125,20
1.6484375,15
1.65234375,6
1.65625,-6
1.66015625,-17
1.6640625,-28
1.66796875,-36
1.671875,-41
1.67578125,-45
1.6796875,-47
1.68359375,-46
1.6875,-42
1.69140625,-34
1.6953125,-22
1.69921875,-9
1.703125,2
1.70703125,11
1.7109375,17
1.71484375,22
1.71875,29
1.72265625,39
1.7265625,51
1.73046875,64
1.734375,74
1.73828125,80
1.7421875,80
1.74609375,75
1.75,65
1.75390625,53
1.7578125,39
1.76171875,25
1.765625,11
1.76953125,-3
1.7734375,-16
1.77734375,-29
1.78125,-40
1.78515625,-47
1.7890625,-50
1.79296875,-49
1.796875,-47
1.80078125,-44
1.8046875,-43
1.80859375,-42
1.8125,-39
1.81640625,-31
1.8203125,-18
1.82421875,-3
1.828125,12
1.83203125,23
1.8359375,29
1.83984375,30
1.84375,28
1.84765625,22
1.8515625,16
1.85546875,9
1.859375,3
1.86328125,-2
1.8671875,-6
1.87109375,-11
1.875,-18
1.87890625,-25
1.8828125,-32
1.88671875,-39
1.890625,-45
1.89453125,-49
1.8984375,-50
1.90234375,-50
1.90625,-50
1.91015625,-47
1.9140625,-43
1.91796875,-40
1.921875,-36
1.92578125,-33
1.9296875,-27
1.93359375,-21
1.9375,-14
1.94140625,-7
1.9453125,0
1.94921875,5
1.953125,8
1.95703125,10
1.9609375,11
1.96484375,9
1.96875,4
1.97265625,-4
1.9765625,-17
1.98046875,-33
1.984375,-53
1.98828125,-72
1.9921875,-87
1.99609375,-93
2.0,-88
2.00390625,-74
2.0078125,-55
2.01171875,-36
2.015625,-23
2.01953125,-15
2.0234375,-11
2.02734375,-9
2.03125,-6
2.03515625,-3
2.0390625,-1
2.04296875,0
2.046875,-1
2.05078125,-3
2.0546875,-6
2.05859375,-9
2.0625,-11
2.06640625,-12
2.0703125,-11
2.07421875,-6
2.078125,1
2.08203125,7
2.0859375,13
2.08984375,19
2.09375,24
2.09765625,28
2.1015625,31
2.10546875,32
2.109375,31
2.11328125,26
2.1171875,19
2.12109375,12
2.125,5
2.12890625,0
2.1328125,-4
2.13671875,-6
2.140625,-6
2.14453125,-8
2.1484375,-12
2.15234375,-18
2.15625,-25
2.16015625,-33
2.1640625,-38
2.16796875,-41
2.171875,-42
2.17578125,-40
2.1796875,-38
2.18359375,-36
2.1875,-35
2.19140625,-33
2.1953125,-31
2.19921875,-30
2.203125,-29
2.20703125,-30
2.2109375,-29
2.21484375,-26
2.21875,-21
2.22265625,-13
2.2265625,-4
2.23046875,5
2.234375,11
2.23828125,15
2.2421875,16
2.24609375,15
2.25,12
2.25390625,8
2.2578125,4
2.26171875,2
2.265625,1
2.26953125,2
2.2734375,3
2.27734375,4
2.28125,5
2.28515625,6
2.2890625,8
2.29296875,12
2.296875,16
2.30078125,22
2.3046875,26
2.30859375,29
2.3125,29
2.31640625,26
2.3203125,21
2.32421875,15
2.328125,8
2.33203125,3
2.3359375,1
2.33984375,1
2.34375,3
2.34765625,6
2.3515625,10
2.35546875,12
2.359375,12
2.36328125,10
2.3671875,7
2.37109375,4
2.375,4
2.37890625,5
2.3828125,7
2.38671875,10
2.390625,13
2.39453125,14
2.3984375,14
2.40234375,13
2.40625,12
2.41015625,11
2.4140625,11
2.41796875,11
2.421875,13
2.42578125,16
2.4296875,22
2.43359375,28
2.4375,33
2.44140625,36
2.4453125,37
2.44921875,36
2.453125,32
2.45703125,26
2.4609375,19
2.46484375,11
2.46875,2
2.47265625,-6
2.4765625,-11
2.48046875,-13
2.484375,-11
2.48828125,-5
2.4921875,2
2.49609375,10
2.5,16
2.50390625,18
2.5078125,15
2.51171875,7
2.515625,-7
2.51953125,-27
2.5234375,-51
2.52734375,-73
2.53125,-85
2.53515625,-85
2.5390625,-71
2.54296875,-46
2.546875,-17
2.55078125,7
2.5546875,21
2.55859375,25
2.5625,24
2.56640625,21
2.5703125,19
2.57421875,17
2.578125,14
2.58203125,8
2.5859375,1
2.58984375,-8
2.59375,-16
2.59765625,-21
2.6015625,-23
2.60546875,-22
2.609375,-19
2.61328125,-13
2.6171875,-6
2.62109375,3
2.625,11
2.62890625,18
2.6328125,23
2.63671875,27
2.640625,31
2.64453125,34
2.6484375,37
2.65234375,39
2.65625,39
2.66015625,37
2.6640625,34
2.66796875,29
2.671875,21
2.67578125,10
2.6796875,-3
2.68359375,-17
2.6875,-30
2.69140625,-42
2.6953125,-50
2.69921875,-56
2.703125,-60
2.70703125,-60
2.7109375,-55
2.71484375,-45
2.71875,-31
2.72265625,-17
2.7265625,-5
2.73046875,4
2.734375,8
2.73828125,10
2.7421875,11
2.74609375,13
2.75,16
2.75390625,20
2.7578125,23
2.76171875,26
2.765625,27
2.76953125,26
2.7734375,25
2.77734375,22
2.78125,19
2.78515625,16
2.7890625,15
2.79296875,13
2.796875,12
2.80078125,10
2.8046875,7
2.80859375,4
2.8125,3
2.81640625,4
2.8203125,8
2.82421875,13
2.828125,19
2.83203125,25
2.8359375,30
2.83984375,34
2.84375,38
2.84765625,42
2.8515625,46
2.85546875,49
2.859375,52
2.86328125,53
2.8671875,50
2.87109375,44
2.875,34
2.87890625,22
2.8828125,8
2.88671875,-4
2.890625,-11
2.89453125,-14
2.8984375,-13
2.90234375,-8
2.90625,-1
2.91015625,7
2.9140625,13
2.91796875,17
2.921875,18
2.92578125,16
2.9296875,11
2.93359375,5
2.9375,1
2.94140625,1
2.9453125,4
2.94921875,8
2.953125,10
2.95703125,12
2.9609375,11
2.96484375,10
2.96875,8
2.97265625,7
2.9765625,6
2.98046875,5
2.984375,3
2.98828125,-2
2.9921875,-8
2.99609375,-15
3.0,-21
3.00390625,-26
3.0078125,-26
3.01171875,-23
3.015625,-19
3.01953125,-15
3.0234375,-10
3.02734375,-4
3.03125,3
3.03515625,12
3.0390625,21
3.04296875,30
3.046875,36
3.05078125,38
3.0546875,35
3.05859375,25
3.0625,7
3.06640625,-17
3.0703125,-41
3.07421875,-58
3.078125,-63
3.08203125,-54
3.0859375,-34
3.08984375,-9
3.09375,12
3.09765625,24
3.1015625,26
3.10546875,23
3.109375,17
3.11328125,14
3.1171875,12
3.12109375,11
3.125,10
3.12890625,8
3.1328125,5
3.13671875,2
3.140625,0
3.14453125,1
3.1484375,5
3.15234375,10
3.15625,17
3.16015625,24
3.1640625,29
3.16796875,30
3.171875,29
3.17578125,26
3.1796875,22
3.18359375,18
3.1875,13
3.19140625,6
3.1953125,-4
3.19921875,-17
3.203125,-30
3.20703125,-42
3.2109375,-50
3.21484375,-53
3.21875,-54
3.22265625,-52
3.2265625,-49
3.23046875,-45
3.234375,-41
3.23828125,-37
3.2421875,-30
3.24609375,-19
3.25,-6
3.25390625,10
3.2578125,27
3.26171875,41
3.265625,50
3.26953125,54
3.2734375,55
3.27734375,54
3.28125,53
3.28515625,54
3.2890625,53
3.29296875,52
3.296875,47
3.30078125,39
3.3046875,28
3.30859375,17
3.3125,7
3.31640625,-2
3.3203125,-8
3.32421875,-14
3.328125,-20
3.33203125,-25
3.3359375,-30
3.33984375,-34
3.34375,-37
3.34765625,-38
3.3515625,-37
3.35546875,-32
3.359375,-25
3.36328125,-16
3.3671875,-3
3.37109375,11
3.375,24
3.37890625,33
3.3828125,40
3.38671875,43
3.390625,44
3.39453125,44
3.3984375,44
3.40234375,43
3.40625,41
3.41015625,36
3.4140625,28
3.41796875,16
3.421875,2
3.42578125,-13
3.4296875,-28
3.43359375,-41
3.4375,-53
3.44140625,-61
3.4453125,-66
3.44921875,-68
3.453125,-64
3.45703125,-54
3.4609375,-39
3.46484375,-21
3.46875,-4
3.47265625,13
3.4765625,27
3.48046875,38
3.484375,46
3.48828125,51
3.4921875,52
3.49609375,48
3.5,40
3.50390625,29
3.5078125,19
3.51171875,9
3.515625,3
3.51953125,-1
3.5234375,-4
3.52734375,-6
3.53125,-10
3.53515625,-17
3.5390625,-27
3.54296875,-37
3.546875,-47
3.55078125,-54
3.5546875,-56
3.55859375,-54
3.5625,-47
3.56640625,-37
3.5703125,-25
3.57421875,-11
3.578125,4
3.58203125,18
3.5859375,30
3.58984375,37
3.59375,39
3.59765625,35
3.6015625,24
3.60546875,9
3.609375,-9
3.61328125,-24
3.6171875,-33
3.62109375,-31
3.625,-22
3.62890625,-8
3.6328125,5
3.63671875,10
3.640625,7
3.64453125,-1
3.6484375,-12
3.65234375,-20
3.65625,-26
3.66015625,-30
3.6640625,-32
3.66796875,-35
3.671875,-38
3.67578125,-38
3.6796875,-34
3.68359375,-25
3.6875,-13
3.69140625,1
3.6953125,14
3.69921875,23
3.703125,28
3.70703125,27
3.7109375,22
3.71484375,17
3.71875,12
3.72265625,9
3.7265625,8
3.73046875,7
3.734375,6
3.73828125,5
3.7421875,6
3.74609375,8
3.75,11
3.75390625,14
3.7578125,14
3.76171875,10
3.765625,3
3.76953125,-4
3.7734375,-9
3.77734375,-11
3.78125,-10
3.78515625,-8
3.7890625,-7
3.79296875,-8
3.796875,-10
3.80078125,-13
3.8046875,-15
3.80859375,-16
3.8125,-16
3.81640625,-16
3.8203125,-14
3.82421875,-11
3.828125,-7
3.83203125,-4
3.8359375,-4
3.83984375,-6
3.84375,-10
3.84765625,-14
3.8515625,-16
3.85546875,-15
3.859375,-12
3.86328125,-7
3.8671875,-1
3.87109375,5
3.875,11
3.87890625,17
3.8828125,23
3.88671875,28
3.890625,32
3.89453125,35
3.8984375,37
3.90234375,36
3.90625,33
3.91015625,26
3.9140625,18
3.91796875,8
3.921875,-2
3.92578125,-13
3.9296875,-23
3.93359375,-32
3.9375,-37
3.94140625,-39
3.9453125,-36
3.94921875,-28
3.953125,-17
3.95703125,-3
3.9609375,11
3.96484375,23
3.96875,32
3.97265625,35
3.9765625,35
3.98046875,31
3.984375,25
3.98828125,18
3.9921875,9
3.99609375,1
4.0,-8
4.00390625,-15
4.0078125,-20
4.01171875,-21
4.015625,-20
4.01953125,-17
4.0234375,-14
4.02734375,-13
4.03125,-12
4.03515625,-13
4.0390625,-14
4.04296875,-14
4.046875,-14
4.05078125,-10
4.0546875,-4
4.05859375,2
4.0625,6
4.06640625,8
4.0703125,8
4.07421875,5
4.078125,2
4.08203125,1
4.0859375,3
4.08984375,6
4.09375,10
