Time,F7
1.51953125,21
1.5234375,48
1.52734375,72
1.53125,93
1.53515625,106
1.5390625,111
1.54296875,111
1.546875,106
1.55078125,95
1.5546875,74
1.55859375,48
1.5625,24
1.56640625,9
1.5703125,0
1.57421875,-5
1.578125,-3
1.58203125,2
1.5859375,5
1.58984375,3
1.59375,0
1.59765625,1
1.6015625,7
1.60546875,18
1.609375,34
1.61328125,57
1.6171875,83
1.62109375,109
1.625,133
1.62890625,156
1.6328125,171
1.63671875,171
1.640625,154
1.64453125,121
1.6484375,78
1.65234375,29
1.65625,-17
1.66015625,-56
1.6640625,-87
1.66796875,-110
1.671875,-123
1.67578125,-120
1.6796875,-97
1.68359375,-62
1.6875,-25
1.69140625,8
1.6953125,37
1.69921875,58
1.703125,78
1.70703125,108
1.7109375,145
1.71484375,178
1.71875,190
1.72265625,176
1.7265625,139
1.73046875,85
1.734375,24
1.73828125,-32
1.7421875,-77
1.74609375,-113
1.75,-141
1.75390625,-158
1.7578125,-156
1.76171875,-138
1.765625,-109
1.76953125,-73
1.7734375,-39
1.77734375,-15
1.78125,-1
1.78515625,9
1.7890625,25
1.79296875,51
1.796875,83
1.80078125,111
1.8046875,126
1.80859375,121
1.8125,92
1.81640625,51
1.8203125,13
1.82421875,-12
1.828125,-21
1.83203125,-19
1.8359375,-18
1.83984375,-26
1.84375,-47
1.84765625,-74
1.8515625,-100
1.85546875,-115
1.859375,-114
1.86328125,-96
1.8671875,-64
1.87109375,-26
1.875,12
1.87890625,46
1.8828125,73
1.88671875,90
1.890625,100
1.89453125,103
1.8984375,98
1.90234375,90
1.90625,77
1.91015625,56
1.9140625,28
1.91796875,1
1.921875,-22
1.92578125,-41
1.9296875,-55
1.93359375,-65
1.9375,-72
1.94140625,-77
1.9453125,-78
1.94921875,-66
1.953125,-36
1.95703125,4
1.9609375,39
1.96484375,63
1.96875,79
1.97265625,88
1.9765625,87
1.98046875,81
1.984375,73
1.98828125,60
1.9921875,39
1.99609375,16
2.0,-5
2.00390625,-18
2.0078125,-27
2.01171875,-33
2.015625,-34
2.01953125,-27
2.0234375,-21
2.02734375,-22
2.03125,-29
2.03515625,-36
2.0390625,-37
2.04296875,-30
2.046875,-14
2.05078125,9
2.0546875,31
