Time,F7
0.0,48
0.00390625,46
0.0078125,37
0.01171875,23
0.015625,8
0.01953125,-3
0.0234375,-9
0.02734375,-12
0.03125,-17
0.03515625,-26
0.0390625,-36
0.04296875,-48
0.046875,-58
0.05078125,-65
0.0546875,-66
0.05859375,-64
0.0625,-55
0.06640625,-37
0.0703125,-10
0.07421875,18
0.078125,43
0.08203125,60
0.0859375,66
0.08984375,60
0.09375,47
0.09765625,30
0.1015625,13
0.10546875,0
0.109375,-9
0.11328125,-14
0.1171875,-16
0.12109375,-17
0.125,-17
0.12890625,-16
0.1328125,-12
0.13671875,-6
0.140625,0
0.14453125,5
0.1484375,8
0.15234375,9
0.15625,7
0.16015625,7
0.1640625,7
0.16796875,5
0.171875,1
0.17578125,-1
0.1796875,1
0.18359375,5
0.1875,11
0.19140625,20
0.1953125,23
0.19921875,13
0.203125,-6
0.20703125,-32
0.2109375,-60
0.21484375,-86
0.21875,-103
0.22265625,-108
0.2265625,-102
0.23046875,-86
0.234375,-61
0.23828125,-34
0.2421875,-11
0.24609375,6
0.25,16
0.25390625,17
0.2578125,12
0.26171875,7
0.265625,4
0.26953125,2
0.2734375,1
0.27734375,-1
0.28125,-7
0.28515625,-17
0.2890625,-30
0.29296875,-41
0.296875,-48
0.30078125,-52
0.3046875,-55
0.30859375,-57
0.3125,-55
0.31640625,-45
0.3203125,-27
0.32421875,-4
0.328125,18
0.33203125,34
0.3359375,39
0.33984375,38
0.34375,33
0.34765625,31
0.3515625,32
0.35546875,37
0.359375,41
0.36328125,38
0.3671875,23
0.37109375,2
0.375,-20
0.37890625,-37
0.3828125,-43
0.38671875,-36
0.390625,-21
0.39453125,-7
0.3984375,0
0.40234375,2
0.40625,0
0.41015625,-3
0.4140625,-3
0.41796875,3
0.421875,14
0.42578125,26
0.4296875,37
0.43359375,46
0.4375,50
0.44140625,48
0.4453125,44
0.44921875,40
0.453125,34
0.45703125,26
0.4609375,19
0.46484375,15
0.46875,8
0.47265625,-3
0.4765625,-16
0.48046875,-32
0.484375,-51
0.48828125,-69
0.4921875,-83
0.49609375,-88
0.5,-86
0.50390625,-78
0.5078125,-66
0.51171875,-47
0.515625,-25
0.51953125,-2
0.5234375,17
0.52734375,34
0.53125,44
0.53515625,48
0.5390625,45
0.54296875,37
0.546875,27
0.55078125,17
0.5546875,10
0.55859375,5
0.5625,1
0.56640625,-2
0.5703125,-7
0.57421875,-13
0.578125,-19
0.58203125,-18
0.5859375,-12
0.58984375,-5
0.59375,-1
0.59765625,0
0.6015625,0
0.60546875,2
0.609375,10
0.61328125,23
0.6171875,38
0.62109375,45
0.625,41
0.62890625,30
0.6328125,17
0.63671875,8
0.640625,3
0.64453125,1
0.6484375,-6
0.65234375,-22
0.65625,-43
0.66015625,-61
0.6640625,-72
0.66796875,-72
0.671875,-63
0.67578125,-49
0.6796875,-37
0.68359375,-30
0.6875,-26
0.69140625,-20
0.6953125,-10
0.69921875,3
0.703125,15
0.70703125,23
0.7109375,27
0.71484375,28
0.71875,29
0.72265625,29
0.7265625,30
0.73046875,31
0.734375,29
0.73828125,24
0.7421875,17
0.74609375,12
0.75,8
0.75390625,2
0.7578125,-4
0.76171875,-5
0.765625,3
0.76953125,15
0.7734375,24
0.77734375,26
0.78125,20
0.78515625,6
0.7890625,-13
0.79296875,-31
0.796875,-42
0.80078125,-49
0.8046875,-53
0.80859375,-52
0.8125,-44
0.81640625,-29
0.8203125,-9
0.82421875,15
