Time,FP2
0.0,-17
0.00390625,-20
0.0078125,-23
0.01171875,-27
0.015625,-30
0.01953125,-30
0.0234375,-26
0.02734375,-22
0.03125,-22
0.03515625,-26
0.0390625,-32
0.04296875,-39
0.046875,-45
0.05078125,-46
0.0546875,-44
0.05859375,-40
0.0625,-36
0.06640625,-30
0.0703125,-24
0.07421875,-17
0.078125,-11
0.08203125,-5
0.0859375,-1
0.08984375,1
0.09375,3
0.09765625,7
0.1015625,11
0.10546875,15
0.109375,19
0.11328125,21
0.1171875,19
0.12109375,13
0.125,4
0.12890625,-6
0.1328125,-14
0.13671875,-20
0.140625,-21
0.14453125,-19
0.1484375,-16
0.15234375,-14
0.15625,-14
0.16015625,-14
0.1640625,-13
0.16796875,-13
0.171875,-15
0.17578125,-16
0.1796875,-18
0.18359375,-20
0.1875,-22
0.19140625,-21
0.1953125,-20
0.19921875,-19
0.203125,-19
0.20703125,-20
0.2109375,-21
0.21484375,-20
0.21875,-16
0.22265625,-12
0.2265625,-6
0.23046875,0
0.234375,6
0.23828125,11
0.2421875,14
0.24609375,18
0.25,22
0.25390625,26
0.2578125,31
0.26171875,36
0.265625,38
0.26953125,39
0.2734375,38
0.27734375,39
0.28125,39
0.28515625,38
0.2890625,36
0.29296875,32
0.296875,26
0.30078125,18
0.3046875,9
0.30859375,2
0.3125,-2
0.31640625,-5
0.3203125,-6
0.32421875,-5
0.328125,-2
0.33203125,1
0.3359375,1
0.33984375,-2
0.34375,-3
0.34765625,-1
0.3515625,2
0.35546875,4
0.359375,5
0.36328125,3
0.3671875,-5
0.37109375,-16
0.375,-25
0.37890625,-31
0.3828125,-34
0.38671875,-35
0.390625,-32
0.39453125,-27
0.3984375,-23
0.40234375,-19
0.40625,-17
0.41015625,-16
0.4140625,-19
0.41796875,-23
0.421875,-26
0.42578125,-27
0.4296875,-25
0.43359375,-22
0.4375,-18
0.44140625,-15
0.4453125,-15
0.44921875,-19
0.453125,-25
0.45703125,-31
0.4609375,-37
0.46484375,-43
0.46875,-49
0.47265625,-51
0.4765625,-51
0.48046875,-49
0.484375,-43
0.48828125,-34
0.4921875,-25
0.49609375,-18
0.5,-15
0.50390625,-12
0.5078125,-8
0.51171875,-1
0.515625,7
0.51953125,15
0.5234375,21
0.52734375,22
0.53125,21
0.53515625,17
0.5390625,12
0.54296875,8
0.546875,6
0.55078125,6
0.5546875,3
0.55859375,0
0.5625,-4
0.56640625,-8
0.5703125,-13
0.57421875,-17
0.578125,-16
0.58203125,-10
0.5859375,-3
0.58984375,1
0.59375,3
0.59765625,2
0.6015625,3
0.60546875,5
0.609375,7
0.61328125,9
0.6171875,9
0.62109375,7
0.625,4
0.62890625,1
0.6328125,-1
0.63671875,0
0.640625,0
0.64453125,0
0.6484375,4
0.65234375,13
0.65625,27
0.66015625,40
0.6640625,46
0.66796875,45
0.671875,39
0.67578125,32
0.6796875,28
0.68359375,30
0.6875,37
0.69140625,45
0.6953125,49
0.69921875,50
0.703125,46
0.70703125,37
0.7109375,26
0.71484375,17
0.71875,11
0.72265625,9
0.7265625,10
0.73046875,12
0.734375,13
0.73828125,13
0.7421875,11
0.74609375,8
0.75,6
0.75390625,4
0.7578125,4
0.76171875,8
0.765625,15
0.76953125,25
0.7734375,36
0.77734375,46
0.78125,52
0.78515625,52
0.7890625,46
0.79296875,37
0.796875,26
0.80078125,15
0.8046875,7
0.80859375,3
0.8125,4
0.81640625,6
0.8203125,7
0.82421875,6
0.828125,3
0.83203125,-3
0.8359375,-9
0.83984375,-13
0.84375,-14
0.84765625,-10
0.8515625,-5
0.85546875,-1
0.859375,1
0.86328125,1
0.8671875,-2
0.87109375,-6
0.875,-11
0.87890625,-15
0.8828125,-17
0.88671875,-20
0.890625,-23
0.89453125,-23
0.8984375,-18
0.90234375,-12
0.90625,-8
0.91015625,-7
0.9140625,-11
0.91796875,-16
0.921875,-22
0.92578125,-24
0.9296875,-21
0.93359375,-15
0.9375,-9
0.94140625,-2
0.9453125,6
0.94921875,14
0.953125,21
0.95703125,28
0.9609375,33
0.96484375,34
0.96875,34
0.97265625,32
0.9765625,32
0.98046875,31
0.984375,29
0.98828125,26
0.9921875,23
0.99609375,19
1.0,13
1.00390625,9
1.0078125,5
1.01171875,2
1.015625,-2
1.01953125,-7
1.0234375,-11
1.02734375,-15
1.03125,-17
1.03515625,-19
1.0390625,-19
1.04296875,-17
1.046875,-11
1.05078125,1
1.0546875,17
1.05859375,36
1.0625,52
1.06640625,60
1.0703125,61
1.07421875,57
1.078125,51
1.08203125,47
1.0859375,44
1.08984375,44
1.09375,45
1.09765625,47
1.1015625,50
1.10546875,54
1.109375,56
1.11328125,57
1.1171875,58
1.12109375,60
1.125,62
1.12890625,66
1.1328125,72
1.13671875,77
1.140625,82
1.14453125,87
1.1484375,90
1.15234375,90
1.15625,87
1.16015625,80
1.1640625,71
1.16796875,62
1.171875,55
1.17578125,51
1.1796875,50
1.18359375,53
1.1875,57
1.19140625,58
1.1953125,55
1.19921875,47
1.203125,35
1.20703125,24
1.2109375,15
1.21484375,11
1.21875,10
1.22265625,10
1.2265625,12
1.23046875,16
1.234375,21
1.23828125,29
1.2421875,39
1.24609375,48
1.25,54
1.25390625,57
1.2578125,59
1.26171875,60
1.265625,59
1.26953125,56
1.2734375,52
1.27734375,46
1.28125,41
1.28515625,40
1.2890625,43
1.29296875,50
1.296875,54
1.30078125,53
1.3046875,45
1.30859375,34
1.3125,22
1.31640625,15
1.3203125,14
1.32421875,19
1.328125,25
1.33203125,25
1.3359375,19
1.33984375,9
1.34375,-3
1.34765625,-13
1.3515625,-17
1.35546875,-15
1.359375,-10
1.36328125,-4
1.3671875,1
1.37109375,7
1.375,14
1.37890625,22
1.3828125,30
1.38671875,36
1.390625,39
1.39453125,41
1.3984375,45
1.40234375,50
1.40625,58
1.41015625,67
1.4140625,73
1.41796875,74
1.421875,69
1.42578125,60
1.4296875,51
1.43359375,44
1.4375,40
1.44140625,40
1.4453125,43
1.44921875,48
1.453125,53
1.45703125,56
1.4609375,58
1.46484375,59
1.46875,60
1.47265625,64
1.4765625,69
1.48046875,76
1.484375,84
1.48828125,92
1.4921875,96
1.49609375,96
1.5,93
1.50390625,86
1.5078125,77
1.51171875,67
1.515625,58
1.51953125,51
1.5234375,44
1.52734375,38
1.53125,32
1.53515625,28
1.5390625,26
1.54296875,25
1.546875,25
1.55078125,27
1.5546875,29
1.55859375,34
1.5625,41
1.56640625,51
1.5703125,60
1.57421875,67
1.578125,70
1.58203125,71
1.5859375,70
1.58984375,69
1.59375,68
1.59765625,67
1.6015625,65
1.60546875,62
1.609375,58
1.61328125,52
1.6171875,45
1.62109375,38
