Time,FP2
0.0,-5
0.00390625,-1
0.0078125,6
0.01171875,12
0.015625,16
0.01953125,18
0.0234375,18
0.02734375,8
0.03125,-11
0.03515625,-24
0.0390625,-21
0.04296875,-2
0.046875,21
0.05078125,39
0.0546875,47
0.05859375,42
0.0625,26
0.06640625,7
0.0703125,-7
0.07421875,-13
0.078125,-11
0.08203125,-3
0.0859375,12
0.08984375,27
0.09375,34
0.09765625,33
0.1015625,29
0.10546875,22
0.109375,11
0.11328125,0
0.1171875,-6
0.12109375,-7
0.125,-11
0.12890625,-15
0.1328125,-16
0.13671875,-16
0.140625,-19
0.14453125,-23
0.1484375,-25
0.15234375,-25
0.15625,-23
0.16015625,-20
0.1640625,-12
0.16796875,6
0.171875,38
0.17578125,78
0.1796875,118
0.18359375,151
0.1875,175
0.19140625,190
0.1953125,197
0.19921875,202
0.203125,210
0.20703125,216
0.2109375,214
0.21484375,203
0.21875,188
0.22265625,175
0.2265625,163
0.23046875,152
0.234375,143
0.23828125,132
0.2421875,121
0.24609375,111
0.25,107
0.25390625,110
0.2578125,118
0.26171875,128
0.265625,137
0.26953125,144
0.2734375,148
0.27734375,149
0.28125,148
0.28515625,146
0.2890625,147
0.29296875,150
0.296875,154
0.30078125,156
0.3046875,159
0.30859375,157
0.3125,147
0.31640625,128
0.3203125,107
0.32421875,91
0.328125,83
0.33203125,82
0.3359375,82
0.33984375,71
0.34375,43
0.34765625,4
0.3515625,-38
0.35546875,-73
0.359375,-92
0.36328125,-94
0.3671875,-87
0.37109375,-79
0.375,-71
0.37890625,-60
0.3828125,-47
0.38671875,-40
0.390625,-40
0.39453125,-45
0.3984375,-53
0.40234375,-59
0.40625,-55
0.41015625,-39
0.4140625,-16
0.41796875,4
0.421875,16
0.42578125,19
0.4296875,21
0.43359375,28
0.4375,40
0.44140625,56
0.4453125,72
0.44921875,86
0.453125,93
0.45703125,95
0.4609375,95
0.46484375,92
0.46875,86
0.47265625,81
0.4765625,79
0.48046875,80
0.484375,80
0.48828125,78
0.4921875,72
0.49609375,65
0.5,59
0.50390625,59
0.5078125,70
0.51171875,90
0.515625,112
0.51953125,130
0.5234375,140
0.52734375,141
0.53125,134
0.53515625,124
0.5390625,117
0.54296875,118
0.546875,124
0.55078125,133
0.5546875,138
0.55859375,139
0.5625,132
0.56640625,119
0.5703125,101
0.57421875,80
0.578125,56
0.58203125,34
0.5859375,14
0.58984375,-7
0.59375,-31
0.59765625,-58
0.6015625,-87
0.60546875,-116
0.609375,-142
0.61328125,-161
0.6171875,-177
0.62109375,-191
0.625,-203
0.62890625,-211
0.6328125,-214
0.63671875,-211
0.640625,-203
0.64453125,-194
0.6484375,-187
0.65234375,-182
0.65625,-176
0.66015625,-171
0.6640625,-173
0.66796875,-180
0.671875,-190
0.67578125,-200
0.6796875,-212
0.68359375,-226
0.6875,-239
0.69140625,-251
0.6953125,-260
0.69921875,-259
0.703125,-246
0.70703125,-226
0.7109375,-209
0.71484375,-206
0.71875,-219
0.72265625,-242
0.7265625,-263
0.73046875,-270
0.734375,-261
0.73828125,-239
0.7421875,-216
0.74609375,-203
0.75,-202
0.75390625,-209
0.7578125,-213
0.76171875,-210
0.765625,-198
0.76953125,-181
0.7734375,-164
0.77734375,-149
0.78125,-136
0.78515625,-127
0.7890625,-121
0.79296875,-119
0.796875,-124
0.80078125,-134
0.8046875,-143
0.80859375,-148
0.8125,-149
0.81640625,-150
0.8203125,-149
0.82421875,-144
0.828125,-130
0.83203125,-109
0.8359375,-85
0.83984375,-62
0.84375,-46
0.84765625,-42
0.8515625,-44
0.85546875,-42
0.859375,-35
0.86328125,-31
0.8671875,-31
0.87109375,-35
0.875,-43
0.87890625,-53
0.8828125,-61
0.88671875,-61
0.890625,-60
0.89453125,-62
0.8984375,-67
0.90234375,-71
0.90625,-66
0.91015625,-53
0.9140625,-31
0.91796875,-4
0.921875,22
0.92578125,36
0.9296875,37
0.93359375,33
0.9375,29
0.94140625,28
0.9453125,26
0.94921875,24
0.953125,19
0.95703125,9
0.9609375,-3
0.96484375,-13
0.96875,-19
0.97265625,-26
0.9765625,-38
0.98046875,-53
0.984375,-61
0.98828125,-57
0.9921875,-43
0.99609375,-26
1.0,-8
1.00390625,1
1.0078125,-3
1.01171875,-17
1.015625,-28
1.01953125,-30
1.0234375,-22
1.02734375,-7
1.03125,13
1.03515625,36
1.0390625,51
1.04296875,54
1.046875,50
1.05078125,47
1.0546875,48
1.05859375,51
1.0625,56
1.06640625,61
1.0703125,63
1.07421875,58
1.078125,45
1.08203125,27
1.0859375,6
1.08984375,-16
1.09375,-37
1.09765625,-51
1.1015625,-54
1.10546875,-47
1.109375,-36
1.11328125,-27
1.1171875,-21
1.12109375,-16
1.125,-11
1.12890625,-8
1.1328125,-11
1.13671875,-21
1.140625,-40
1.14453125,-67
1.1484375,-95
1.15234375,-114
1.15625,-122
1.16015625,-119
1.1640625,-107
1.16796875,-87
1.171875,-63
1.17578125,-39
1.1796875,-14
1.18359375,5
1.1875,16
1.19140625,21
1.1953125,25
1.19921875,30
1.203125,37
1.20703125,43
1.2109375,42
1.21484375,28
1.21875,5
1.22265625,-16
1.2265625,-32
1.23046875,-40
1.234375,-40
1.23828125,-36
1.2421875,-32
1.24609375,-29
1.25,-22
1.25390625,-13
1.2578125,-6
1.26171875,-2
1.265625,2
1.26953125,10
1.2734375,29
1.27734375,57
1.28125,89
1.28515625,116
1.2890625,130
1.29296875,127
1.296875,114
1.30078125,96
1.3046875,77
1.30859375,57
1.3125,38
1.31640625,20
1.3203125,3
1.32421875,-13
1.328125,-27
1.33203125,-41
1.3359375,-56
1.33984375,-66
1.34375,-68
1.34765625,-62
1.3515625,-47
1.35546875,-21
1.359375,10
