Time,T6
0.0,-24
0.00390625,-13
0.0078125,1
0.01171875,20
0.015625,45
0.01953125,71
0.0234375,87
0.02734375,88
0.03125,78
0.03515625,62
0.0390625,44
0.04296875,28
0.046875,15
0.05078125,-1
0.0546875,-22
0.05859375,-44
0.0625,-61
0.06640625,-69
0.0703125,-67
0.07421875,-57
0.078125,-39
0.08203125,-16
0.0859375,8
0.08984375,34
0.09375,58
0.09765625,75
0.1015625,77
0.10546875,69
0.109375,60
0.11328125,57
0.1171875,58
0.12109375,63
0.125,63
0.12890625,49
0.1328125,17
0.13671875,-22
0.140625,-55
0.14453125,-73
0.1484375,-76
0.15234375,-72
0.15625,-66
0.16015625,-64
0.1640625,-68
0.16796875,-69
0.171875,-61
0.17578125,-43
0.1796875,-19
0.18359375,9
0.1875,35
0.19140625,57
0.1953125,75
0.19921875,85
0.203125,88
0.20703125,83
0.2109375,71
0.21484375,55
0.21875,41
0.22265625,28
0.2265625,17
0.23046875,6
0.234375,-3
0.23828125,-11
0.2421875,-22
0.24609375,-30
0.25,-34
0.25390625,-32
0.2578125,-26
0.26171875,-18
0.265625,-10
0.26953125,-5
0.2734375,-1
0.27734375,2
0.28125,5
0.28515625,10
0.2890625,17
0.29296875,28
0.296875,40
0.30078125,49
0.3046875,52
0.30859375,49
0.3125,40
0.31640625,24
0.3203125,1
0.32421875,-26
0.328125,-49
0.33203125,-63
0.3359375,-66
0.33984375,-60
0.34375,-48
0.34765625,-35
0.3515625,-29
0.35546875,-27
0.359375,-17
0.36328125,11
0.3671875,49
0.37109375,81
0.375,95
0.37890625,88
0.3828125,64
0.38671875,35
0.390625,15
0.39453125,11
0.3984375,18
0.40234375,21
0.40625,11
0.41015625,-13
0.4140625,-46
0.41796875,-77
0.421875,-103
0.42578125,-118
0.4296875,-117
0.43359375,-103
0.4375,-87
0.44140625,-76
0.4453125,-70
0.44921875,-70
0.453125,-74
0.45703125,-73
0.4609375,-65
0.46484375,-47
0.46875,-22
0.47265625,4
0.4765625,24
0.48046875,28
0.484375,18
0.48828125,0
0.4921875,-21
0.49609375,-39
0.5,-46
0.50390625,-38
0.5078125,-23
0.51171875,-12
0.515625,-8
0.51953125,-6
0.5234375,-2
0.52734375,8
0.53125,26
0.53515625,49
0.5390625,69
0.54296875,82
0.546875,88
0.55078125,89
0.5546875,86
0.55859375,76
0.5625,60
0.56640625,44
0.5703125,29
0.57421875,17
0.578125,4
0.58203125,-10
0.5859375,-28
0.58984375,-51
0.59375,-72
0.59765625,-84
0.6015625,-86
0.60546875,-76
0.609375,-58
0.61328125,-37
0.6171875,-15
0.62109375,5
0.625,19
0.62890625,24
0.6328125,22
0.63671875,22
0.640625,31
0.64453125,48
0.6484375,67
0.65234375,80
0.65625,82
0.66015625,71
0.6640625,47
0.66796875,16
0.671875,-14
0.67578125,-37
0.6796875,-53
0.68359375,-67
0.6875,-82
0.69140625,-97
0.6953125,-107
0.69921875,-109
0.703125,-98
0.70703125,-69
0.7109375,-24
0.71484375,26
0.71875,73
0.72265625,107
0.7265625,127
0.73046875,131
0.734375,121
0.73828125,100
0.7421875,79
0.74609375,68
0.75,65
0.75390625,60
0.7578125,46
0.76171875,15
0.765625,-30
0.76953125,-81
0.7734375,-123
0.77734375,-145
0.78125,-147
0.78515625,-136
0.7890625,-115
0.79296875,-88
0.796875,-58
0.80078125,-24
0.8046875,17
0.80859375,61
0.8125,102
0.81640625,134
0.8203125,155
0.82421875,162
0.828125,153
0.83203125,128
0.8359375,94
0.83984375,60
0.84375,31
0.84765625,6
0.8515625,-18
0.85546875,-38
0.859375,-54
0.86328125,-67
0.8671875,-75
0.87109375,-73
0.875,-63
0.87890625,-48
0.8828125,-28
0.88671875,-7
0.890625,14
0.89453125,36
0.8984375,58
0.90234375,77
0.90625,91
0.91015625,102
0.9140625,110
0.91796875,112
0.921875,104
0.92578125,89
0.9296875,70
0.93359375,49
0.9375,25
0.94140625,1
0.9453125,-21
0.94921875,-39
0.953125,-53
0.95703125,-60
0.9609375,-56
0.96484375,-45
0.96875,-31
0.97265625,-16
0.9765625,4
0.98046875,30
0.984375,55
0.98828125,76
0.9921875,94
0.99609375,108
1.0,116
1.00390625,116
1.0078125,106
1.01171875,86
1.015625,54
1.01953125,14
1.0234375,-26
1.02734375,-55
1.03125,-71
1.03515625,-81
1.0390625,-95
1.04296875,-113
1.046875,-125
1.05078125,-126
1.0546875,-114
1.05859375,-90
1.0625,-56
1.06640625,-17
1.0703125,20
1.07421875,54
1.078125,84
1.08203125,110
1.0859375,128
1.08984375,133
1.09375,128
1.09765625,118
1.1015625,108
1.10546875,100
1.109375,93
1.11328125,80
1.1171875,55
1.12109375,19
1.125,-20
1.12890625,-54
1.1328125,-73
1.13671875,-72
1.140625,-56
1.14453125,-36
1.1484375,-22
1.15234375,-15
1.15625,-10
1.16015625,-1
1.1640625,12
1.16796875,30
1.171875,54
1.17578125,82
1.1796875,104
1.18359375,111
1.1875,102
1.19140625,83
1.1953125,54
1.19921875,20
1.203125,-10
1.20703125,-33
1.2109375,-54
1.21484375,-73
1.21875,-86
1.22265625,-91
1.2265625,-86
1.23046875,-72
1.234375,-47
1.23828125,-17
1.2421875,12
1.24609375,39
1.25,62
1.25390625,79
1.2578125,87
1.26171875,88
1.265625,87
1.26953125,87
1.2734375,86
1.27734375,80
1.28125,68
1.28515625,51
1.2890625,27
1.29296875,-2
1.296875,-32
1.30078125,-58
1.3046875,-75
1.30859375,-84
1.3125,-82
1.31640625,-68
1.3203125,-46
1.32421875,-21
1.328125,2
1.33203125,24
1.3359375,43
