Time,C4
0.0,3
0.00390625,14
0.0078125,23
0.01171875,23
0.015625,18
0.01953125,11
0.0234375,4
0.02734375,0
0.03125,4
0.03515625,15
0.0390625,25
0.04296875,21
0.046875,3
0.05078125,-18
0.0546875,-38
0.05859375,-52
0.0625,-54
0.06640625,-44
0.0703125,-26
0.07421875,-7
0.078125,8
0.08203125,15
0.0859375,12
0.08984375,1
0.09375,-13
0.09765625,-27
0.1015625,-39
0.10546875,-47
0.109375,-52
0.11328125,-56
0.1171875,-60
0.12109375,-66
0.125,-71
0.12890625,-67
0.1328125,-53
0.13671875,-32
0.140625,-7
0.14453125,19
0.1484375,40
0.15234375,49
0.15625,48
0.16015625,45
0.1640625,42
0.16796875,42
0.171875,44
0.17578125,45
0.1796875,42
0.18359375,31
0.1875,12
0.19140625,-6
0.1953125,-17
0.19921875,-19
0.203125,-19
0.20703125,-20
0.2109375,-27
0.21484375,-37
0.21875,-44
0.22265625,-46
0.2265625,-39
0.23046875,-25
0.234375,-6
0.23828125,13
0.2421875,27
0.24609375,36
0.25,39
0.25390625,35
0.2578125,26
0.26171875,10
0.265625,-5
0.26953125,-18
0.2734375,-27
0.27734375,-32
0.28125,-32
0.28515625,-26
0.2890625,-18
0.29296875,-13
0.296875,-12
0.30078125,-15
0.3046875,-19
0.30859375,-23
0.3125,-27
0.31640625,-33
0.3203125,-37
0.32421875,-35
0.328125,-31
0.33203125,-27
0.3359375,-23
0.33984375,-16
0.34375,-11
0.34765625,-12
0.3515625,-14
0.35546875,-11
0.359375,-5
0.36328125,-4
0.3671875,-7
0.37109375,-5
0.375,0
0.37890625,1
0.3828125,-3
0.38671875,-9
0.390625,-13
0.39453125,-14
0.3984375,-8
0.40234375,4
0.40625,17
0.41015625,26
0.4140625,25
0.41796875,13
0.421875,-3
0.42578125,-15
0.4296875,-19
0.43359375,-14
0.4375,-8
0.44140625,-9
0.4453125,-18
0.44921875,-30
0.453125,-43
0.45703125,-50
0.4609375,-47
0.46484375,-31
0.46875,-11
0.47265625,0
0.4765625,0
0.48046875,-4
0.484375,-12
0.48828125,-24
0.4921875,-34
0.49609375,-33
0.5,-19
0.50390625,3
0.5078125,28
0.51171875,50
0.515625,63
0.51953125,64
0.5234375,56
0.52734375,41
0.53125,30
0.53515625,28
0.5390625,33
0.54296875,33
0.546875,21
0.55078125,-2
0.5546875,-33
0.55859375,-64
0.5625,-84
0.56640625,-82
0.5703125,-60
0.57421875,-26
0.578125,3
0.58203125,20
0.5859375,24
0.58984375,19
0.59375,9
0.59765625,-2
0.6015625,-11
0.60546875,-13
0.609375,-6
0.61328125,8
0.6171875,25
0.62109375,39
0.625,49
0.62890625,52
0.6328125,47
0.63671875,39
0.640625,33
0.64453125,29
0.6484375,26
0.65234375,23
0.65625,18
0.66015625,8
0.6640625,-4
0.66796875,-16
0.671875,-24
0.67578125,-24
0.6796875,-12
0.68359375,9
0.6875,31
0.69140625,48
0.6953125,58
0.69921875,60
0.703125,51
0.70703125,37
0.7109375,23
0.71484375,13
0.71875,13
0.72265625,25
0.7265625,40
0.73046875,47
0.734375,38
0.73828125,16
0.7421875,-4
0.74609375,-11
0.75,-4
0.75390625,12
0.7578125,26
0.76171875,31
0.765625,25
0.76953125,15
0.7734375,8
0.77734375,9
0.78125,17
0.78515625,25
0.7890625,30
0.79296875,35
0.796875,38
0.80078125,31
0.8046875,11
0.80859375,-15
0.8125,-39
0.81640625,-52
0.8203125,-46
0.82421875,-22
0.828125,7
0.83203125,26
0.8359375,28
0.83984375,17
0.84375,4
0.84765625,-3
0.8515625,0
0.85546875,9
0.859375,21
0.86328125,27
0.8671875,29
0.87109375,28
0.875,29
0.87890625,32
0.8828125,40
0.88671875,56
0.890625,79
0.89453125,105
0.8984375,122
0.90234375,119
0.90625,96
0.91015625,63
0.9140625,36
0.91796875,23
0.921875,28
0.92578125,41
0.9296875,50
0.93359375,47
0.9375,33
0.94140625,18
0.9453125,8
0.94921875,2
0.953125,3
0.95703125,8
0.9609375,19
0.96484375,32
0.96875,43
0.97265625,47
0.9765625,45
0.98046875,40
0.984375,35
0.98828125,26
0.9921875,13
0.99609375,-3
1.0,-18
1.00390625,-29
1.0078125,-30
1.01171875,-18
1.015625,1
1.01953125,15
1.0234375,13
1.02734375,1
1.03125,-15
1.03515625,-25
1.0390625,-25
1.04296875,-13
1.046875,11
1.05078125,39
1.0546875,59
1.05859375,60
1.0625,43
1.06640625,22
1.0703125,6
1.07421875,-4
1.078125,-8
1.08203125,-3
1.0859375,4
1.08984375,7
1.09375,9
1.09765625,14
1.1015625,23
1.10546875,27
1.109375,24
1.11328125,13
1.1171875,-5
1.12109375,-25
1.125,-38
1.12890625,-39
1.1328125,-26
1.13671875,-1
1.140625,28
1.14453125,48
1.1484375,49
1.15234375,28
1.15625,-1
1.16015625,-25
1.1640625,-35
1.16796875,-30
1.171875,-17
1.17578125,-3
1.1796875,6
1.18359375,3
1.1875,-13
1.19140625,-27
1.1953125,-32
1.19921875,-31
1.203125,-32
1.20703125,-33
1.2109375,-30
1.21484375,-23
1.21875,-11
1.22265625,6
1.2265625,26
1.23046875,41
1.234375,48
1.23828125,44
1.2421875,36
1.24609375,33
1.25,31
1.25390625,23
1.2578125,4
1.26171875,-19
1.265625,-43
1.26953125,-61
1.2734375,-69
1.27734375,-64
1.28125,-47
1.28515625,-24
1.2890625,1
1.29296875,20
1.296875,29
1.30078125,26
1.3046875,14
1.30859375,-1
1.3125,-14
1.31640625,-20
1.3203125,-15
1.32421875,3
1.328125,26
1.33203125,45
1.3359375,54
1.33984375,51
1.34375,36
1.34765625,12
1.3515625,-11
1.35546875,-21
1.359375,-20
1.36328125,-16
1.3671875,-15
1.37109375,-16
1.375,-19
1.37890625,-23
1.3828125,-25
1.38671875,-20
1.390625,-8
1.39453125,5
1.3984375,10
1.40234375,5
1.40625,-7
1.41015625,-21
1.4140625,-32
1.41796875,-32
1.421875,-20
1.42578125,0
1.4296875,18
1.43359375,25
1.4375,23
1.44140625,14
1.4453125,0
1.44921875,-15
1.453125,-29
1.45703125,-42
1.4609375,-58
1.46484375,-71
1.46875,-76
1.47265625,-69
1.4765625,-49
1.48046875,-19
1.484375,16
1.48828125,46
1.4921875,67
1.49609375,84
1.5,97
1.50390625,100
1.5078125,85
1.51171875,56
1.515625,24
1.51953125,1
1.5234375,-10
1.52734375,-8
1.53125,3
1.53515625,16
1.5390625,23
1.54296875,22
1.546875,16
1.55078125,8
1.5546875,-2
1.55859375,-12
1.5625,-17
1.56640625,-5
1.5703125,25
1.57421875,58
1.578125,77
1.58203125,71
1.5859375,45
1.58984375,12
1.59375,-15
1.59765625,-26
1.6015625,-19
1.60546875,2
1.609375,24
1.61328125,33
1.6171875,27
1.62109375,16
1.625,11
1.62890625,10
1.6328125,8
1.63671875,1
1.640625,-6
1.64453125,-9
1.6484375,-6
1.65234375,4
1.65625,20
1.66015625,35
1.6640625,36
1.66796875,22
1.671875,2
1.67578125,-12
1.6796875,-16
1.68359375,-10
1.6875,3
1.69140625,22
1.6953125,41
1.69921875,54
1.703125,58
1.70703125,56
1.7109375,48
1.71484375,35
1.71875,19
1.72265625,4
1.7265625,-12
1.73046875,-23
1.734375,-21
1.73828125,-4
1.7421875,21
1.74609375,39
1.75,44
1.75390625,34
1.7578125,15
1.76171875,-4
1.765625,-18
1.76953125,-22
1.7734375,-17
1.77734375,-14
1.78125,-19
1.78515625,-30
1.7890625,-37
1.79296875,-37
1.796875,-34
1.80078125,-34
1.8046875,-36
1.80859375,-40
1.8125,-48
1.81640625,-59
1.8203125,-64
1.82421875,-58
1.828125,-45
1.83203125,-33
1.8359375,-25
1.83984375,-17
1.84375,-13
1.84765625,-15
1.8515625,-21
1.85546875,-20
1.859375,-5
1.86328125,24
1.8671875,48
1.87109375,52
1.875,34
1.87890625,5
1.8828125,-26
1.88671875,-48
1.890625,-54
1.89453125,-46
1.8984375,-37
1.90234375,-34
1.90625,-41
1.91015625,-48
1.9140625,-47
1.91796875,-33
1.921875,-12
1.92578125,11
1.9296875,35
1.93359375,52
1.9375,58
1.94140625,49
1.9453125,31
1.94921875,11
1.953125,-4
1.95703125,-11
1.9609375,-10
1.96484375,-4
1.96875,4
1.97265625,6
1.9765625,-1
1.98046875,-12
1.984375,-19
1.98828125,-20
1.9921875,-15
1.99609375,-8
2.0,-6
2.00390625,-13
2.0078125,-25
2.01171875,-33
2.015625,-41
2.01953125,-50
2.0234375,-51
2.02734375,-38
2.03125,-17
2.03515625,3
2.0390625,20
2.04296875,34
2.046875,41
2.05078125,38
2.0546875,35
2.05859375,40
2.0625,49
2.06640625,53
2.0703125,51
2.07421875,50
2.078125,55
2.08203125,61
2.0859375,59
2.08984375,47
2.09375,28
2.09765625,3
2.1015625,-23
2.10546875,-42
2.109375,-47
2.11328125,-42
2.1171875,-33
2.12109375,-24
