Time,T3
0.0,-71
0.00390625,-80
0.0078125,-87
0.01171875,-91
0.015625,-90
0.01953125,-82
0.0234375,-68
0.02734375,-54
0.03125,-42
0.03515625,-33
0.0390625,-23
0.04296875,-13
0.046875,-1
0.05078125,6
0.0546875,8
0.05859375,3
0.0625,-7
0.06640625,-17
0.0703125,-24
0.07421875,-25
0.078125,-23
0.08203125,-23
0.0859375,-30
0.08984375,-42
0.09375,-52
0.09765625,-57
0.1015625,-56
0.10546875,-48
0.109375,-36
0.11328125,-23
0.1171875,-12
0.12109375,-3
0.125,5
0.12890625,13
0.1328125,18
0.13671875,20
0.140625,18
0.14453125,15
0.1484375,13
0.15234375,13
0.15625,14
0.16015625,14
0.1640625,12
0.16796875,9
0.171875,3
0.17578125,-4
0.1796875,-10
0.18359375,-15
0.1875,-18
0.19140625,-20
0.1953125,-19
0.19921875,-17
0.203125,-13
0.20703125,-8
0.2109375,-1
0.21484375,8
0.21875,18
0.22265625,25
0.2265625,30
0.23046875,32
0.234375,28
0.23828125,18
0.2421875,6
0.24609375,-6
0.25,-19
0.25390625,-32
0.2578125,-42
0.26171875,-46
0.265625,-45
0.26953125,-39
0.2734375,-30
0.27734375,-19
0.28125,-10
0.28515625,-7
0.2890625,-9
0.29296875,-13
0.296875,-15
0.30078125,-14
0.3046875,-10
0.30859375,-4
0.3125,5
0.31640625,15
0.3203125,26
0.32421875,37
0.328125,46
0.33203125,49
0.3359375,45
0.33984375,33
0.34375,16
0.34765625,-1
0.3515625,-16
0.35546875,-27
0.359375,-34
0.36328125,-34
0.3671875,-31
0.37109375,-25
0.375,-18
0.37890625,-10
0.3828125,-2
0.38671875,4
0.390625,9
0.39453125,11
0.3984375,10
0.40234375,8
0.40625,6
0.41015625,6
0.4140625,8
0.41796875,12
0.421875,13
0.42578125,12
0.4296875,7
0.43359375,2
0.4375,-1
0.44140625,-3
0.4453125,-3
0.44921875,-5
0.453125,-6
0.45703125,-7
0.4609375,-6
0.46484375,-3
0.46875,2
0.47265625,9
0.4765625,18
0.48046875,28
0.484375,36
0.48828125,43
0.4921875,45
0.49609375,44
0.5,42
0.50390625,39
0.5078125,36
0.51171875,32
0.515625,25
0.51953125,17
0.5234375,11
0.52734375,8
0.53125,8
0.53515625,8
0.5390625,4
0.54296875,-6
0.546875,-18
0.55078125,-27
0.5546875,-29
0.55859375,-19
0.5625,-2
0.56640625,18
0.5703125,37
0.57421875,51
0.578125,59
0.58203125,61
0.5859375,60
0.58984375,56
0.59375,49
0.59765625,39
0.6015625,26
0.60546875,14
0.609375,6
0.61328125,3
0.6171875,4
0.62109375,9
0.625,16
0.62890625,20
0.6328125,21
0.63671875,19
0.640625,16
0.64453125,14
0.6484375,15
0.65234375,19
0.65625,23
0.66015625,27
0.6640625,30
0.66796875,31
0.671875,29
0.67578125,27
0.6796875,24
0.68359375,21
0.6875,14
0.69140625,7
0.6953125,-1
0.69921875,-6
0.703125,-7
0.70703125,-7
0.7109375,-6
0.71484375,-7
0.71875,-9
0.72265625,-11
0.7265625,-13
0.73046875,-10
0.734375,-4
0.73828125,3
0.7421875,9
0.74609375,15
0.75,19
0.75390625,23
0.7578125,26
0.76171875,27
0.765625,25
0.76953125,20
0.7734375,12
0.77734375,0
0.78125,-14
0.78515625,-25
0.7890625,-30
0.79296875,-29
0.796875,-23
0.80078125,-14
0.8046875,-7
0.80859375,-3
0.8125,-1
0.81640625,2
0.8203125,8
0.82421875,16
0.828125,27
0.83203125,37
0.8359375,43
0.83984375,45
0.84375,44
0.84765625,41
0.8515625,36
0.85546875,30
0.859375,27
0.86328125,25
0.8671875,24
0.87109375,21
0.875,16
0.87890625,11
0.8828125,6
0.88671875,-2
0.890625,-11
0.89453125,-21
0.8984375,-28
0.90234375,-34
0.90625,-39
0.91015625,-39
0.9140625,-33
0.91796875,-25
0.921875,-17
0.92578125,-7
0.9296875,4
0.93359375,15
0.9375,22
0.94140625,23
0.9453125,20
0.94921875,15
0.953125,9
0.95703125,5
0.9609375,4
0.96484375,3
0.96875,-1
0.97265625,-8
0.9765625,-18
0.98046875,-27
0.984375,-29
0.98828125,-23
0.9921875,-10
0.99609375,3
1.0,13
1.00390625,17
1.0078125,15
1.01171875,10
1.015625,9
1.01953125,12
1.0234375,18
1.02734375,24
1.03125,26
1.03515625,21
1.0390625,14
1.04296875,7
1.046875,1
1.05078125,-6
1.0546875,-13
1.05859375,-19
1.0625,-22
1.06640625,-20
1.0703125,-11
1.07421875,2
1.078125,13
1.08203125,17
1.0859375,16
1.08984375,11
1.09375,9
1.09765625,12
1.1015625,20
1.10546875,30
1.109375,38
1.11328125,40
1.1171875,36
1.12109375,28
1.125,17
1.12890625,7
1.1328125,-1
1.13671875,-7
1.140625,-10
1.14453125,-10
1.1484375,-5
1.15234375,2
1.15625,10
1.16015625,17
1.1640625,21
1.16796875,18
1.171875,8
1.17578125,-5
1.1796875,-13
1.18359375,-15
1.1875,-7
1.19140625,7
1.1953125,22
1.19921875,31
1.203125,32
1.20703125,27
1.2109375,18
1.21484375,9
1.21875,0
1.22265625,-9
1.2265625,-20
1.23046875,-29
1.234375,-33
1.23828125,-31
1.2421875,-25
1.24609375,-17
1.25,-9
1.25390625,-3
1.2578125,3
1.26171875,8
1.265625,15
1.26953125,21
1.2734375,24
1.27734375,23
1.28125,22
1.28515625,20
1.2890625,20
1.29296875,19
1.296875,18
1.30078125,16
1.3046875,14
1.30859375,14
1.3125,17
1.31640625,20
1.3203125,21
1.32421875,18
1.328125,11
1.33203125,1
1.3359375,-7
1.33984375,-9
1.34375,-6
1.34765625,1
1.3515625,10
1.35546875,19
1.359375,27
1.36328125,34
1.3671875,42
1.37109375,51
1.375,57
1.37890625,57
1.3828125,49
1.38671875,36
1.390625,24
1.39453125,17
1.3984375,13
1.40234375,11
1.40625,12
1.41015625,14
1.4140625,15
1.41796875,14
1.421875,12
1.42578125,6
1.4296875,-6
1.43359375,-19
1.4375,-25
1.44140625,-19
1.4453125,-3
1.44921875,18
1.453125,38
1.45703125,52
1.4609375,58
1.46484375,58
1.46875,56
1.47265625,53
1.4765625,48
1.48046875,38
1.484375,28
1.48828125,20
1.4921875,18
1.49609375,19
1.5,23
1.50390625,26
1.5078125,24
1.51171875,19
1.515625,13
1.51953125,10
1.5234375,15
1.52734375,25
1.53125,38
1.53515625,50
1.5390625,61
1.54296875,69
1.546875,71
1.55078125,72
1.5546875,70
1.55859375,65
1.5625,58
1.56640625,53
1.5703125,50
1.57421875,49
1.578125,45
1.58203125,41
1.5859375,36
1.58984375,33
1.59375,32
1.59765625,35
1.6015625,39
1.60546875,39
1.609375,35
1.61328125,32
1.6171875,33
1.62109375,38
1.625,44
1.62890625,51
1.6328125,58
1.63671875,63
1.640625,66
1.64453125,67
1.6484375,65
1.65234375,60
1.65625,50
1.66015625,40
1.6640625,32
1.66796875,30
1.671875,29
1.67578125,26
1.6796875,18
1.68359375,8
1.6875,-1
1.69140625,-7
1.6953125,-10
1.69921875,-8
1.703125,-1
1.70703125,9
1.7109375,21
1.71484375,33
1.71875,46
1.72265625,60
1.7265625,72
1.73046875,81
1.734375,86
1.73828125,90
1.7421875,92
1.74609375,88
1.75,77
1.75390625,63
1.7578125,49
1.76171875,36
1.765625,28
1.76953125,25
1.7734375,28
1.77734375,33
1.78125,36
1.78515625,36
1.7890625,38
1.79296875,40
1.796875,43
1.80078125,46
1.8046875,50
1.80859375,57
1.8125,66
1.81640625,76
1.8203125,84
1.82421875,89
1.828125,87
1.83203125,80
1.8359375,72
1.83984375,64
1.84375,58
1.84765625,53
1.8515625,49
1.85546875,43
1.859375,35
1.86328125,25
1.8671875,17
1.87109375,10
1.875,7
1.87890625,7
1.8828125,11
1.88671875,18
1.890625,28
1.89453125,39
1.8984375,49
1.90234375,55
1.90625,56
1.91015625,52
1.9140625,47
1.91796875,42
1.921875,41
1.92578125,42
1.9296875,42
1.93359375,41
1.9375,37
1.94140625,31
1.9453125,25
1.94921875,18
1.953125,11
1.95703125,4
1.9609375,-2
1.96484375,-5
1.96875,-3
1.97265625,2
1.9765625,10
1.98046875,19
1.984375,28
1.98828125,35
1.9921875,40
1.99609375,44
2.0,45
2.00390625,44
2.0078125,42
2.01171875,38
2.015625,34
2.01953125,28
2.0234375,22
2.02734375,14
2.03125,5
2.03515625,-4
2.0390625,-12
2.04296875,-17
2.046875,-18
2.05078125,-15
2.0546875,-9
2.05859375,1
2.0625,13
2.06640625,24
2.0703125,34
2.07421875,44
2.078125,50
2.08203125,52
2.0859375,51
2.08984375,51
2.09375,50
2.09765625,49
2.1015625,48
2.10546875,46
2.109375,45
2.11328125,43
2.1171875,42
2.12109375,39
2.125,34
2.12890625,29
2.1328125,25
2.13671875,25
2.140625,31
2.14453125,42
2.1484375,54
2.15234375,63
2.15625,67
2.16015625,69
2.1640625,69
2.16796875,67
2.171875,61
2.17578125,55
2.1796875,50
2.18359375,44
2.1875,37
2.19140625,31
2.1953125,28
2.19921875,28
2.203125,29
2.20703125,30
2.2109375,30
2.21484375,25
2.21875,15
2.22265625,1
2.2265625,-11
2.23046875,-20
2.234375,-23
2.23828125,-20
2.2421875,-11
2.24609375,2
2.25,15
2.25390625,27
2.2578125,35
2.26171875,39
2.265625,41
2.26953125,43
2.2734375,41
2.27734375,34
2.28125,21
2.28515625,8
2.2890625,-1
2.29296875,-3
2.296875,0
2.30078125,5
2.3046875,7
2.30859375,4
2.3125,0
2.31640625,1
2.3203125,6
2.32421875,14
2.328125,22
2.33203125,29
2.3359375,34
2.33984375,38
2.34375,45
2.34765625,55
2.3515625,64
2.35546875,71
2.359375,73
2.36328125,68
2.3671875,54
2.37109375,35
2.375,18
2.37890625,8
2.3828125,7
2.38671875,11
2.390625,17
2.39453125,18
2.3984375,12
2.40234375,1
2.40625,-8
2.41015625,-14
2.4140625,-12
2.41796875,-4
2.421875,8
2.42578125,21
2.4296875,31
2.43359375,38
2.4375,40
2.44140625,35
2.4453125,26
2.44921875,18
2.453125,14
2.45703125,14
2.4609375,13
2.46484375,11
2.46875,9
2.47265625,7
2.4765625,6
2.48046875,4
2.484375,2
2.48828125,-2
2.4921875,-6
2.49609375,-8
2.5,-2
2.50390625,13
2.5078125,34
2.51171875,52
2.515625,59
2.51953125,56
2.5234375,49
2.52734375,39
2.53125,32
2.53515625,30
2.5390625,32
2.54296875,32
2.546875,28
2.55078125,21
2.5546875,10
2.55859375,-4
2.5625,-18
2.56640625,-30
2.5703125,-38
2.57421875,-40
2.578125,-40
2.58203125,-36
2.5859375,-31
2.58984375,-27
2.59375,-25
2.59765625,-26
2.6015625,-28
2.60546875,-32
2.609375,-39
2.61328125,-44
2.6171875,-44
2.62109375,-41
2.625,-36
2.62890625,-29
2.6328125,-22
2.63671875,-19
2.640625,-20
2.64453125,-28
2.6484375,-39
2.65234375,-50
2.65625,-58
2.66015625,-61
2.6640625,-58
2.66796875,-52
2.671875,-48
2.67578125,-45
2.6796875,-45
2.68359375,-44
2.6875,-43
2.69140625,-41
2.6953125,-38
2.69921875,-35
2.703125,-34
2.70703125,-34
2.7109375,-37
2.71484375,-42
2.71875,-48
2.72265625,-52
2.7265625,-54
2.73046875,-57
2.734375,-62
2.73828125,-70
2.7421875,-80
2.74609375,-90
2.75,-94
2.75390625,-91
2.7578125,-81
2.76171875,-69
2.765625,-56
2.76953125,-45
2.7734375,-36
2.77734375,-27
2.78125,-17
2.78515625,-9
2.7890625,-4
2.79296875,-3
2.796875,-7
2.80078125,-12
2.8046875,-17
2.80859375,-19
2.8125,-19
2.81640625,-19
2.8203125,-25
2.82421875,-36
2.828125,-50
2.83203125,-60
2.8359375,-65
2.83984375,-64
2.84375,-61
2.84765625,-60
2.8515625,-62
2.85546875,-66
2.859375,-72
2.86328125,-74
2.8671875,-71
2.87109375,-65
2.875,-57
2.87890625,-48
2.8828125,-39
2.88671875,-34
2.890625,-35
2.89453125,-40
2.8984375,-46
2.90234375,-49
2.90625,-47
2.91015625,-42
2.9140625,-36
2.91796875,-33
2.921875,-33
2.92578125,-35
2.9296875,-37
2.93359375,-38
2.9375,-37
2.94140625,-35
2.9453125,-33
2.94921875,-27
2.953125,-16
2.95703125,-4
2.9609375,6
2.96484375,10
2.96875,8
2.97265625,-1
2.9765625,-15
2.98046875,-29
2.984375,-42
2.98828125,-53
2.9921875,-62
2.99609375,-69
3.0,-71
3.00390625,-70
3.0078125,-67
3.01171875,-64
3.015625,-63
3.01953125,-65
3.0234375,-69
3.02734375,-74
3.03125,-77
3.03515625,-81
3.0390625,-83
3.04296875,-85
3.046875,-84
3.05078125,-80
3.0546875,-74
3.05859375,-66
3.0625,-58
3.06640625,-52
3.0703125,-49
3.07421875,-47
3.078125,-47
3.08203125,-49
3.0859375,-52
3.08984375,-55
3.09375,-58
3.09765625,-59
3.1015625,-59
3.10546875,-60
3.109375,-58
3.11328125,-54
3.1171875,-49
3.12109375,-43
3.125,-37
3.12890625,-33
3.1328125,-31
3.13671875,-35
3.140625,-41
3.14453125,-46
3.1484375,-52
3.15234375,-57
3.15625,-58
3.16015625,-55
3.1640625,-52
3.16796875,-53
3.171875,-57
3.17578125,-62
3.1796875,-69
3.18359375,-75
3.1875,-79
3.19140625,-78
3.1953125,-73
3.19921875,-67
3.203125,-62
3.20703125,-57
3.2109375,-52
3.21484375,-47
3.21875,-44
3.22265625,-41
3.2265625,-36
3.23046875,-31
3.234375,-26
3.23828125,-21
3.2421875,-18
3.24609375,-17
3.25,-20
3.25390625,-28
3.2578125,-38
3.26171875,-46
3.265625,-51
3.26953125,-49
3.2734375,-42
3.27734375,-35
3.28125,-32
3.28515625,-35
3.2890625,-44
3.29296875,-51
3.296875,-53
3.30078125,-49
3.3046875,-40
3.30859375,-30
3.3125,-23
3.31640625,-21
3.3203125,-20
3.32421875,-17
3.328125,-16
3.33203125,-18
3.3359375,-22
3.33984375,-29
3.34375,-38
3.34765625,-48
3.3515625,-54
3.35546875,-55
3.359375,-53
3.36328125,-49
3.3671875,-41
3.37109375,-32
3.375,-24
3.37890625,-19
3.3828125,-16
3.38671875,-15
3.390625,-11
3.39453125,-5
3.3984375,2
3.40234375,8
3.40625,10
3.41015625,8
3.4140625,3
3.41796875,-2
3.421875,-6
3.42578125,-8
3.4296875,-9
3.43359375,-10
3.4375,-12
3.44140625,-16
3.4453125,-20
3.44921875,-26
3.453125,-33
3.45703125,-38
3.4609375,-40
3.46484375,-35
3.46875,-27
3.47265625,-19
3.4765625,-13
3.48046875,-11
3.484375,-15
3.48828125,-24
3.4921875,-33
3.49609375,-38
3.5,-41
3.50390625,-40
3.5078125,-38
3.51171875,-38
3.515625,-40
3.51953125,-44
3.5234375,-50
3.52734375,-55
3.53125,-59
3.53515625,-60
3.5390625,-59
3.54296875,-56
3.546875,-50
3.55078125,-43
3.5546875,-37
3.55859375,-31
3.5625,-26
3.56640625,-20
3.5703125,-15
3.57421875,-10
3.578125,-4
3.58203125,-1
3.5859375,0
3.58984375,-2
3.59375,-4
3.59765625,-5
3.6015625,-7
3.60546875,-12
3.609375,-19
3.61328125,-26
3.6171875,-32
3.62109375,-35
3.625,-36
3.62890625,-36
3.6328125,-38
3.63671875,-42
3.640625,-46
3.64453125,-47
3.6484375,-44
3.65234375,-36
3.65625,-25
3.66015625,-12
3.6640625,-1
3.66796875,8
3.671875,15
3.67578125,18
3.6796875,15
3.68359375,7
3.6875,-3
3.69140625,-13
3.6953125,-20
3.69921875,-24
3.703125,-27
3.70703125,-30
3.7109375,-36
3.71484375,-43
3.71875,-49
3.72265625,-52
3.7265625,-54
3.73046875,-56
3.734375,-56
3.73828125,-54
3.7421875,-49
3.74609375,-39
3.75,-26
3.75390625,-15
3.7578125,-8
3.76171875,-7
3.765625,-11
3.76953125,-16
3.7734375,-21
3.77734375,-24
3.78125,-24
3.78515625,-24
3.7890625,-25
3.79296875,-28
3.796875,-34
3.80078125,-40
3.8046875,-45
3.80859375,-46
3.8125,-43
3.81640625,-38
3.8203125,-34
3.82421875,-30
3.828125,-27
3.83203125,-21
3.8359375,-9
3.83984375,7
3.84375,24
3.84765625,38
3.8515625,46
3.85546875,45
3.859375,34
3.86328125,18
3.8671875,1
3.87109375,-14
3.875,-25
3.87890625,-31
3.8828125,-32
3.88671875,-33
3.890625,-37
3.89453125,-42
3.8984375,-47
3.90234375,-50
3.90625,-50
3.91015625,-48
3.9140625,-46
3.91796875,-44
3.921875,-40
3.92578125,-36
3.9296875,-31
3.93359375,-27
3.9375,-26
3.94140625,-28
3.9453125,-34
3.94921875,-41
3.953125,-46
3.95703125,-49
3.9609375,-49
3.96484375,-47
3.96875,-48
3.97265625,-50
3.9765625,-56
3.98046875,-66
3.984375,-75
3.98828125,-78
3.9921875,-73
3.99609375,-64
4.0,-54
4.00390625,-47
4.0078125,-43
4.01171875,-42
4.015625,-41
4.01953125,-38
4.0234375,-30
4.02734375,-21
4.03125,-13
4.03515625,-11
4.0390625,-14
4.04296875,-21
4.046875,-31
4.05078125,-42
4.0546875,-50
4.05859375,-56
4.0625,-59
4.06640625,-61
4.0703125,-61
4.07421875,-61
4.078125,-60
4.08203125,-60
4.0859375,-61
4.08984375,-61
4.09375,-61
4.09765625,-59
4.1015625,-55
4.10546875,-51
4.109375,-49
4.11328125,-51
4.1171875,-57
4.12109375,-62
4.125,-66
4.12890625,-69
4.1328125,-71
4.13671875,-74
4.140625,-78
4.14453125,-84
4.1484375,-90
4.15234375,-94
4.15625,-92
4.16015625,-85
4.1640625,-77
4.16796875,-72
4.171875,-67
4.17578125,-66
4.1796875,-69
4.18359375,-71
4.1875,-67
4.19140625,-58
4.1953125,-48
4.19921875,-42
4.203125,-39
4.20703125,-41
4.2109375,-47
4.21484375,-52
4.21875,-53
4.22265625,-50
4.2265625,-45
4.23046875,-41
4.234375,-39
4.23828125,-41
4.2421875,-47
4.24609375,-55
4.25,-63
4.25390625,-68
4.2578125,-68
4.26171875,-62
4.265625,-50
4.26953125,-33
4.2734375,-16
4.27734375,-4
4.28125,-1
4.28515625,-5
4.2890625,-12
4.29296875,-18
4.296875,-21
4.30078125,-18
4.3046875,-9
4.30859375,2
4.3125,9
4.31640625,11
4.3203125,8
4.32421875,2
4.328125,-4
4.33203125,-7
4.3359375,-8
4.33984375,-7
4.34375,-6
4.34765625,-8
4.3515625,-11
4.35546875,-12
4.359375,-12
4.36328125,-11
4.3671875,-8
4.37109375,-3
4.375,3
4.37890625,9
4.3828125,17
4.38671875,23
4.390625,27
4.39453125,27
4.3984375,25
4.40234375,21
4.40625,13
4.41015625,2
4.4140625,-10
4.41796875,-19
4.421875,-24
4.42578125,-24
4.4296875,-18
4.43359375,-7
4.4375,6
4.44140625,16
4.4453125,19
4.44921875,20
4.453125,21
4.45703125,22
4.4609375,27
4.46484375,37
4.46875,51
4.47265625,61
4.4765625,63
4.48046875,56
4.484375,44
4.48828125,34
4.4921875,29
4.49609375,30
4.5,35
4.50390625,41
4.5078125,43
4.51171875,40
4.515625,36
4.51953125,35
4.5234375,41
4.52734375,50
4.53125,60
4.53515625,68
4.5390625,76
4.54296875,83
4.546875,89
4.55078125,95
4.5546875,98
4.55859375,96
4.5625,89
4.56640625,78
4.5703125,66
4.57421875,55
4.578125,49
4.58203125,48
4.5859375,50
4.58984375,52
4.59375,55
4.59765625,57
4.6015625,59
4.60546875,60
4.609375,62
4.61328125,66
4.6171875,70
4.62109375,73
4.625,72
4.62890625,71
4.6328125,71
4.63671875,75
4.640625,81
4.64453125,90
4.6484375,98
4.65234375,105
4.65625,108
4.66015625,108
4.6640625,103
4.66796875,94
4.671875,83
4.67578125,68
4.6796875,54
4.68359375,45
4.6875,43
4.69140625,46
4.6953125,51
4.69921875,56
4.703125,61
4.70703125,67
4.7109375,75
4.71484375,85
4.71875,94
4.72265625,100
4.7265625,97
4.73046875,88
4.734375,77
4.73828125,69
4.7421875,66
4.74609375,69
4.75,74
4.75390625,79
4.7578125,80
4.76171875,79
4.765625,77
4.76953125,78
4.7734375,81
4.77734375,84
4.78125,85
4.78515625,85
4.7890625,86
4.79296875,93
4.796875,107
4.80078125,126
4.8046875,144
4.80859375,154
4.8125,156
4.81640625,153
4.8203125,148
4.82421875,149
4.828125,155
4.83203125,165
4.8359375,173
4.83984375,176
4.84375,174
4.84765625,170
4.8515625,164
4.85546875,157
4.859375,151
4.86328125,145
4.8671875,139
4.87109375,133
4.875,127
4.87890625,122
4.8828125,120
4.88671875,123
4.890625,132
4.89453125,141
4.8984375,148
4.90234375,153
4.90625,155
4.91015625,154
4.9140625,153
4.91796875,155
4.921875,155
4.92578125,151
4.9296875,141
4.93359375,129
4.9375,116
4.94140625,103
4.9453125,93
4.94921875,88
4.953125,86
4.95703125,87
4.9609375,92
4.96484375,101
4.96875,114
4.97265625,128
4.9765625,140
4.98046875,148
4.984375,150
4.98828125,144
4.9921875,134
4.99609375,124
5.0,118
5.00390625,117
5.0078125,118
5.01171875,120
5.015625,118
5.01953125,113
5.0234375,106
5.02734375,99
5.03125,94
5.03515625,95
5.0390625,101
5.04296875,111
5.046875,120
5.05078125,125
5.0546875,125
5.05859375,121
5.0625,114
5.06640625,109
5.0703125,108
5.07421875,111
5.078125,116
5.08203125,119
5.0859375,119
5.08984375,116
5.09375,111
5.09765625,108
5.1015625,107
5.10546875,110
5.109375,115
5.11328125,118
5.1171875,115
5.12109375,106
5.125,95
5.12890625,84
5.1328125,77
5.13671875,75
5.140625,75
5.14453125,75
5.1484375,75
5.15234375,73
5.15625,70
5.16015625,67
5.1640625,64
5.16796875,62
5.171875,62
5.17578125,63
5.1796875,65
5.18359375,68
5.1875,74
5.19140625,86
5.1953125,101
5.19921875,117
5.203125,129
5.20703125,135
5.2109375,132
5.21484375,123
5.21875,112
5.22265625,102
5.2265625,99
5.23046875,102
5.234375,107
5.23828125,112
5.2421875,113
5.24609375,109
5.25,96
5.25390625,78
5.2578125,61
5.26171875,49
5.265625,43
5.26953125,42
5.2734375,45
5.27734375,51
5.28125,56
5.28515625,60
5.2890625,63
5.29296875,64
5.296875,64
5.30078125,64
5.3046875,63
5.30859375,63
5.3125,62
5.31640625,59
5.3203125,54
5.32421875,45
5.328125,34
5.33203125,22
5.3359375,12
5.33984375,7
5.34375,10
5.34765625,16
5.3515625,19
5.35546875,19
5.359375,17
5.36328125,15
5.3671875,17
5.37109375,22
5.375,31
5.37890625,39
5.3828125,44
5.38671875,45
5.390625,45
5.39453125,46
5.3984375,48
5.40234375,45
5.40625,39
5.41015625,31
5.4140625,23
5.41796875,14
5.421875,10
5.42578125,12
5.4296875,19
5.43359375,26
5.4375,30
5.44140625,31
5.4453125,32
5.44921875,31
5.453125,31
5.45703125,36
5.4609375,42
5.46484375,44
5.46875,39
5.47265625,30
5.4765625,19
5.48046875,9
5.484375,0
5.48828125,-4
5.4921875,-4
5.49609375,0
5.5,5
5.50390625,10
5.5078125,8
5.51171875,-2
5.515625,-16
5.51953125,-28
5.5234375,-32
5.52734375,-28
5.53125,-17
5.53515625,-7
5.5390625,-1
5.54296875,1
5.546875,4
5.55078125,9
5.5546875,12
5.55859375,11
5.5625,4
5.56640625,-6
5.5703125,-14
5.57421875,-19
5.578125,-22
5.58203125,-23
5.5859375,-27
5.58984375,-35
5.59375,-47
5.59765625,-57
5.6015625,-65
5.60546875,-70
5.609375,-72
5.61328125,-72
5.6171875,-69
5.62109375,-62
5.625,-54
5.62890625,-45
5.6328125,-36
5.63671875,-26
5.640625,-18
5.64453125,-11
5.6484375,-5
5.65234375,-1
5.65625,2
5.66015625,1
5.6640625,-4
5.66796875,-11
5.671875,-18
5.67578125,-26
5.6796875,-35
5.68359375,-42
5.6875,-48
5.69140625,-54
5.6953125,-57
5.69921875,-55
5.703125,-50
5.70703125,-45
5.7109375,-42
5.71484375,-42
5.71875,-43
5.72265625,-45
5.7265625,-46
5.73046875,-48
5.734375,-51
5.73828125,-55
5.7421875,-60
5.74609375,-62
5.75,-59
5.75390625,-54
5.7578125,-52
5.76171875,-55
5.765625,-62
5.76953125,-70
5.7734375,-75
5.77734375,-76
5.78125,-73
5.78515625,-69
5.7890625,-68
5.79296875,-72
5.796875,-78
5.80078125,-82
5.8046875,-82
5.80859375,-78
5.8125,-72
5.81640625,-67
5.8203125,-64
5.82421875,-64
5.828125,-64
5.83203125,-62
5.8359375,-60
5.83984375,-58
5.84375,-59
5.84765625,-63
5.8515625,-71
5.85546875,-80
5.859375,-88
5.86328125,-93
5.8671875,-95
5.87109375,-96
5.875,-98
5.87890625,-100
5.8828125,-100
5.88671875,-99
5.890625,-95
5.89453125,-88
5.8984375,-80
5.90234375,-74
5.90625,-73
5.91015625,-75
5.9140625,-78
5.91796875,-77
5.921875,-73
5.92578125,-64
5.9296875,-56
5.93359375,-51
5.9375,-51
5.94140625,-57
5.9453125,-65
5.94921875,-72
5.953125,-77
5.95703125,-80
5.9609375,-83
