Time,P4
0.0,-79
0.00390625,-70
0.0078125,-59
0.01171875,-56
0.015625,-65
0.01953125,-79
0.0234375,-95
0.02734375,-111
0.03125,-123
0.03515625,-130
0.0390625,-133
0.04296875,-134
0.046875,-135
0.05078125,-131
0.0546875,-120
0.05859375,-105
0.0625,-88
0.06640625,-69
0.0703125,-45
0.07421875,-21
0.078125,-2
0.08203125,7
0.0859375,6
0.08984375,-2
0.09375,-13
0.09765625,-23
0.1015625,-33
0.10546875,-43
0.109375,-53
0.11328125,-68
0.1171875,-84
0.12109375,-99
0.125,-111
0.12890625,-116
0.1328125,-114
0.13671875,-103
0.140625,-85
0.14453125,-63
0.1484375,-43
0.15234375,-31
0.15625,-32
0.16015625,-43
0.1640625,-55
0.16796875,-61
0.171875,-58
0.17578125,-48
0.1796875,-35
0.18359375,-20
0.1875,-9
0.19140625,-4
0.1953125,-7
0.19921875,-21
0.203125,-50
0.20703125,-84
0.2109375,-111
0.21484375,-125
0.21875,-126
0.22265625,-116
0.2265625,-104
0.23046875,-94
0.234375,-87
0.23828125,-75
0.2421875,-55
0.24609375,-31
0.25,-6
0.25390625,17
0.2578125,36
0.26171875,49
0.265625,54
0.26953125,56
0.2734375,57
0.27734375,58
0.28125,59
0.28515625,59
0.2890625,60
0.29296875,59
0.296875,52
0.30078125,42
0.3046875,32
0.30859375,27
0.3125,21
0.31640625,15
0.3203125,16
0.32421875,25
0.328125,40
0.33203125,56
0.3359375,68
0.33984375,71
0.34375,61
0.34765625,42
0.3515625,25
0.35546875,15
0.359375,14
0.36328125,22
0.3671875,32
0.37109375,37
0.375,35
0.37890625,26
0.3828125,14
0.38671875,0
0.390625,-13
0.39453125,-22
0.3984375,-26
0.40234375,-30
0.40625,-33
0.41015625,-32
0.4140625,-26
0.41796875,-18
0.421875,-8
0.42578125,2
0.4296875,13
0.43359375,24
0.4375,35
0.44140625,44
0.4453125,51
0.44921875,58
0.453125,64
0.45703125,68
0.4609375,70
0.46484375,69
0.46875,64
0.47265625,56
0.4765625,45
0.48046875,31
0.484375,19
0.48828125,18
0.4921875,30
0.49609375,45
0.5,57
0.50390625,68
0.5078125,78
0.51171875,86
0.515625,91
0.51953125,102
0.5234375,121
0.52734375,140
0.53125,150
0.53515625,152
0.5390625,150
0.54296875,145
0.546875,134
0.55078125,117
0.5546875,99
0.55859375,81
0.5625,62
0.56640625,39
0.5703125,11
0.57421875,-17
0.578125,-36
0.58203125,-42
0.5859375,-35
0.58984375,-21
0.59375,-6
0.59765625,4
0.6015625,11
0.60546875,17
0.609375,23
0.61328125,27
0.6171875,25
0.62109375,15
0.625,-3
0.62890625,-19
0.6328125,-21
0.63671875,-6
0.640625,11
0.64453125,18
0.6484375,13
0.65234375,0
0.65625,-17
0.66015625,-31
0.6640625,-35
0.66796875,-25
0.671875,-8
0.67578125,5
0.6796875,11
0.68359375,16
0.6875,22
0.69140625,27
0.6953125,31
0.69921875,41
0.703125,57
0.70703125,75
0.7109375,90
0.71484375,98
0.71875,97
0.72265625,84
0.7265625,62
0.73046875,36
0.734375,9
0.73828125,-16
0.7421875,-38
0.74609375,-58
0.75,-75
0.75390625,-86
0.7578125,-90
0.76171875,-86
0.765625,-74
0.76953125,-54
0.7734375,-25
0.77734375,9
