Time,P4
0.0,9
0.00390625,9
0.0078125,10
0.01171875,17
0.015625,30
0.01953125,44
0.0234375,60
0.02734375,78
0.03125,91
0.03515625,89
0.0390625,75
0.04296875,58
0.046875,44
0.05078125,34
0.0546875,36
0.05859375,49
0.0625,66
0.06640625,76
0.0703125,72
0.07421875,56
0.078125,38
0.08203125,28
0.0859375,28
0.08984375,36
0.09375,44
0.09765625,47
0.1015625,46
0.10546875,47
0.109375,54
0.11328125,63
0.1171875,70
0.12109375,71
0.125,64
0.12890625,51
0.1328125,38
0.13671875,34
0.140625,38
0.14453125,44
0.1484375,48
0.15234375,53
0.15625,62
0.16015625,72
0.1640625,82
0.16796875,88
0.171875,90
0.17578125,87
0.1796875,76
0.18359375,62
0.1875,52
0.19140625,49
0.1953125,51
0.19921875,56
0.203125,61
0.20703125,63
0.2109375,58
0.21484375,49
0.21875,39
0.22265625,31
0.2265625,31
0.23046875,40
0.234375,52
0.23828125,59
0.2421875,56
0.24609375,45
0.25,29
0.25390625,13
0.2578125,5
0.26171875,8
0.265625,22
0.26953125,38
0.2734375,56
0.27734375,72
0.28125,84
0.28515625,89
0.2890625,89
0.29296875,82
0.296875,71
0.30078125,62
0.3046875,59
0.30859375,57
0.3125,58
0.31640625,63
0.3203125,70
0.32421875,72
0.328125,64
0.33203125,49
0.3359375,29
0.33984375,5
0.34375,-16
0.34765625,-27
0.3515625,-26
0.35546875,-19
0.359375,-11
0.36328125,-5
0.3671875,-4
0.37109375,-7
0.375,-14
0.37890625,-28
0.3828125,-47
0.38671875,-65
0.390625,-73
0.39453125,-71
0.3984375,-60
0.40234375,-40
0.40625,-16
0.41015625,2
0.4140625,9
0.41796875,6
0.421875,-1
0.42578125,-11
0.4296875,-21
0.43359375,-30
0.4375,-35
0.44140625,-36
0.4453125,-33
0.44921875,-31
0.453125,-32
0.45703125,-37
0.4609375,-42
0.46484375,-44
0.46875,-46
0.47265625,-46
0.4765625,-42
0.48046875,-36
0.484375,-35
0.48828125,-38
0.4921875,-40
0.49609375,-37
0.5,-31
0.50390625,-22
0.5078125,-13
0.51171875,-10
0.515625,-16
0.51953125,-25
0.5234375,-31
0.52734375,-31
0.53125,-27
0.53515625,-18
0.5390625,-14
0.54296875,-23
0.546875,-42
0.55078125,-59
0.5546875,-62
0.55859375,-55
0.5625,-41
0.56640625,-25
0.5703125,-9
0.57421875,0
0.578125,-4
0.58203125,-18
0.5859375,-34
0.58984375,-48
0.59375,-57
0.59765625,-61
0.6015625,-55
0.60546875,-41
0.609375,-24
0.61328125,-14
0.6171875,-14
0.62109375,-19
0.625,-25
0.62890625,-32
0.6328125,-37
0.63671875,-37
0.640625,-36
0.64453125,-39
0.6484375,-43
0.65234375,-41
0.65625,-32
0.66015625,-18
0.6640625,-5
0.66796875,3
0.671875,-1
0.67578125,-15
0.6796875,-32
0.68359375,-41
0.6875,-41
0.69140625,-35
0.6953125,-27
0.69921875,-19
0.703125,-15
0.70703125,-19
0.7109375,-38
0.71484375,-67
0.71875,-95
0.72265625,-115
0.7265625,-123
0.73046875,-115
0.734375,-89
0.73828125,-57
0.7421875,-30
0.74609375,-12
0.75,-1
0.75390625,3
0.7578125,3
0.76171875,5
0.765625,10
0.76953125,19
0.7734375,26
0.77734375,25
0.78125,17
0.78515625,6
0.7890625,-3
0.79296875,-10
0.796875,-15
0.80078125,-20
0.8046875,-20
0.80859375,-16
0.8125,-7
0.81640625,6
0.8203125,19
0.82421875,24
0.828125,15
0.83203125,-5
0.8359375,-23
0.83984375,-30
0.84375,-27
0.84765625,-21
0.8515625,-17
0.85546875,-16
0.859375,-16
0.86328125,-16
0.8671875,-9
0.87109375,8
0.875,26
0.87890625,34
0.8828125,32
0.88671875,24
0.890625,17
0.89453125,10
0.8984375,4
0.90234375,-4
0.90625,-17
0.91015625,-36
0.9140625,-57
0.91796875,-68
0.921875,-65
0.92578125,-57
0.9296875,-51
0.93359375,-51
0.9375,-50
0.94140625,-44
0.9453125,-29
0.94921875,-6
0.953125,19
0.95703125,33
0.9609375,28
0.96484375,13
0.96875,8
0.97265625,18
0.9765625,37
0.98046875,54
0.984375,62
0.98828125,54
0.9921875,29
0.99609375,1
1.0,-19
1.00390625,-30
1.0078125,-37
1.01171875,-44
1.015625,-49
1.01953125,-49
1.0234375,-46
1.02734375,-39
1.03125,-31
1.03515625,-22
1.0390625,-19
1.04296875,-21
1.046875,-23
1.05078125,-18
1.0546875,-7
1.05859375,7
1.0625,19
1.06640625,25
1.0703125,24
1.07421875,16
1.078125,6
1.08203125,0
1.0859375,2
1.08984375,7
1.09375,9
1.09765625,7
1.1015625,4
1.10546875,3
1.109375,7
1.11328125,17
1.1171875,28
1.12109375,36
1.125,37
1.12890625,33
1.1328125,28
1.13671875,21
1.140625,13
1.14453125,3
1.1484375,-7
1.15234375,-12
1.15625,-7
1.16015625,11
1.1640625,37
1.16796875,56
1.171875,60
1.17578125,50
1.1796875,31
1.18359375,10
1.1875,-6
1.19140625,-9
1.1953125,-2
1.19921875,7
1.203125,11
1.20703125,10
1.2109375,4
1.21484375,-5
1.21875,-14
1.22265625,-15
1.2265625,-9
1.23046875,0
1.234375,5
1.23828125,1
1.2421875,-14
1.24609375,-39
1.25,-65
1.25390625,-82
1.2578125,-84
1.26171875,-71
1.265625,-49
1.26953125,-27
1.2734375,-10
1.27734375,1
1.28125,4
1.28515625,0
1.2890625,-12
1.29296875,-25
1.296875,-33
1.30078125,-31
1.3046875,-18
1.30859375,5
1.3125,25
1.31640625,31
1.3203125,20
1.32421875,1
1.328125,-14
1.33203125,-18
1.3359375,-13
1.33984375,-2
1.34375,9
1.34765625,17
1.3515625,20
1.35546875,20
1.359375,17
1.36328125,12
1.3671875,6
1.37109375,3
1.375,9
1.37890625,22
1.3828125,36
1.38671875,41
1.390625,36
1.39453125,22
1.3984375,7
1.40234375,0
1.40625,4
1.41015625,17
1.4140625,28
1.41796875,30
1.421875,23
1.42578125,8
1.4296875,-8
1.43359375,-19
1.4375,-20
1.44140625,-16
1.4453125,-11
1.44921875,-6
1.453125,1
1.45703125,10
1.4609375,21
1.46484375,33
1.46875,46
1.47265625,58
1.4765625,68
1.48046875,77
1.484375,84
1.48828125,90
1.4921875,93
1.49609375,90
1.5,79
1.50390625,64
1.5078125,46
1.51171875,27
1.515625,13
1.51953125,9
1.5234375,15
1.52734375,24
1.53125,28
1.53515625,23
1.5390625,8
1.54296875,-9
1.546875,-18
1.55078125,-13
1.5546875,5
1.55859375,30
1.5625,53
1.56640625,63
1.5703125,57
1.57421875,41
1.578125,22
1.58203125,9
1.5859375,9
1.58984375,20
1.59375,32
1.59765625,35
1.6015625,25
1.60546875,7
1.609375,-10
1.61328125,-18
1.6171875,-17
