Time,P4
0.0,31
0.00390625,22
0.0078125,15
0.01171875,12
0.015625,10
0.01953125,10
0.0234375,14
0.02734375,25
0.03125,36
0.03515625,43
0.0390625,45
0.04296875,40
0.046875,25
0.05078125,5
0.0546875,-12
0.05859375,-21
0.0625,-25
0.06640625,-27
0.0703125,-27
0.07421875,-24
0.078125,-20
0.08203125,-14
0.0859375,-8
0.08984375,-3
0.09375,-1
0.09765625,-4
0.1015625,-7
0.10546875,-5
0.109375,6
0.11328125,21
0.1171875,33
0.12109375,39
0.125,41
0.12890625,37
0.1328125,24
0.13671875,6
0.140625,-12
0.14453125,-24
0.1484375,-30
0.15234375,-27
0.15625,-15
0.16015625,4
0.1640625,20
0.16796875,26
0.171875,22
0.17578125,14
0.1796875,3
0.18359375,-12
0.1875,-27
0.19140625,-36
0.1953125,-36
0.19921875,-29
0.203125,-14
0.20703125,1
0.2109375,9
0.21484375,11
0.21875,11
0.22265625,11
0.2265625,11
0.23046875,10
0.234375,6
0.23828125,-2
0.2421875,-11
0.24609375,-14
0.25,-6
0.25390625,11
0.2578125,29
0.26171875,41
0.265625,46
0.26953125,48
0.2734375,51
0.27734375,52
0.28125,55
0.28515625,55
0.2890625,51
0.29296875,45
0.296875,39
0.30078125,34
0.3046875,27
0.30859375,19
0.3125,10
0.31640625,1
0.3203125,-11
0.32421875,-22
0.328125,-29
0.33203125,-31
0.3359375,-25
0.33984375,-11
0.34375,4
0.34765625,15
0.3515625,20
0.35546875,20
0.359375,20
0.36328125,25
0.3671875,40
0.37109375,59
0.375,71
0.37890625,75
0.3828125,74
0.38671875,67
0.390625,56
0.39453125,42
0.3984375,29
0.40234375,18
0.40625,9
0.41015625,1
0.4140625,-7
0.41796875,-16
0.421875,-26
0.42578125,-32
0.4296875,-29
0.43359375,-21
0.4375,-9
0.44140625,2
0.4453125,10
0.44921875,13
0.453125,14
0.45703125,13
0.4609375,9
0.46484375,-2
0.46875,-17
0.47265625,-35
0.4765625,-52
0.48046875,-61
0.484375,-59
0.48828125,-50
0.4921875,-38
0.49609375,-23
0.5,-7
0.50390625,3
0.5078125,5
0.51171875,8
0.515625,19
0.51953125,38
0.5234375,60
0.52734375,81
0.53125,91
0.53515625,88
0.5390625,70
0.54296875,44
0.546875,21
0.55078125,8
0.5546875,9
0.55859375,19
0.5625,29
0.56640625,32
0.5703125,25
0.57421875,6
0.578125,-18
0.58203125,-38
0.5859375,-48
0.58984375,-47
0.59375,-40
0.59765625,-29
0.6015625,-13
0.60546875,10
0.609375,33
0.61328125,50
0.6171875,51
0.62109375,36
0.625,9
0.62890625,-16
0.6328125,-28
0.63671875,-25
0.640625,-11
0.64453125,6
0.6484375,18
0.65234375,23
0.65625,22
0.66015625,20
0.6640625,16
0.66796875,9
0.671875,1
0.67578125,-8
0.6796875,-17
0.68359375,-25
0.6875,-30
0.69140625,-28
0.6953125,-18
0.69921875,1
0.703125,27
0.70703125,53
0.7109375,77
0.71484375,93
0.71875,92
0.72265625,74
0.7265625,47
0.73046875,17
0.734375,-10
0.73828125,-28
0.7421875,-32
0.74609375,-27
0.75,-22
0.75390625,-22
0.7578125,-28
0.76171875,-36
0.765625,-42
0.76953125,-47
0.7734375,-47
0.77734375,-41
0.78125,-30
0.78515625,-17
0.7890625,-6
0.79296875,-3
0.796875,-7
0.80078125,-15
0.8046875,-23
0.80859375,-26
0.8125,-26
0.81640625,-25
0.8203125,-25
0.82421875,-30
0.828125,-38
0.83203125,-49
0.8359375,-58
0.83984375,-66
0.84375,-70
0.84765625,-63
0.8515625,-46
0.85546875,-25
0.859375,-9
0.86328125,-3
0.8671875,-7
0.87109375,-19
0.875,-28
0.87890625,-24
0.8828125,-10
0.88671875,2
0.890625,12
0.89453125,21
0.8984375,28
0.90234375,34
0.90625,39
0.91015625,42
0.9140625,40
0.91796875,34
0.921875,27
0.92578125,27
0.9296875,33
0.93359375,41
0.9375,44
0.94140625,39
0.9453125,27
0.94921875,6
0.953125,-20
0.95703125,-43
0.9609375,-54
0.96484375,-50
0.96875,-33
0.97265625,-6
0.9765625,22
0.98046875,40
0.984375,45
0.98828125,42
0.9921875,39
0.99609375,36
1.0,38
1.00390625,45
1.0078125,53
1.01171875,61
1.015625,67
1.01953125,72
1.0234375,73
1.02734375,71
1.03125,70
1.03515625,70
1.0390625,71
1.04296875,70
1.046875,66
1.05078125,60
1.0546875,54
1.05859375,51
1.0625,53
1.06640625,56
1.0703125,54
1.07421875,45
1.078125,32
1.08203125,21
1.0859375,12
1.08984375,6
1.09375,3
1.09765625,4
1.1015625,4
1.10546875,1
1.109375,-11
1.11328125,-32
1.1171875,-61
1.12109375,-89
1.125,-106
1.12890625,-102
1.1328125,-80
1.13671875,-48
1.140625,-22
1.14453125,-13
1.1484375,-21
1.15234375,-37
1.15625,-50
1.16015625,-57
1.1640625,-57
1.16796875,-50
1.171875,-39
1.17578125,-27
1.1796875,-17
1.18359375,-11
1.1875,-12
1.19140625,-18
1.1953125,-21
1.19921875,-16
1.203125,-3
1.20703125,15
1.2109375,36
1.21484375,52
1.21875,59
1.22265625,57
1.2265625,54
1.23046875,53
1.234375,55
1.23828125,61
1.2421875,71
1.24609375,86
1.25,103
1.25390625,112
1.2578125,105
1.26171875,87
1.265625,66
1.26953125,48
1.2734375,29
1.27734375,9
1.28125,-9
1.28515625,-27
1.2890625,-43
1.29296875,-52
1.296875,-48
1.30078125,-38
1.3046875,-35
1.30859375,-44
1.3125,-57
1.31640625,-63
1.3203125,-53
1.32421875,-26
1.328125,9
1.33203125,36
1.3359375,47
1.33984375,39
1.34375,19
1.34765625,-5
1.3515625,-21
1.35546875,-26
1.359375,-23
1.36328125,-19
1.3671875,-18
1.37109375,-23
1.375,-33
1.37890625,-43
1.3828125,-51
1.38671875,-51
1.390625,-41
1.39453125,-24
1.3984375,-6
1.40234375,6
1.40625,12
1.41015625,14
1.4140625,9
1.41796875,2
1.421875,1
1.42578125,11
1.4296875,28
1.43359375,45
1.4375,58
1.44140625,65
1.4453125,63
1.44921875,58
1.453125,52
1.45703125,49
1.4609375,44
1.46484375,35
1.46875,22
1.47265625,10
1.4765625,-3
1.48046875,-17
1.484375,-28
1.48828125,-32
1.4921875,-27
1.49609375,-13
1.5,10
1.50390625,33
1.5078125,50
1.51171875,56
1.515625,55
1.51953125,53
1.5234375,52
1.52734375,49
1.53125,39
1.53515625,23
1.5390625,6
1.54296875,-8
1.546875,-14
1.55078125,-13
1.5546875,-9
1.55859375,-9
1.5625,-13
1.56640625,-17
1.5703125,-16
1.57421875,-9
1.578125,4
1.58203125,18
1.5859375,28
1.58984375,34
1.59375,35
1.59765625,36
1.6015625,38
1.60546875,44
1.609375,51
1.61328125,57
1.6171875,61
1.62109375,60
1.625,59
1.62890625,57
1.6328125,52
1.63671875,43
1.640625,29
1.64453125,10
1.6484375,-13
1.65234375,-35
1.65625,-54
1.66015625,-71
1.6640625,-87
1.66796875,-100
1.671875,-107
1.67578125,-101
1.6796875,-79
1.68359375,-48
1.6875,-17
1.69140625,7
1.6953125,23
1.69921875,30
1.703125,34
1.70703125,39
1.7109375,43
1.71484375,38
1.71875,15
1.72265625,-23
1.7265625,-69
1.73046875,-114
1.734375,-150
1.73828125,-168
1.7421875,-169
1.74609375,-158
1.75,-141
1.75390625,-117
1.7578125,-89
1.76171875,-60
1.765625,-30
1.76953125,-1
1.7734375,23
1.77734375,36
1.78125,40
1.78515625,39
1.7890625,39
1.79296875,45
1.796875,61
1.80078125,77
1.8046875,84
1.80859375,72
1.8125,40
1.81640625,-2
1.8203125,-40
1.82421875,-63
1.828125,-66
1.83203125,-52
1.8359375,-32
1.83984375,-19
1.84375,-16
1.84765625,-19
1.8515625,-21
1.85546875,-19
1.859375,-9
1.86328125,10
1.8671875,33
1.87109375,49
1.875,53
1.87890625,47
1.8828125,36
1.88671875,25
1.890625,13
1.89453125,0
1.8984375,-8
1.90234375,-12
1.90625,-20
1.91015625,-37
1.9140625,-54
1.91796875,-63
1.921875,-62
1.92578125,-53
1.9296875,-32
1.93359375,-4
1.9375,20
1.94140625,31
1.9453125,32
1.94921875,36
1.953125,51
1.95703125,70
1.9609375,80
1.96484375,78
1.96875,66
1.97265625,44
1.9765625,14
1.98046875,-14
1.984375,-31
1.98828125,-42
1.9921875,-52
1.99609375,-61
2.0,-65
2.00390625,-66
2.0078125,-61
2.01171875,-48
2.015625,-27
2.01953125,-2
2.0234375,17
2.02734375,25
2.03125,22
2.03515625,15
2.0390625,10
2.04296875,11
2.046875,19
2.05078125,29
2.0546875,39
2.05859375,46
2.0625,50
2.06640625,50
2.0703125,45
2.07421875,34
2.078125,21
2.08203125,7
2.0859375,-7
2.08984375,-19
2.09375,-26
2.09765625,-26
2.1015625,-21
2.10546875,-11
2.109375,2
2.11328125,15
2.1171875,23
2.12109375,26
2.125,25
2.12890625,26
2.1328125,28
2.13671875,28
2.140625,28
2.14453125,31
2.1484375,33
2.15234375,29
2.15625,22
2.16015625,15
2.1640625,7
2.16796875,0
2.171875,-7
2.17578125,-18
2.1796875,-36
2.18359375,-63
2.1875,-85
2.19140625,-95
2.1953125,-91
2.19921875,-75
2.203125,-53
2.20703125,-29
2.2109375,-12
2.21484375,-3
2.21875,3
2.22265625,12
2.2265625,22
2.23046875,33
2.234375,45
2.23828125,55
2.2421875,57
2.24609375,47
2.25,29
2.25390625,10
2.2578125,-2
2.26171875,-5
2.265625,-2
2.26953125,2
2.2734375,0
2.27734375,-8
2.28125,-18
2.28515625,-20
2.2890625,-9
2.29296875,15
2.296875,43
2.30078125,64
2.3046875,74
2.30859375,72
2.3125,64
2.31640625,56
2.3203125,51
2.32421875,49
2.328125,49
2.33203125,47
2.3359375,41
2.33984375,33
2.34375,27
2.34765625,23
2.3515625,25
2.35546875,30
2.359375,41
2.36328125,56
2.3671875,66
2.37109375,65
2.375,57
2.37890625,48
2.3828125,44
2.38671875,46
2.390625,54
2.39453125,59
2.3984375,54
2.40234375,36
2.40625,18
2.41015625,10
2.4140625,15
2.41796875,26
2.421875,34
2.42578125,36
2.4296875,29
2.43359375,14
2.4375,-4
2.44140625,-21
2.4453125,-39
2.44921875,-58
2.453125,-76
2.45703125,-87
2.4609375,-90
2.46484375,-82
2.46875,-69
2.47265625,-52
2.4765625,-33
2.48046875,-17
2.484375,-6
2.48828125,-3
2.4921875,-5
2.49609375,-9
2.5,-12
2.50390625,-11
2.5078125,-7
2.51171875,-9
2.515625,-19
2.51953125,-35
2.5234375,-51
2.52734375,-63
2.53125,-67
2.53515625,-62
2.5390625,-55
2.54296875,-49
2.546875,-46
2.55078125,-44
2.5546875,-40
2.55859375,-31
2.5625,-15
2.56640625,6
2.5703125,25
2.57421875,38
2.578125,42
2.58203125,32
2.5859375,14
2.58984375,-5
2.59375,-16
2.59765625,-20
2.6015625,-21
2.60546875,-23
2.609375,-29
2.61328125,-40
2.6171875,-51
2.62109375,-53
2.625,-42
2.62890625,-23
2.6328125,-5
2.63671875,8
2.640625,15
2.64453125,15
2.6484375,11
2.65234375,9
2.65625,11
2.66015625,13
2.6640625,10
2.66796875,2
2.671875,-5
2.67578125,-8
2.6796875,-7
2.68359375,-1
2.6875,4
2.69140625,-1
2.6953125,-20
2.69921875,-41
2.703125,-53
2.70703125,-52
2.7109375,-39
2.71484375,-19
2.71875,-5
2.72265625,-8
2.7265625,-24
2.73046875,-39
2.734375,-41
2.73828125,-27
2.7421875,0
2.74609375,30
2.75,51
2.75390625,58
2.7578125,55
2.76171875,44
2.765625,29
2.76953125,16
2.7734375,8
2.77734375,2
2.78125,-2
2.78515625,-5
2.7890625,-9
2.79296875,-12
2.796875,-11
2.80078125,-3
2.8046875,14
2.80859375,37
2.8125,57
2.81640625,66
2.8203125,61
2.82421875,51
2.828125,46
2.83203125,50
2.8359375,60
2.83984375,73
2.84375,84
2.84765625,83
2.8515625,70
2.85546875,54
2.859375,44
2.86328125,41
2.8671875,44
2.87109375,52
2.875,61
2.87890625,67
2.8828125,66
2.88671875,57
2.890625,43
2.89453125,28
2.8984375,16
2.90234375,9
2.90625,5
2.91015625,5
2.9140625,6
2.91796875,8
2.921875,14
2.92578125,26
2.9296875,42
2.93359375,59
2.9375,74
2.94140625,82
2.9453125,84
