Time,FP1
0.0,-79
0.00390625,-77
0.0078125,-74
0.01171875,-68
0.015625,-58
0.01953125,-45
0.0234375,-33
0.02734375,-26
0.03125,-24
0.03515625,-26
0.0390625,-30
0.04296875,-30
0.046875,-25
0.05078125,-16
0.0546875,-4
0.05859375,5
0.0625,7
0.06640625,1
0.0703125,-6
0.07421875,-5
0.078125,3
0.08203125,15
0.0859375,28
0.08984375,34
0.09375,32
0.09765625,24
0.1015625,12
0.10546875,-4
0.109375,-25
0.11328125,-48
0.1171875,-67
0.12109375,-76
0.125,-73
0.12890625,-59
0.1328125,-41
0.13671875,-28
0.140625,-21
0.14453125,-14
0.1484375,-3
0.15234375,9
0.15625,20
0.16015625,30
0.1640625,40
0.16796875,49
0.171875,57
0.17578125,64
0.1796875,72
0.18359375,83
0.1875,94
0.19140625,102
0.1953125,106
0.19921875,112
0.203125,118
0.20703125,120
0.2109375,120
0.21484375,120
0.21875,114
0.22265625,104
0.2265625,96
0.23046875,99
0.234375,111
0.23828125,124
0.2421875,131
0.24609375,126
0.25,110
0.25390625,90
0.2578125,75
0.26171875,68
0.265625,65
0.26953125,64
0.2734375,61
0.27734375,54
0.28125,40
0.28515625,24
0.2890625,14
0.29296875,11
0.296875,11
0.30078125,11
0.3046875,9
0.30859375,4
0.3125,-6
0.31640625,-18
0.3203125,-26
0.32421875,-27
0.328125,-24
0.33203125,-24
0.3359375,-27
0.33984375,-27
0.34375,-20
0.34765625,-7
0.3515625,7
0.35546875,19
0.359375,21
0.36328125,7
0.3671875,-20
0.37109375,-50
0.375,-75
0.37890625,-88
0.3828125,-90
0.38671875,-90
0.390625,-95
0.39453125,-102
0.3984375,-105
0.40234375,-99
0.40625,-84
0.41015625,-61
0.4140625,-36
0.41796875,-18
0.421875,-13
0.42578125,-21
0.4296875,-38
0.43359375,-59
0.4375,-78
0.44140625,-90
0.4453125,-88
0.44921875,-72
0.453125,-49
0.45703125,-31
0.4609375,-23
0.46484375,-24
0.46875,-33
0.47265625,-46
0.4765625,-56
0.48046875,-62
0.484375,-68
0.48828125,-70
0.4921875,-63
0.49609375,-45
0.5,-22
0.50390625,0
0.5078125,15
0.51171875,22
0.515625,21
0.51953125,18
0.5234375,19
0.52734375,24
0.53125,26
0.53515625,17
0.5390625,-4
0.54296875,-29
0.546875,-50
0.55078125,-64
0.5546875,-68
0.55859375,-62
0.5625,-53
0.56640625,-53
0.5703125,-59
0.57421875,-63
0.578125,-62
0.58203125,-57
0.5859375,-47
