Time,FP1
1.51171875,16
1.515625,0
1.51953125,-10
1.5234375,-9
1.52734375,-1
1.53125,7
1.53515625,12
1.5390625,11
1.54296875,9
1.546875,7
1.55078125,8
1.5546875,13
1.55859375,21
1.5625,30
1.56640625,35
1.5703125,34
1.57421875,29
1.578125,22
1.58203125,14
1.5859375,8
1.58984375,5
1.59375,4
1.59765625,2
1.6015625,-4
1.60546875,-12
1.609375,-21
1.61328125,-28
1.6171875,-31
1.62109375,-27
1.625,-19
1.62890625,-7
1.6328125,4
1.63671875,9
1.640625,9
1.64453125,5
1.6484375,5
1.65234375,10
1.65625,20
1.66015625,32
1.6640625,37
1.66796875,30
1.671875,16
1.67578125,4
1.6796875,1
1.68359375,4
1.6875,5
1.69140625,-1
1.6953125,-14
1.69921875,-30
1.703125,-42
1.70703125,-44
1.7109375,-34
1.71484375,-21
1.71875,-11
1.72265625,-5
1.7265625,0
1.73046875,7
1.734375,14
1.73828125,19
1.7421875,19
1.74609375,17
1.75,13
1.75390625,7
1.7578125,0
1.76171875,-5
1.765625,-6
1.76953125,-8
1.7734375,-9
1.77734375,-10
1.78125,-11
1.78515625,-14
1.7890625,-19
1.79296875,-21
1.796875,-19
1.80078125,-15
1.8046875,-13
1.80859375,-14
1.8125,-17
1.81640625,-23
1.8203125,-28
1.82421875,-27
1.828125,-19
1.83203125,-7
1.8359375,2
1.83984375,5
1.84375,4
1.84765625,3
1.8515625,5
1.85546875,5
1.859375,3
1.86328125,-2
1.8671875,-14
1.87109375,-30
1.875,-43
1.87890625,-47
1.8828125,-42
1.88671875,-36
1.890625,-34
1.89453125,-36
1.8984375,-35
1.90234375,-28
1.90625,-19
1.91015625,-9
1.9140625,-1
1.91796875,4
1.921875,3
1.92578125,3
1.9296875,14
1.93359375,37
1.9375,61
1.94140625,75
1.9453125,79
1.94921875,76
1.953125,66
1.95703125,54
1.9609375,43
1.96484375,36
1.96875,28
1.97265625,17
1.9765625,8
1.98046875,5
1.984375,9
1.98828125,15
1.9921875,21
1.99609375,25
2.0,26
2.00390625,24
2.0078125,20
2.01171875,15
2.015625,7
2.01953125,-3
2.0234375,-14
2.02734375,-23
2.03125,-28
2.03515625,-31
2.0390625,-30
2.04296875,-26
2.046875,-23
2.05078125,-27
2.0546875,-36
2.05859375,-44
2.0625,-50
2.06640625,-54
2.0703125,-53
2.07421875,-43
2.078125,-30
2.08203125,-17
2.0859375,-5
2.08984375,7
2.09375,16
2.09765625,21
2.1015625,19
2.10546875,9
2.109375,-5
2.11328125,-18
2.1171875,-26
2.12109375,-29
2.125,-27
2.12890625,-24
2.1328125,-21
2.13671875,-23
2.140625,-27
2.14453125,-27
2.1484375,-22
2.15234375,-12
2.15625,-2
2.16015625,7
2.1640625,13
2.16796875,17
2.171875,22
2.17578125,30
2.1796875,40
2.18359375,45
2.1875,42
2.19140625,32
2.1953125,19
2.19921875,7
2.203125,1
2.20703125,2
2.2109375,1
2.21484375,-7
2.21875,-20
2.22265625,-30
2.2265625,-34
2.23046875,-30
2.234375,-17
2.23828125,1
2.2421875,19
2.24609375,31
2.25,37
2.25390625,40
2.2578125,43
2.26171875,45
2.265625,47
2.26953125,48
2.2734375,47
2.27734375,39
2.28125,29
2.28515625,22
2.2890625,18
2.29296875,15
2.296875,11
2.30078125,4
2.3046875,-9
2.30859375,-27
2.3125,-42
2.31640625,-44
2.3203125,-30
2.32421875,-2
2.328125,36
2.33203125,79
2.3359375,115
2.33984375,136
2.34375,141
2.34765625,137
2.3515625,131
2.35546875,127
2.359375,127
2.36328125,130
2.3671875,134
2.37109375,138
2.375,137
2.37890625,132
2.3828125,123
2.38671875,110
2.390625,92
2.39453125,74
2.3984375,63
2.40234375,63
2.40625,69
2.41015625,78
2.4140625,85
2.41796875,91
2.421875,94
2.42578125,96
2.4296875,97
2.43359375,98
2.4375,96
2.44140625,90
2.4453125,85
2.44921875,85
2.453125,93
2.45703125,104
2.4609375,113
2.46484375,114
2.46875,107
2.47265625,96
2.4765625,87
2.48046875,85
2.484375,87
2.48828125,90
2.4921875,87
2.49609375,79
2.5,66
2.50390625,54
2.5078125,48
2.51171875,50
2.515625,61
2.51953125,75
2.5234375,88
2.52734375,94
2.53125,96
2.53515625,97
2.5390625,97
2.54296875,97
2.546875,101
2.55078125,105
2.5546875,103
2.55859375,92
2.5625,78
2.56640625,67
2.5703125,60
2.57421875,52
