Time,C2
0.0,-22
0.00390625,-19
0.0078125,-15
0.01171875,-16
0.015625,-23
0.01953125,-37
0.0234375,-55
0.02734375,-67
0.03125,-66
0.03515625,-57
0.0390625,-48
0.04296875,-45
0.046875,-47
0.05078125,-53
0.0546875,-59
0.05859375,-63
0.0625,-61
0.06640625,-51
0.0703125,-34
0.07421875,-15
0.078125,7
0.08203125,30
0.0859375,49
0.08984375,54
0.09375,50
0.09765625,46
0.1015625,47
0.10546875,47
0.109375,41
0.11328125,32
0.1171875,21
0.12109375,8
0.125,-3
0.12890625,-4
0.1328125,3
0.13671875,14
0.140625,25
0.14453125,36
0.1484375,46
0.15234375,49
0.15625,37
0.16015625,12
0.1640625,-12
0.16796875,-24
0.171875,-19
0.17578125,-2
0.1796875,20
0.18359375,34
0.1875,32
0.19140625,19
0.1953125,4
0.19921875,-4
0.203125,-5
0.20703125,-6
0.2109375,-11
0.21484375,-14
0.21875,-7
0.22265625,3
0.2265625,9
0.23046875,9
0.234375,4
0.23828125,-5
0.2421875,-11
0.24609375,-7
0.25,8
0.25390625,20
0.2578125,18
0.26171875,5
0.265625,-11
0.26953125,-26
0.2734375,-40
0.27734375,-48
0.28125,-45
0.28515625,-36
0.2890625,-25
0.29296875,-11
0.296875,2
0.30078125,3
0.3046875,-12
0.30859375,-36
0.3125,-52
0.31640625,-53
0.3203125,-40
0.32421875,-21
0.328125,-6
0.33203125,0
0.3359375,-5
0.33984375,-14
0.34375,-16
0.34765625,-7
0.3515625,8
0.35546875,21
0.359375,32
0.36328125,39
0.3671875,41
0.37109375,37
0.375,27
0.37890625,12
0.3828125,-11
0.38671875,-34
0.390625,-47
0.39453125,-45
0.3984375,-31
0.40234375,-11
0.40625,9
0.41015625,16
0.4140625,6
0.41796875,-12
0.421875,-26
0.42578125,-31
0.4296875,-30
0.43359375,-24
0.4375,-17
0.44140625,-18
0.4453125,-27
0.44921875,-31
0.453125,-25
0.45703125,-16
0.4609375,-10
0.46484375,-7
0.46875,-6
0.47265625,-9
0.4765625,-10
0.48046875,1
0.484375,23
0.48828125,45
0.4921875,61
0.49609375,70
0.5,72
0.50390625,72
0.5078125,76
0.51171875,90
0.515625,112
0.51953125,129
0.5234375,129
0.52734375,110
0.53125,77
0.53515625,43
0.5390625,20
0.54296875,12
0.546875,14
0.55078125,16
0.5546875,13
0.55859375,5
0.5625,-3
0.56640625,-8
0.5703125,-3
0.57421875,10
0.578125,21
0.58203125,26
0.5859375,29
0.58984375,32
0.59375,32
0.59765625,23
0.6015625,9
0.60546875,-6
0.609375,-19
0.61328125,-25
0.6171875,-22
0.62109375,-9
0.625,8
0.62890625,15
0.6328125,9
0.63671875,-2
0.640625,-9
0.64453125,-13
0.6484375,-11
0.65234375,0
0.65625,16
0.66015625,31
0.6640625,43
0.66796875,53
0.671875,59
0.67578125,55
0.6796875,41
0.68359375,20
0.6875,-3
0.69140625,-17
0.6953125,-20
0.69921875,-16
0.703125,-11
0.70703125,-5
0.7109375,0
0.71484375,0
0.71875,-4
0.72265625,-8
0.7265625,-8
0.73046875,-6
0.734375,-11
0.73828125,-22
0.7421875,-33
0.74609375,-38
0.75,-40
0.75390625,-38
0.7578125,-32
0.76171875,-26
0.765625,-26
0.76953125,-33
0.7734375,-39
0.77734375,-40
0.78125,-40
0.78515625,-42
0.7890625,-52
0.79296875,-68
0.796875,-83
0.80078125,-86
0.8046875,-72
0.80859375,-43
0.8125,-6
0.81640625,29
0.8203125,51
0.82421875,53
0.828125,39
0.83203125,27
0.8359375,25
0.83984375,29
0.84375,29
0.84765625,24
0.8515625,14
0.85546875,0
0.859375,-10
0.86328125,-7
0.8671875,9
0.87109375,21
0.875,23
0.87890625,17
0.8828125,8
0.88671875,-2
0.890625,-9
0.89453125,-10
0.8984375,-11
0.90234375,-20
0.90625,-34
0.91015625,-43
0.9140625,-45
0.91796875,-43
0.921875,-37
0.92578125,-29
0.9296875,-29
0.93359375,-46
0.9375,-72
0.94140625,-92
0.9453125,-101
0.94921875,-93
0.953125,-68
0.95703125,-36
0.9609375,-11
0.96484375,1
0.96875,3
0.97265625,1
0.9765625,-4
0.98046875,-7
0.984375,-4
0.98828125,3
0.9921875,7
0.99609375,8
1.0,9
1.00390625,10
1.0078125,12
1.01171875,16
1.015625,23
1.01953125,31
1.0234375,36
1.02734375,39
1.03125,41
1.03515625,43
1.0390625,42
1.04296875,38
1.046875,34
1.05078125,31
1.0546875,25
1.05859375,18
1.0625,19
1.06640625,26
1.0703125,33
1.07421875,38
1.078125,42
1.08203125,40
1.0859375,29
1.08984375,14
1.09375,3
1.09765625,0
1.1015625,4
1.10546875,9
1.109375,9
1.11328125,2
1.1171875,-5
1.12109375,-8
1.125,-2
1.12890625,15
1.1328125,42
1.13671875,67
1.140625,82
1.14453125,90
1.1484375,93
1.15234375,95
1.15625,95
1.16015625,91
1.1640625,78
1.16796875,54
1.171875,26
1.17578125,3
1.1796875,-8
1.18359375,-6
1.1875,6
1.19140625,16
1.1953125,17
1.19921875,4
1.203125,-14
1.20703125,-26
1.2109375,-25
1.21484375,-15
1.21875,0
1.22265625,17
1.2265625,32
1.23046875,42
1.234375,49
1.23828125,58
1.2421875,71
1.24609375,84
1.25,91
1.25390625,93
1.2578125,90
1.26171875,81
1.265625,63
1.26953125,40
1.2734375,16
1.27734375,-3
1.28125,-14
1.28515625,-21
1.2890625,-26
1.29296875,-28
1.296875,-29
1.30078125,-33
1.3046875,-41
1.30859375,-47
1.3125,-45
1.31640625,-35
1.3203125,-20
1.32421875,0
1.328125,19
1.33203125,27
1.3359375,23
1.33984375,13
1.34375,5
1.34765625,-1
1.3515625,-4
1.35546875,-1
1.359375,3
1.36328125,5
1.3671875,5
1.37109375,7
1.375,11
1.37890625,16
1.3828125,20
1.38671875,17
1.390625,10
1.39453125,0
1.3984375,-15
1.40234375,-38
1.40625,-55
1.41015625,-55
1.4140625,-44
1.41796875,-33
1.421875,-27
1.42578125,-24
1.4296875,-30
1.43359375,-42
1.4375,-44
1.44140625,-28
1.4453125,-1
1.44921875,25
1.453125,47
1.45703125,63
1.4609375,72
1.46484375,69
1.46875,55
1.47265625,38
1.4765625,20
1.48046875,-4
1.484375,-29
1.48828125,-48
1.4921875,-63
1.49609375,-77
1.5,-89
1.50390625,-94
1.5078125,-94
1.51171875,-90
1.515625,-84
1.51953125,-77
1.5234375,-72
1.52734375,-64
1.53125,-54
