Time,C2
0.0,-11
0.00390625,-6
0.0078125,2
0.01171875,16
0.015625,33
0.01953125,50
0.0234375,68
0.02734375,86
0.03125,96
0.03515625,94
0.0390625,84
0.04296875,74
0.046875,66
0.05078125,61
0.0546875,64
0.05859375,71
0.0625,78
0.06640625,81
0.0703125,78
0.07421875,68
0.078125,56
0.08203125,49
0.0859375,49
0.08984375,56
0.09375,63
0.09765625,69
0.1015625,75
0.10546875,81
0.109375,87
0.11328125,91
0.1171875,90
0.12109375,85
0.125,75
0.12890625,58
0.1328125,41
0.13671875,29
0.140625,22
0.14453125,15
0.1484375,9
0.15234375,8
0.15625,12
0.16015625,19
0.1640625,28
0.16796875,39
0.171875,47
0.17578125,50
0.1796875,45
0.18359375,35
0.1875,26
0.19140625,23
0.1953125,25
0.19921875,29
0.203125,31
0.20703125,27
0.2109375,18
0.21484375,7
0.21875,-1
0.22265625,-2
0.2265625,6
0.23046875,20
0.234375,33
0.23828125,40
0.2421875,39
0.24609375,33
0.25,25
0.25390625,19
0.2578125,16
0.26171875,18
0.265625,22
0.26953125,26
0.2734375,31
0.27734375,40
0.28125,52
0.28515625,63
0.2890625,70
0.29296875,71
0.296875,66
0.30078125,58
0.3046875,53
0.30859375,49
0.3125,49
0.31640625,57
0.3203125,70
0.32421875,79
0.328125,79
0.33203125,71
0.3359375,54
0.33984375,32
0.34375,9
0.34765625,-10
0.3515625,-25
0.35546875,-37
0.359375,-47
0.36328125,-52
0.3671875,-50
0.37109375,-44
0.375,-37
0.37890625,-36
0.3828125,-45
0.38671875,-57
0.390625,-67
0.39453125,-72
0.3984375,-74
0.40234375,-71
0.40625,-64
0.41015625,-55
0.4140625,-49
0.41796875,-44
0.421875,-38
0.42578125,-31
0.4296875,-29
0.43359375,-28
0.4375,-24
0.44140625,-15
0.4453125,-8
0.44921875,-7
0.453125,-15
0.45703125,-31
0.4609375,-48
0.46484375,-59
0.46875,-59
0.47265625,-51
0.4765625,-38
0.48046875,-27
0.484375,-27
0.48828125,-35
0.4921875,-44
0.49609375,-46
0.5,-39
0.50390625,-25
0.5078125,-11
0.51171875,-2
0.515625,-4
0.51953125,-12
0.5234375,-24
0.52734375,-36
0.53125,-46
0.53515625,-52
0.5390625,-59
0.54296875,-70
0.546875,-84
0.55078125,-94
0.5546875,-92
0.55859375,-81
0.5625,-67
0.56640625,-51
0.5703125,-37
0.57421875,-31
0.578125,-38
0.58203125,-51
0.5859375,-64
0.58984375,-69
0.59375,-68
0.59765625,-59
0.6015625,-45
0.60546875,-31
0.609375,-20
