FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-49,-31,-47,-54,-18,-25,-5,-27,-31,-21,-48,-27,-11,36,-25,-6,-33,-24,-34,-19,-26,-11,-350
-43,-26,-34,-39,-8,-9,-1,-12,-20,-13,-37,-12,2,42,-22,-8,-27,-23,-31,-12,-22,-5,-351
-34,-19,-24,-21,2,6,1,4,-5,-3,-23,3,14,50,-16,-10,-18,-19,-27,-6,-17,3,-340
-23,-10,-15,-3,10,17,3,15,12,8,-8,16,23,59,-10,-10,-7,-12,-19,-3,-11,10,-322
-11,-2,-8,15,13,21,5,23,27,19,3,24,30,66,-3,-7,3,-4,-9,0,-6,16,-300
0,3,-5,28,12,20,6,26,37,28,7,25,33,68,3,-4,7,5,1,2,-1,21,-279
7,4,-4,32,9,16,7,24,42,30,7,22,33,63,5,-2,6,14,8,5,4,24,-257
6,2,-5,27,5,9,7,21,43,26,4,16,29,54,4,-3,2,20,10,6,9,26,-235
-3,-4,-7,13,0,-1,4,16,36,14,-1,8,24,42,-1,-6,-2,20,8,8,10,26,-218
-21,-14,-13,-8,-7,-15,-3,9,23,-4,-9,-3,17,30,-12,-9,-9,15,0,9,7,21,-209
-43,-28,-19,-29,-15,-29,-13,0,7,-25,-18,-16,9,19,-26,-11,-17,6,-10,9,1,13,-203
-60,-39,-24,-43,-20,-39,-20,-9,-6,-43,-27,-26,5,14,-38,-9,-22,-1,-18,8,-6,5,-188
-69,-47,-24,-49,-22,-44,-22,-14,-12,-54,-34,-31,4,13,-47,-5,-24,-4,-21,9,-10,-1,-164
-71,-53,-21,-48,-24,-45,-18,-18,-13,-61,-39,-33,4,14,-55,-3,-27,-4,-21,11,-11,-4,-142
-69,-58,-18,-43,-27,-43,-13,-20,-9,-63,-43,-32,5,13,-60,-5,-31,-2,-20,13,-10,-7,-127
-62,-59,-15,-33,-26,-38,-7,-17,-1,-57,-42,-27,7,14,-60,-7,-32,0,-16,14,-6,-7,-115
-54,-55,-14,-23,-23,-30,-4,-11,7,-45,-39,-21,8,17,-54,-8,-30,1,-10,13,-1,-5,-99
-49,-51,-16,-14,-20,-25,-5,-6,9,-34,-38,-19,6,19,-47,-8,-28,-3,-7,9,-1,-6,-79
-50,-48,-21,-10,-17,-21,-8,-6,7,-26,-40,-22,-3,19,-42,-10,-30,-11,-7,2,-6,-10,-54
-53,-45,-29,-8,-15,-19,-10,-10,2,-22,-42,-27,-14,17,-38,-13,-33,-18,-11,-7,-13,-14,-26
-57,-45,-36,-9,-15,-21,-10,-16,-3,-19,-45,-32,-26,13,-38,-16,-38,-24,-16,-16,-18,-17,-3
-61,-50,-43,-14,-17,-28,-11,-26,-9,-20,-49,-37,-37,7,-42,-21,-44,-30,-22,-24,-22,-20,10
-64,-59,-51,-23,-21,-40,-15,-37,-16,-24,-53,-42,-46,0,-51,-27,-51,-34,-31,-31,-26,-24,15
-65,-69,-59,-33,-24,-51,-21,-43,-23,-29,-55,-44,-51,-3,-60,-31,-58,-37,-38,-38,-28,-29,23
-64,-75,-63,-42,-25,-57,-27,-44,-29,-32,-55,-42,-51,-2,-66,-32,-62,-36,-42,-43,-29,-31,44
-64,-76,-64,-50,-26,-59,-32,-41,-36,-35,-53,-38,-48,1,-68,-31,-63,-34,-43,-46,-29,-30,81
-65,-74,-61,-57,-29,-56,-36,-38,-43,-39,-49,-34,-45,4,-69,-30,-63,-34,-43,-48,-30,-27,125
-65,-68,-55,-61,-32,-50,-36,-34,-47,-39,-45,-29,-40,4,-67,-31,-62,-34,-42,-48,-30,-22,164
-59,-58,-44,-57,-31,-41,-32,-31,-46,-34,-40,-22,-33,4,-61,-31,-55,-30,-38,-44,-26,-14,196
-48,-47,-28,-46,-25,-31,-25,-27,-41,-23,-34,-13,-25,6,-52,-29,-42,-21,-30,-36,-18,-6,224
-38,-37,-12,-31,-17,-23,-19,-22,-35,-13,-31,-7,-18,8,-42,-28,-30,-11,-24,-27,-12,-2,250
-33,-29,0,-15,-11,-17,-16,-20,-32,-6,-31,-5,-13,10,-32,-27,-21,-2,-20,-19,-9,-4,271
-30,-22,8,-1,-7,-15,-15,-19,-30,-2,-32,-5,-11,13,-23,-27,-17,4,-17,-14,-9,-7,288
-27,-14,12,11,-9,-16,-16,-18,-29,-1,-32,-5,-9,14,-14,-28,-14,6,-14,-13,-11,-10,304
-22,-4,12,19,-14,-18,-21,-17,-29,0,-30,-5,-9,15,-7,-27,-14,2,-9,-14,-16,-13,322
