FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-5,-4,-9,16,-33,-5,-31,-25,-26,14,0,-20,-19,11,4,14,29,16,-12,-10,-15,-22,794
1,2,-6,18,-31,-7,-35,-32,-35,20,0,-27,-26,18,9,14,35,16,-15,-14,-20,-28,738
7,9,-3,20,-27,-5,-38,-35,-39,27,3,-29,-28,26,18,16,42,18,-12,-17,-21,-31,664
14,17,2,23,-19,1,-38,-32,-39,33,11,-24,-26,33,27,18,48,20,-3,-18,-16,-29,578
20,25,8,28,-9,9,-34,-23,-33,39,21,-11,-18,38,35,21,53,24,10,-16,-6,-22,487
26,29,17,33,3,17,-25,-11,-23,43,30,3,-7,39,39,25,54,30,25,-8,7,-11,398
28,29,24,37,15,23,-14,0,-13,42,35,17,4,36,37,27,51,35,38,2,21,1,309
28,26,29,37,23,25,-3,10,-3,36,33,25,14,29,31,27,44,39,45,13,33,11,215
24,18,28,35,27,24,6,15,4,28,27,27,21,20,21,25,34,43,46,24,41,20,114
18,10,24,29,27,20,11,18,9,18,18,25,26,10,11,22,23,44,42,32,44,25,5
11,2,17,22,24,17,15,19,13,9,12,22,29,1,1,17,12,42,35,36,44,28,-110
6,-3,11,15,22,17,17,20,18,4,10,21,33,-5,-6,12,2,39,29,38,42,30,-225
4,-4,8,12,22,22,21,24,23,3,14,25,38,-9,-8,8,-4,34,27,38,42,33,-329
7,0,10,12,25,31,26,32,31,7,24,33,45,-10,-7,5,-5,31,31,38,44,38,-413
11,5,15,15,31,44,31,43,41,12,35,45,54,-9,-3,4,-2,29,41,40,49,45,-474
14,10,20,19,37,56,37,55,52,17,45,58,64,-6,0,4,2,28,51,44,54,53,-513
14,11,24,21,42,65,43,65,61,18,49,66,72,-5,1,5,6,28,57,46,57,60,-540
10,8,24,19,45,68,48,71,67,15,48,69,75,-6,-2,4,6,25,56,44,55,61,-566
3,3,22,15,46,65,51,72,68,9,41,65,72,-9,-5,3,3,19,46,39,46,57,-598
-3,-2,20,10,45,60,52,69,64,2,33,57,65,-12,-8,0,-4,12,30,30,34,49,-634
-6,-4,19,5,45,53,51,63,57,-4,24,46,54,-14,-10,-3,-11,4,13,20,19,37,-661
-7,-4,18,1,43,45,47,55,46,-9,15,33,41,-15,-10,-6,-19,-3,-3,10,4,25,-670
-6,-3,17,-1,39,36,39,43,32,-12,7,21,26,-15,-9,-8,-26,-8,-16,2,-9,12,-663
-3,-1,16,-2,34,28,29,30,17,-13,-1,9,12,-14,-9,-10,-30,-11,-24,-4,-18,0,-646
1,1,16,-3,27,18,17,15,2,-14,-8,-3,1,-14,-10,-10,-31,-12,-29,-10,-24,-9,-626
4,2,15,-3,20,8,5,-1,-12,-15,-14,-13,-9,-14,-11,-10,-31,-12,-31,-14,-28,-17,-613
4,1,13,-5,12,-3,-6,-16,-24,-15,-20,-23,-16,-15,-12,-9,-29,-11,-30,-17,-30,-23,-611
3,0,9,-8,4,-14,-16,-28,-32,-17,-25,-28,-20,-16,-12,-7,-26,-10,-27,-18,-29,-25,-608
-1,-3,3,-14,-4,-23,-23,-37,-35,-19,-28,-31,-20,-16,-12,-5,-23,-7,-22,-16,-24,-24,-593
-6,-7,-4,-21,-12,-31,-27,-42,-34,-23,-31,-31,-17,-17,-12,-3,-19,-3,-16,-11,-18,-20,-569
-12,-12,-10,-27,-18,-36,-28,-42,-29,-26,-33,-27,-13,-17,-13,-1,-15,2,-10,-6,-11,-15,-547
