FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-18,-21,-24,-3,-34,-38,-18,-33,-19,-3,-14,-32,-17,-7,-10,-23,-4,-12,-22,-7,-18,-9,686
-17,-22,-26,-6,-37,-45,-25,-42,-34,-4,-20,-42,-32,-5,-8,-24,0,-19,-31,-19,-30,-23,736
-14,-22,-23,-6,-36,-44,-27,-45,-42,-3,-21,-46,-42,-5,-6,-24,3,-25,-37,-29,-38,-33,782
-11,-21,-17,-3,-31,-38,-23,-42,-44,-1,-17,-43,-46,-6,-3,-24,4,-27,-39,-34,-41,-38,820
-7,-19,-10,0,-24,-29,-16,-34,-40,1,-12,-36,-44,-8,-2,-24,4,-26,-38,-33,-38,-36,848
-5,-18,-4,4,-18,-19,-11,-25,-34,2,-5,-26,-38,-10,-2,-25,1,-23,-34,-27,-32,-30,863
-4,-17,2,7,-12,-9,-8,-16,-28,1,-1,-15,-30,-12,-3,-25,-3,-19,-30,-19,-24,-22,866
-4,-16,7,9,-7,-2,-8,-9,-22,-3,0,-6,-22,-14,-5,-24,-7,-14,-24,-11,-16,-14,861
-5,-16,12,9,-2,4,-9,-2,-17,-7,-2,0,-15,-16,-9,-22,-11,-9,-19,-4,-9,-8,847
-7,-19,15,8,3,7,-9,3,-11,-12,-5,3,-10,-17,-13,-20,-15,-5,-15,0,-5,-4,818
-10,-22,19,7,8,8,-4,9,-5,-16,-9,4,-5,-19,-17,-18,-19,-3,-11,2,-2,-1,769
-14,-26,20,4,13,9,3,13,2,-20,-11,4,-1,-22,-21,-16,-21,0,-8,3,0,1,704
-17,-29,20,0,16,8,11,16,8,-23,-12,5,4,-25,-23,-14,-21,1,-5,6,3,4,631
-19,-31,18,-4,17,6,17,18,14,-25,-11,8,10,-27,-24,-11,-19,4,-1,9,6,9,553
-18,-31,14,-8,16,5,21,18,18,-26,-10,12,16,-27,-23,-9,-16,7,4,14,11,15,468
-17,-29,8,-13,13,3,21,16,20,-27,-8,18,22,-25,-22,-7,-13,10,9,19,16,22,371
-16,-26,1,-16,8,1,19,15,22,-27,-7,22,26,-23,-22,-6,-12,13,14,23,21,28,260
-15,-23,-5,-17,5,-1,18,14,24,-26,-6,26,31,-19,-20,-7,-12,16,17,27,27,33,132
-14,-19,-10,-17,3,-3,17,14,25,-25,-6,28,35,-16,-18,-8,-14,18,19,30,31,37,-7
-14,-16,-13,-14,1,-5,16,13,26,-22,-7,27,37,-12,-15,-9,-14,19,19,29,33,37,-143
-12,-12,-15,-8,0,-7,17,11,24,-17,-7,23,36,-9,-10,-10,-11,17,17,26,31,34,-262
-9,-7,-15,0,0,-8,18,8,20,-9,-6,17,32,-5,-2,-9,-4,14,13,21,26,28,-355
-3,0,-14,8,1,-8,19,4,15,2,-2,9,25,0,6,-7,4,9,8,16,17,19,-426
4,7,-13,16,2,-6,21,1,9,12,3,0,15,5,15,-6,13,4,2,11,8,10,-481
11,15,-11,22,4,-3,23,-2,4,20,9,-7,6,10,22,-5,19,-1,-3,7,-2,1,-527
17,21,-8,25,8,0,26,-2,2,25,14,-10,-1,14,28,-4,23,-5,-6,5,-9,-4,-570
22,25,-3,25,12,4,29,1,3,27,18,-10,-3,17,31,-4,25,-7,-7,6,-12,-5,-612
24,26,2,22,15,8,32,6,7,24,19,-5,-1,18,31,-5,23,-8,-7,6,-12,-4,-653
23,23,7,19,17,12,31,12,11,19,18,0,2,17,28,-7,19,-9,-7,4,-11,-1,-690
20,18,11,16,17,15,29,17,13,15,16,7,5,14,25,-10,14,-10,-6,1,-10,2,-721
16,13,15,15,18,20,27,23,16,11,16,14,7,10,21,-14,9,-11,-6,-3,-8,4,-741
13,9,18,16,18,25,25,27,17,9,16,19,9,7,19,-17,4,-10,-4,-5,-6,6,-746
10,6,20,17,20,30,23,30,17,7,17,23,8,3,15,-19,0,-8,-2,-6,-3,6,-738
8,4,22,19,21,34,23,32,17,5,18,26,8,1,12,-19,-1,-4,3,-3,0,6,-722
7,3,23,20,24,38,25,35,19,5,20,29,10,0,10,-16,1,2,10,3,6,7,-704
6,1,23,19,27,41,29,37,22,4,21,32,13,-1,7,-11,4,10,18,10,13,11,-686
3,-2,21,15,29,41,32,39,25,1,21,34,19,-2,3,-6,6,17,25,18,22,16,-668
-1,-7,17,9,28,40,33,39,28,-3,19,37,26,-4,-1,-2,6,24,31,26,31,25,-652
-7,-13,13,1,27,37,35,39,32,-9,16,42,36,-6,-5,0,2,30,37,34,42,35,-636
-12,-19,9,-7,25,33,36,38,35,-16,13,49,46,-11,-10,1,-5,37,42,43,54,47,-616
