FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-17,-9,8,-43,-41,-41,-29,-47,-65,18,-22,-36,-14,2,-9,-14,16,2,-34,-14,-57,-36,1023
-10,0,25,-36,-29,-30,-33,-25,-62,18,-22,-31,-16,14,-2,-8,23,-3,-25,-16,-52,-44,513
-2,8,41,-24,-12,-11,-26,3,-48,14,-22,-21,-8,25,7,-1,33,-7,-13,-11,-39,-46,-106
4,13,52,-5,6,13,-11,33,-25,8,-19,-7,9,31,16,5,41,-5,-3,-2,-22,-43,-682
7,14,56,16,19,36,11,57,1,0,-15,6,30,32,25,9,42,1,3,10,-5,-31,-1084
13,16,57,38,27,55,34,74,26,-5,-6,18,54,32,32,15,40,13,7,23,13,-10,-1232
22,19,58,59,33,71,56,83,48,-1,6,27,76,34,40,25,36,31,11,39,32,14,-1127
31,24,57,71,39,83,71,86,64,11,18,27,87,35,45,34,31,46,16,55,49,31,-849
37,24,49,70,43,84,74,84,69,26,23,16,82,34,45,41,22,49,21,66,57,33,-516
36,20,35,59,44,71,66,76,63,39,18,-3,62,28,38,44,9,39,24,69,55,19,-235
30,13,18,47,40,51,54,62,50,48,6,-23,37,19,29,47,-2,22,25,62,47,-5,-61
22,7,5,41,33,28,43,46,36,52,-6,-39,14,9,20,48,-9,4,26,46,39,-29,6
14,1,-3,37,24,5,34,25,24,52,-16,-46,-4,1,12,47,-11,-12,27,22,30,-44,3
5,-5,-7,31,13,-20,24,0,13,45,-25,-47,-20,-6,5,41,-11,-24,23,-8,18,-47,-21
-5,-14,-12,17,-1,-43,10,-30,3,34,-38,-47,-36,-14,-4,26,-13,-34,12,-38,2,-43,-32
-17,-25,-22,-4,-15,-64,-4,-62,-8,23,-53,-49,-56,-25,-13,1,-23,-42,-10,-66,-17,-35,-16
-29,-38,-36,-32,-29,-81,-20,-89,-21,12,-69,-53,-79,-37,-24,-28,-39,-48,-40,-87,-39,-27,16
-40,-51,-52,-56,-43,-96,-34,-110,-36,2,-83,-59,-100,-48,-36,-55,-59,-50,-70,-101,-61,-22,48
-45,-59,-62,-68,-56,-102,-46,-122,-53,-5,-90,-61,-110,-54,-46,-71,-74,-48,-92,-103,-77,-18,73
-42,-61,-61,-66,-65,-98,-51,-121,-68,-10,-88,-54,-108,-53,-52,-77,-80,-42,-102,-95,-81,-15,91
-35,-59,-50,-57,-67,-84,-51,-112,-78,-11,-79,-41,-94,-44,-54,-74,-76,-34,-100,-83,-76,-13,108
-30,-55,-35,-48,-64,-67,-51,-97,-81,-12,-70,-27,-75,-31,-54,-67,-66,-26,-90,-69,-67,-14,129
-28,-51,-22,-43,-58,-49,-52,-78,-78,-12,-63,-17,-55,-18,-53,-59,-54,-21,-75,-53,-60,-19,151
-29,-43,-14,-38,-49,-34,-54,-57,-70,-10,-57,-13,-37,-7,-49,-52,-45,-15,-59,-35,-58,-26,167
