FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
11,3,7,0,11,-12,-1,-21,-41,-20,-32,-61,-48,-10,-3,-23,-19,-39,-46,-39,-52,-47,-641
13,5,10,3,11,-8,-6,-20,-42,-19,-30,-58,-50,-6,-1,-23,-20,-41,-45,-45,-53,-48,-623
14,5,12,4,10,-4,-11,-19,-42,-18,-27,-53,-50,-3,-1,-21,-20,-42,-43,-47,-52,-46,-612
13,4,14,4,8,0,-16,-16,-38,-18,-23,-45,-45,-1,-1,-18,-19,-40,-38,-45,-48,-40,-607
11,2,16,5,6,4,-19,-11,-32,-16,-17,-34,-36,-1,-1,-15,-18,-36,-31,-39,-40,-31,-606
10,2,17,7,5,8,-20,-5,-22,-15,-11,-21,-24,-2,-2,-11,-16,-31,-22,-32,-30,-20,-603
9,0,18,8,4,12,-18,1,-10,-14,-5,-7,-10,-5,-3,-8,-15,-26,-12,-24,-17,-6,-592
5,-3,18,8,4,13,-15,8,3,-14,0,7,4,-8,-5,-5,-15,-19,0,-14,-3,8,-572
0,-8,15,6,4,14,-9,14,15,-15,4,21,18,-11,-8,-1,-15,-11,13,-3,11,23,-550
-5,-13,11,2,4,12,-1,19,27,-17,7,32,32,-11,-10,4,-14,-2,26,10,26,37,-531
-11,-18,5,-4,3,10,7,23,37,-20,9,42,45,-12,-13,8,-13,9,37,24,40,50,-520
-17,-24,-1,-12,1,5,14,24,44,-24,8,47,55,-13,-16,11,-14,19,44,38,50,61,-515
-23,-28,-8,-19,-2,-2,20,24,48,-30,4,49,63,-16,-20,10,-18,26,44,50,56,68,-513
-27,-32,-14,-25,-6,-10,23,20,49,-36,-3,45,66,-20,-23,7,-24,30,37,56,56,71,-510
-30,-33,-20,-30,-9,-19,23,15,46,-43,-12,37,63,-26,-27,1,-32,29,25,56,50,68,-501
-32,-33,-24,-33,-11,-26,20,8,39,-48,-21,26,56,-32,-30,-6,-39,23,10,50,39,62,-485
-32,-31,-26,-34,-11,-30,18,3,32,-49,-27,13,46,-34,-30,-12,-44,15,-5,41,25,53,-461
-29,-27,-23,-30,-6,-29,17,0,24,-47,-29,2,34,-33,-28,-16,-45,6,-18,30,9,40,-432
-24,-22,-18,-25,0,-24,17,-1,16,-41,-27,-8,21,-30,-23,-17,-42,-4,-27,17,-7,26,-405
-19,-17,-11,-20,8,-18,18,-1,8,-35,-24,-16,7,-25,-19,-17,-38,-13,-33,3,-23,11,-387
-15,-14,-4,-16,14,-12,19,-1,1,-29,-22,-24,-6,-21,-16,-17,-34,-22,-38,-10,-37,-5,-378
-12,-12,0,-14,17,-9,19,-3,-8,-26,-21,-32,-19,-18,-14,-17,-29,-29,-42,-24,-49,-21,-376
-12,-12,0,-14,16,-8,15,-7,-19,-25,-23,-40,-33,-17,-15,-17,-26,-36,-46,-37,-59,-36,-378
-13,-12,-2,-15,12,-9,8,-11,-29,-24,-24,-45,-44,-17,-17,-16,-23,-40,-48,-46,-63,-48,-377
-13,-11,-3,-13,8,-7,2,-13,-36,-22,-21,-45,-50,-15,-16,-13,-18,-41,-45,-52,-60,-54,-369
-9,-6,-1,-8,8,-1,-1,-10,-37,-16,-14,-39,-50,-10,-13,-7,-11,-38,-36,-52,-52,-53,-350
-4,-1,3,2,11,9,-1,-3,-32,-7,-2,-27,-44,-3,-6,1,0,-32,-22,-48,-39,-47,-326
3,6,10,13,18,22,4,7,-21,4,12,-12,-33,4,2,10,11,-24,-4,-41,-23,-36,-305
9,11,16,24,25,33,12,19,-7,16,25,5,-19,12,9,18,23,-16,14,-31,-7,-23,-295
14,14,21,32,30,41,22,29,9,26,35,20,-3,18,15,25,32,-7,32,-21,9,-8,-294
15,14,21,35,33,44,30,38,23,33,40,34,12,22,17,30,39,2,47,-10,25,7,-296
13,12,19,35,33,42,35,43,36,36,42,45,27,23,15,33,42,11,60,0,39,21,-298
10,8,15,30,30,38,40,48,48,35,41,54,41,22,11,34,43,20,70,11,54,36,-292
5,3,11,24,28,34,46,53,60,31,40,63,55,18,5,34,41,30,78,24,70,52,-271
0,-2,8,19,27,32,53,58,72,26,39,71,70,13,-1,33,39,38,84,39,84,68,-237
-5,-6,5,15,27,32,61,63,84,22,39,78,83,8,-5,31,37,45,88,55,96,83,-198
-9,-10,3,12,26,33,67,66,93,20,40,82,93,4,-8,29,36,50,87,68,104,95,-159
-12,-14,0,9,24,32,70,66,97,18,40,83,100,2,-9,25,35,52,83,78,106,102,-121
-15,-17,-5,5,18,28,69,61,94,16,38,78,100,-1,-9,20,33,51,72,83,100,103,-87
-18,-21,-11,-1,11,21,61,50,83,11,31,67,93,-5,-10,13,28,46,56,82,86,95,-58
-21,-23,-16,-8,3,12,50,36,65,6,23,51,78,-8,-11,5,21,39,36,74,66,80,-32
-21,-24,-18,-14,-2,3,38,21,43,0,13,33,57,-10,-12,-3,14,30,16,62,43,60,-2
-19,-22,-18,-17,-5,-4,26,7,19,-4,5,14,33,-9,-11,-10,8,19,-4,46,18,36,33
-15,-18,-16,-17,-6,-9,14,-5,-4,-5,-2,-5,6,-5,-8,-17,4,7,-21,26,-8,10,74
-9,-12,-13,-15,-7,-12,2,-17,-26,-3,-8,-23,-21,1,-2,-22,4,-7,-36,3,-33,-18,115
-4,-6,-12,-12,-9,-14,-8,-26,-45,1,-11,-38,-46,7,4,-26,4,-21,-47,-20,-55,-43,151
1,0,-12,-10,-13,-16,-17,-33,-58,5,-12,-49,-66,12,11,-28,6,-33,-53,-41,-71,-64,172
6,7,-12,-7,-16,-16,-23,-38,-67,10,-10,-55,-79,17,18,-26,9,-42,-54,-59,-81,-80,168
13,16,-11,0,-17,-13,-24,-37,-67,20,-1,-54,-84,25,27,-20,16,-45,-48,-72,-82,-87,133
24,29,-5,12,-15,-4,-19,-30,-59,34,13,-44,-80,37,38,-10,27,-43,-35,-77,-73,-84,71
37,44,6,28,-8,10,-8,-16,-44,51,32,-28,-68,50,49,2,40,-36,-15,-75,-58,-72,-6
50,58,18,46,1,27,6,2,-23,67,51,-8,-50,62,59,14,53,-26,6,-68,-38,-55,-87
61,68,29,60,11,42,21,21,1,80,67,12,-30,68,66,24,63,-15,27,-56,-17,-35,-160
67,72,36,68,20,55,33,39,23,85,77,32,-8,68,68,30,67,-4,46,-42,5,-14,-220
65,70,38,70,25,63,42,54,44,83,81,50,14,61,65,34,65,7,62,-26,27,8,-265
56,62,36,65,26,66,45,66,61,77,81,66,35,52,59,36,61,19,76,-10,49,29,-294
44,53,30,56,24,65,45,75,76,68,78,80,56,43,53,38,55,31,89,8,71,51,-310
30,42,24,47,21,62,44,82,89,58,72,91,75,36,47,41,50,44,99,26,92,72,-321
