FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-31,-21,5,-10,-19,-26,-14,-23,-24,-25,-42,-44,-35,30,0,38,-6,-15,-11,-20,-13,-25,-114
-23,-18,11,-4,-19,-20,-2,-24,-19,-19,-35,-39,-29,31,2,47,-2,-7,-7,-14,0,-13,-175
-14,-10,19,3,-12,-11,11,-19,-9,-8,-22,-27,-21,42,6,58,6,3,3,-8,15,2,-226
-5,-1,25,8,-2,-3,24,-12,0,2,-9,-14,-13,56,10,66,13,10,14,-3,29,16,-261
0,3,24,9,6,1,33,-8,6,6,1,-3,-8,65,11,65,14,12,20,-2,37,24,-280
0,2,17,4,11,-1,35,-8,7,4,3,5,-7,66,9,57,9,8,18,-7,38,25,-284
-4,-3,9,-3,14,-6,34,-10,5,-3,-2,9,-7,61,5,46,1,3,9,-14,33,23,-276
-9,-8,4,-11,18,-12,32,-10,3,-11,-8,10,-6,54,2,35,-3,-1,-3,-19,27,21,-264
-13,-11,4,-15,21,-14,31,-9,3,-17,-14,10,-2,50,1,26,-2,-1,-14,-19,21,20,-256
-14,-9,11,-17,20,-13,34,-6,4,-17,-16,11,6,52,2,19,2,2,-21,-15,18,21,-253
-12,-5,19,-16,16,-8,38,-2,7,-12,-16,12,15,58,4,16,6,6,-23,-7,17,23,-250
-8,-1,24,-14,9,-4,41,3,8,-7,-14,13,24,65,4,16,6,11,-22,3,17,24,-242
-8,0,23,-13,-1,-1,39,6,5,-6,-14,11,30,67,0,16,1,13,-22,16,17,22,-231
-10,-3,17,-14,-9,-1,32,9,-1,-9,-17,7,32,63,-5,16,-8,12,-23,28,15,15,-220
-12,-7,10,-15,-14,-2,23,14,-6,-16,-21,2,30,56,-9,18,-14,10,-24,36,12,9,-205
-10,-7,5,-14,-13,-2,15,20,-7,-21,-24,-1,27,51,-8,25,-13,10,-21,41,9,7,-184
-4,-3,7,-9,-6,1,12,27,-2,-23,-24,0,27,51,-2,34,-5,13,-15,46,10,8,-165
5,5,14,0,4,7,11,33,7,-19,-24,2,27,56,9,42,5,18,-7,49,14,11,-156
12,13,22,10,13,12,10,37,16,-13,-25,4,26,63,18,46,12,22,3,48,18,12,-156
14,18,26,20,18,14,10,36,21,-7,-26,2,23,70,24,45,13,22,10,43,17,11,-166
