FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-16,-42,-50,-56,-26,-61,-9,-64,-23,-31,-28,-10,-46,-18,-22,-53,-42,-27,-31,-60,-51,41,-107
-19,-41,-50,-69,-25,-63,-12,-60,-37,-38,-36,-1,-37,-17,-27,-64,-41,-33,-44,-49,-46,45,-177
-27,-41,-49,-80,-25,-68,-19,-54,-48,-47,-45,1,-30,-17,-33,-72,-37,-39,-56,-44,-47,39,-234
-33,-38,-44,-84,-24,-70,-24,-45,-48,-53,-53,0,-20,-18,-36,-73,-29,-41,-61,-36,-47,28,-274
-31,-31,-34,-78,-22,-60,-24,-32,-35,-52,-53,4,-5,-17,-33,-66,-17,-32,-53,-20,-43,18,-296
-22,-21,-23,-68,-19,-40,-20,-15,-12,-45,-49,11,11,-13,-25,-54,-5,-15,-35,3,-36,13,-302
-12,-9,-10,-56,-18,-17,-12,5,11,-36,-42,17,25,-6,-17,-40,4,5,-15,27,-25,11,-297
-3,4,3,-43,-18,6,-1,24,29,-26,-34,20,40,7,-7,-24,13,22,1,51,-7,11,-293
6,19,14,-30,-15,25,7,42,40,-14,-28,20,52,23,6,-8,22,34,14,72,16,14,-297
10,32,20,-17,-8,35,9,56,42,-8,-27,15,59,34,19,6,28,40,21,84,35,14,-308
10,41,22,-6,0,34,5,63,39,-8,-29,7,59,39,31,20,29,41,27,86,46,12,-323
11,47,24,9,10,32,3,65,36,-8,-29,1,58,41,45,39,28,42,36,83,53,14,-336
14,51,25,24,20,33,3,62,38,-6,-26,1,57,40,57,58,25,45,50,79,56,22,-337
15,50,22,32,26,34,6,55,45,-4,-24,4,50,36,62,67,17,44,61,67,52,29,-322
12,43,16,31,28,31,13,45,55,-6,-22,7,40,28,56,66,6,35,64,49,43,35,-290
11,34,10,25,30,25,27,39,67,-7,-15,10,34,20,45,59,-4,23,60,32,37,41,-252
12,27,5,17,37,19,45,38,79,-5,-4,11,38,13,34,49,-8,11,53,22,43,45,-218
12,21,-1,8,45,9,61,37,88,-4,5,11,49,3,25,37,-10,1,43,14,53,46,-197
7,13,-5,-4,50,-4,73,34,93,-5,11,12,62,-11,17,23,-13,-6,32,9,59,45,-190
-1,5,-8,-14,48,-19,84,30,92,-9,14,14,73,-25,9,10,-17,-6,22,9,60,47,-192
-13,-5,-12,-23,37,-32,92,24,86,-15,12,16,78,-38,0,-6,-22,-2,13,10,52,49,-173
-27,-18,-22,-35,16,-45,90,13,74,-26,4,16,67,-51,-14,-27,-34,0,-1,4,33,46,-85
-41,-34,-35,-51,-12,-58,77,-3,56,-42,-6,12,41,-64,-34,-51,-50,-4,-22,-13,4,37,119
-48,-47,-44,-65,-35,-65,57,-17,32,-57,-9,6,13,-70,-52,-66,-64,-9,-45,-32,-21,27,431
-44,-52,-43,-69,-48,-60,33,-24,7,-61,-5,1,-6,-66,-62,-68,-68,-11,-60,-47,-34,18,789
-33,-48,-31,-63,-53,-44,6,-29,-17,-54,1,-4,-17,-53,-64,-60,-60,-9,-67,-58,-37,7,1100
-20,-38,-10,-49,-54,-22,-20,-33,-34,-40,5,-5,-21,-34,-56,-46,-40,-3,-64,-63,-36,-4,1255
-5,-20,19,-24,-50,5,-39,-33,-39,-19,8,3,-20,-8,-38,-26,-10,9,-49,-58,-30,-12,1155
12,4,50,10,-39,35,-46,-27,-31,6,16,19,-13,23,-11,-3,23,24,-26,-43,-18,-17,773
30,27,76,42,-24,61,-46,-18,-14,29,26,36,-5,53,18,17,47,38,-2,-25,-6,-23,195
46,44,90,66,-9,81,-42,-5,4,46,36,51,0,74,41,32,58,45,16,-9,2,-29,-432
57,52,94,81,7,95,-36,15,17,55,43,61,5,85,54,45,58,46,29,8,5,-28,-964
60,52,91,89,21,101,-31,39,20,58,45,62,11,87,58,54,50,41,36,24,6,-19,-1298
54,44,78,89,28,100,-27,59,17,56,38,55,15,79,53,56,40,33,39,32,5,-6,-1379
41,34,60,83,26,92,-23,71,15,51,25,44,15,61,45,52,33,25,39,32,2,7,-1226
25,24,39,73,22,81,-15,72,16,46,14,34,12,39,39,48,33,20,41,28,2,21,-929
14,19,21,63,20,67,-3,66,24,42,8,28,8,21,38,48,33,19,48,26,8,32,-602
11,19,7,57,26,54,16,57,36,41,11,28,8,11,41,50,30,21,60,25,20,40,-331
15,18,-1,52,38,43,36,50,47,41,20,32,9,9,44,55,24,24,74,25,34,45,-157
18,13,-5,47,51,30,48,44,49,37,28,34,8,11,42,58,15,19,83,24,39,47,-74
15,3,-7,40,56,16,48,36,39,30,34,33,2,12,33,55,5,6,85,16,35,48,-51
7,-9,-9,33,53,2,38,23,22,22,40,30,-10,10,20,48,-4,-10,79,-2,22,46,-53
-5,-20,-11,23,40,-7,23,7,1,19,46,26,-23,1,7,36,-7,-26,66,-26,5,41,-55
-14,-26,-14,12,24,-11,8,-9,-22,20,50,22,-35,-10,-3,22,-6,-38,51,-49,-15,35,-47
-17,-25,-15,4,10,-9,-2,-21,-44,23,53,21,-43,-18,-7,10,-1,-44,36,-61,-30,28,-30
-16,-18,-13,1,3,-2,-5,-27,-63,26,56,24,-46,-18,-7,0,3,-46,21,-64,-39,18,-11
-15,-14,-11,-1,-3,3,-10,-32,-81,23,55,29,-47,-14,-6,-10,4,-49,4,-64,-47,0,5
-20,-15,-12,-7,-12,2,-24,-39,-99,11,47,29,-54,-9,-8,-22,2,-55,-16,-70,-63,-26,20
-30,-20,-12,-14,-27,-3,-46,-47,-111,-6,38,27,-64,-6,-11,-33,1,-62,-32,-77,-83,-53,40
-38,-22,-11,-19,-42,-4,-67,-50,-110,-16,34,25,-72,-6,-11,-38,5,-61,-38,-82,-99,-77,62
-41,-19,-7,-19,-51,2,-80,-46,-98,-17,31,23,-70,-6,-7,-35,16,-49,-32,-79,-102,-90,80
-37,-12,-2,-16,-50,12,-80,-34,-79,-12,26,19,-58,-6,-1,-25,30,-28,-19,-66,-91,-92,91
-27,-3,6,-9,-41,23,-66,-15,-56,-4,21,15,-37,-3,7,-11,44,-2,-2,-45,-69,-81,97
-15,10,16,3,-25,33,-43,6,-31,4,18,16,-7,4,17,7,55,24,15,-18,-40,-59,100
-4,23,28,17,-5,40,-21,25,-7,12,18,22,23,13,29,25,64,47,30,6,-11,-31,102
4,34,40,30,15,45,-4,40,14,19,19,32,49,20,41,41,71,64,42,22,12,-2,103
13,45,51,41,31,49,7,53,33,28,22,40,68,25,55,57,75,78,55,31,30,23,108
25,55,60,51,43,55,13,65,50,41,31,45,78,29,68,74,79,88,68,38,47,40,122
38,63,64,59,52,62,16,76,61,57,39,43,80,34,80,89,79,96,78,45,62,46,145
50,63,59,61,55,64,17,78,66,69,41,31,70,39,83,94,71,99,81,49,70,39,170
56,56,46,56,51,55,15,69,61,70,34,12,48,42,76,87,52,94,74,48,68,23,190
54,43,28,47,39,38,10,50,46,62,21,-5,20,41,64,69,27,81,57,40,55,5,204
47,30,11,37,26,18,7,25,27,51,7,-18,-7,36,50,47,2,62,36,28,38,-10,217
40,22,0,28,19,-2,8,0,7,42,-5,-24,-25,28,39,28,-16,43,17,14,22,-17,235
34,15,-8,19,14,-20,13,-20,-13,35,-16,-26,-36,19,30,15,-25,23,0,0,14,-19,263
29,9,-13,9,10,-34,15,-34,-34,27,-23,-24,-43,9,22,6,-30,5,-13,-16,11,-18,299
25,3,-19,-2,4,-40,9,-44,-53,20,-24,-20,-48,0,15,-2,-33,-9,-24,-30,6,-19,339
