FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-13,-14,-1,-15,-15,-6,-18,-8,-15,-22,-12,-8,-7,-10,-30,-20,-7,-15,-31,-28,-22,-25,-294
-13,-14,-4,-13,-12,-4,-19,-10,-17,-20,-16,-14,-4,-11,-30,-23,-12,-7,-33,-25,-27,-29,-304
-10,-12,-6,-8,-7,1,-18,-10,-15,-15,-16,-18,-3,-9,-26,-20,-15,1,-32,-23,-30,-30,-303
-6,-9,-9,-1,0,8,-19,-9,-9,-10,-14,-19,-7,-5,-20,-14,-14,6,-26,-23,-30,-28,-300
1,-3,-10,6,8,13,-19,-7,-3,-4,-11,-17,-11,0,-10,-6,-11,8,-17,-22,-28,-24,-302
8,3,-9,13,17,16,-18,-2,3,3,-7,-12,-15,6,0,2,-5,5,-7,-21,-23,-19,-304
12,8,-9,15,25,15,-14,2,6,10,-3,-7,-17,11,9,9,2,-3,3,-20,-17,-15,-303
14,11,-8,13,28,12,-10,6,6,18,1,-5,-16,13,15,14,8,-13,9,-17,-10,-13,-293
14,11,-5,12,28,9,-7,8,6,27,6,-4,-11,13,20,18,11,-21,15,-14,-1,-11,-276
14,12,0,13,28,7,-4,10,10,36,12,-1,-5,12,24,22,14,-23,19,-11,11,-6,-263
12,14,5,14,27,6,-2,13,17,44,16,1,-2,12,27,25,17,-18,22,-9,23,2,-260
9,14,4,12,22,4,-1,14,23,48,19,3,-2,12,27,25,18,-10,24,-10,29,12,-269
5,12,-1,7,14,-1,-1,12,26,48,21,4,-3,11,24,22,16,-3,24,-12,30,19,-281
1,9,-11,-3,4,-8,-1,7,24,43,22,3,-4,11,17,16,12,1,21,-15,26,22,-288
-6,4,-24,-16,-6,-15,-2,1,19,35,22,0,-4,11,8,8,8,0,15,-19,18,23,-284
-14,-3,-36,-29,-14,-21,-4,-5,10,24,22,-2,-3,10,-2,4,6,-3,8,-21,10,22,-272
-23,-8,-43,-39,-19,-22,-6,-8,3,14,22,-2,0,9,-11,5,8,-5,2,-20,5,22,-257
-30,-12,-45,-44,-21,-20,-6,-9,-1,7,24,1,5,6,-18,11,12,-4,-2,-19,6,22,-247
-37,-14,-43,-47,-22,-19,-3,-9,-1,2,25,5,8,3,-22,18,18,-1,-4,-16,9,21,-244
-43,-16,-40,-48,-23,-19,0,-9,-2,-1,24,7,7,-2,-25,23,22,3,-4,-11,10,16,-246
-49,-18,-38,-48,-26,-20,2,-12,-6,-4,22,8,5,-7,-27,25,22,4,-2,-5,10,7,-244
-56,-22,-37,-46,-29,-22,2,-16,-10,-7,18,7,5,-11,-29,23,17,4,0,2,8,-3,-229
-61,-26,-33,-41,-31,-22,4,-15,-13,-10,14,6,8,-13,-29,20,11,4,3,8,5,-10,-201
-62,-27,-27,-34,-30,-17,8,-9,-10,-13,11,6,16,-13,-28,18,6,7,6,14,2,-10,-171
-59,-28,-20,-28,-28,-10,12,1,-1,-16,7,6,25,-12,-27,19,3,10,8,19,3,-6,-145
-54,-29,-16,-26,-26,-4,13,9,9,-21,1,4,30,-13,-28,21,0,10,8,20,4,-2,-123
-50,-32,-16,-30,-27,-3,9,12,16,-30,-9,-3,29,-18,-31,22,-4,8,5,19,3,-1,-108
-49,-36,-19,-38,-29,-6,-1,10,18,-42,-23,-12,19,-25,-37,22,-10,2,0,18,2,-4,-99
-53,-40,-24,-47,-29,-13,-11,6,14,-54,-39,-21,5,-32,-42,22,-16,-5,-3,16,1,-7,-90
-60,-42,-29,-53,-28,-21,-18,1,7,-62,-52,-28,-8,-37,-45,22,-22,-9,-4,13,2,-9,-74
-66,-42,-31,-55,-26,-29,-19,-4,-1,-64,-59,-33,-18,-39,-46,21,-29,-10,-5,8,2,-10,-56
-66,-41,-32,-52,-23,-34,-13,-10,-5,-59,-59,-36,-25,-37,-44,17,-36,-9,-7,2,3,-10,-43
