FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
91,97,76,60,10,87,-6,29,15,32,36,55,-4,76,53,23,73,84,10,27,8,6,357
123,137,95,91,40,101,9,64,24,48,53,58,12,100,94,36,100,85,53,38,27,16,385
155,175,116,120,69,117,31,103,42,67,72,59,40,128,133,58,125,83,93,54,48,31,407
186,208,138,149,95,138,58,143,72,90,92,65,75,157,169,91,146,88,125,79,71,51,425
211,231,158,173,112,157,81,177,106,109,105,77,104,176,195,129,159,101,143,106,95,68,440
223,238,171,185,114,164,93,198,134,119,105,87,120,178,205,161,158,114,149,129,112,77,456
214,225,170,179,104,153,96,201,147,116,91,89,120,162,196,178,143,118,146,139,119,73,475
185,194,150,158,91,127,92,183,145,100,68,79,105,129,170,170,114,106,137,131,116,61,500
141,152,117,126,84,97,84,150,133,77,45,62,82,83,134,141,78,79,126,110,107,48,533
90,105,78,92,81,70,78,112,118,53,31,43,61,37,96,102,44,46,115,82,96,40,573
38,57,41,63,81,48,77,79,102,35,25,27,51,2,63,69,19,19,103,53,88,38,619
-6,14,12,38,79,33,83,53,88,22,25,16,47,-16,36,50,5,2,87,24,82,40,665
-38,-24,-7,14,71,20,89,34,69,10,23,9,41,-23,12,42,-4,-8,67,-5,76,43,704
-60,-58,-22,-16,52,2,85,15,39,-5,15,0,27,-28,-14,35,-14,-17,42,-34,62,39,735
-76,-87,-34,-51,23,-22,68,-5,2,-26,2,-12,4,-35,-44,24,-26,-23,13,-61,43,24,758
-86,-105,-40,-81,-6,-42,47,-22,-30,-47,-7,-21,-18,-40,-71,6,-36,-24,-14,-76,28,7,774
-90,-112,-38,-97,-24,-48,32,-30,-46,-62,-4,-21,-27,-42,-88,-14,-38,-18,-35,-72,23,-5,785
-95,-114,-32,-98,-32,-47,24,-31,-49,-67,12,-14,-19,-43,-98,-33,-34,-8,-49,-51,21,-14,792
-101,-112,-24,-91,-34,-42,24,-28,-43,-66,33,-4,4,-43,-104,-48,-26,5,-56,-23,14,-24,794
-102,-110,-15,-81,-35,-33,30,-22,-34,-61,49,6,31,-42,-107,-54,-15,16,-54,1,3,-36,786
-97,-106,-4,-72,-34,-20,36,-16,-25,-58,53,15,48,-40,-109,-51,-4,26,-47,15,-14,-47,764
-85,-99,5,-64,-28,-4,35,-9,-18,-54,46,23,50,-35,-109,-43,5,36,-38,22,-35,-56,722
-68,-84,13,-50,-14,17,32,3,-8,-50,33,32,49,-26,-103,-29,15,51,-24,36,-48,-58,663
-52,-62,23,-24,10,45,34,23,8,-44,23,43,53,-13,-88,-11,30,70,-3,61,-44,-50,591
-43,-39,34,10,37,69,39,47,26,-39,18,51,62,-1,-70,8,45,83,20,90,-28,-32,508
-45,-26,37,41,56,83,39,64,40,-36,16,52,69,2,-58,22,51,84,34,109,-14,-13,409
