FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-22,13,-1,0,48,18,-48,25,22,4,-19,17,55,-10,-19,-19,41,53,38,38,-6,5,-223
-37,-5,-15,-3,39,7,-64,22,21,-3,-36,0,26,-36,-29,-30,26,28,42,32,0,4,-226
-45,-23,-33,-3,26,-1,-71,18,21,-8,-54,-12,-3,-58,-37,-39,8,2,43,25,9,-9,-229
-44,-34,-50,0,16,-4,-73,20,25,-9,-67,-19,-24,-70,-38,-40,-9,-17,47,18,16,-27,-227
-34,-35,-58,7,13,-3,-67,28,34,-6,-72,-19,-36,-69,-30,-30,-22,-25,53,13,23,-39,-217
-17,-23,-54,18,21,5,-53,42,51,3,-65,-14,-38,-53,-12,-7,-27,-24,63,14,37,-34,-203
1,-3,-42,30,44,15,-31,56,73,21,-50,-2,-30,-27,13,23,-20,-16,73,22,57,-13,-192
12,12,-31,36,69,18,-10,62,90,40,-35,9,-23,-4,33,46,-8,-8,77,28,76,12,-184
12,14,-26,34,82,6,6,52,93,53,-26,15,-21,5,40,51,2,-9,66,26,83,29,-177
9,6,-20,28,82,-15,19,33,85,61,-20,16,-22,3,37,41,11,-18,51,15,78,35,-168
6,-5,-11,20,75,-34,35,14,71,66,-12,19,-20,-3,31,24,19,-25,39,2,63,31,-160
5,-15,1,10,65,-46,50,0,53,67,2,22,-16,-9,24,6,20,-27,34,-10,41,20,-152
4,-22,15,-3,51,-55,60,-11,36,63,19,25,-9,-11,16,-11,15,-30,30,-19,18,6,-142
3,-25,30,-15,34,-62,65,-16,25,54,39,27,0,-8,11,-18,13,-35,21,-23,5,-5,-134
5,-22,42,-24,17,-64,66,-15,21,44,59,28,13,2,11,-14,16,-40,8,-23,6,-10,-130
3,-18,44,-30,2,-60,59,-15,20,34,70,25,26,11,7,-7,19,-39,-10,-25,15,-9,-126
-8,-22,30,-39,-18,-57,40,-24,15,17,62,14,32,9,-7,-8,12,-37,-31,-38,18,-10,-116
-31,-35,3,-56,-41,-58,11,-38,1,-9,37,-5,29,-9,-32,-20,-5,-38,-53,-57,9,-14,-100
-55,-50,-28,-74,-61,-60,-17,-50,-20,-39,7,-21,22,-32,-57,-38,-26,-37,-66,-69,-9,-20,-82
