FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-2,10,-5,7,6,17,-40,26,-7,-13,-47,-12,27,-2,-10,-31,9,19,-1,63,-21,-14,-789
2,22,-7,28,19,29,-32,37,2,-5,-45,-7,31,11,4,-11,18,25,13,67,-5,-3,-454
15,41,2,51,41,42,-18,53,13,6,-33,5,35,27,25,14,34,37,32,67,17,16,-176
32,61,14,67,64,51,0,68,26,19,-18,18,35,40,47,38,50,46,52,61,39,36,2
45,74,22,73,80,53,15,74,37,28,-5,19,25,48,65,55,62,48,70,50,53,51,85
50,75,23,68,85,47,28,69,42,33,4,6,6,52,74,65,65,40,79,38,58,58,107
47,65,17,56,79,35,38,58,40,35,10,-17,-13,49,73,69,57,27,77,24,57,55,107
36,48,4,42,62,18,41,41,29,36,10,-44,-30,38,62,64,39,10,65,7,49,41,110
21,29,-12,25,41,-3,34,20,12,33,6,-67,-45,22,45,49,15,-6,47,-15,35,19,125
8,12,-23,11,21,-21,24,-1,-8,26,3,-77,-52,5,29,33,-7,-16,26,-36,22,-2,143
2,4,-24,1,5,-33,16,-20,-22,18,4,-71,-50,-5,17,21,-20,-18,7,-52,12,-16,157
-1,1,-19,-9,-7,-41,10,-38,-28,7,5,-60,-43,-12,10,11,-26,-19,-11,-65,-1,-29,165
-6,-5,-13,-26,-19,-49,2,-60,-29,-6,3,-52,-39,-18,2,-3,-30,-23,-26,-75,-22,-44,171
-11,-12,-8,-45,-31,-54,-10,-80,-28,-19,-1,-44,-37,-20,-5,-18,-31,-30,-38,-82,-47,-59,181
-13,-18,0,-55,-38,-52,-17,-90,-28,-25,-5,-31,-34,-19,-10,-28,-28,-32,-46,-80,-64,-65,196
-11,-21,12,-52,-39,-45,-19,-87,-29,-23,-6,-15,-28,-13,-11,-33,-19,-24,-49,-71,-68,-64,208
-6,-20,21,-38,-36,-32,-15,-75,-29,-17,-5,1,-20,-5,-10,-35,-5,-8,-46,-55,-59,-57,213
0,-16,30,-19,-33,-16,-8,-56,-28,-14,-3,12,-10,7,-7,-31,10,14,-39,-33,-43,-47,216
3,-14,37,-1,-32,0,0,-36,-24,-15,-2,14,4,17,-4,-22,22,34,-29,-8,-25,-39,223
-1,-17,35,4,-34,10,4,-20,-21,-20,-8,5,14,19,-6,-16,23,46,-21,14,-16,-38,234
-14,-27,23,-3,-35,13,-1,-11,-17,-29,-22,-11,16,10,-17,-17,12,48,-18,28,-19,-46,245
-30,-37,10,-14,-35,13,-11,-6,-10,-41,-39,-21,12,-7,-30,-21,-5,44,-19,35,-28,-52,254
-42,-42,1,-17,-30,15,-16,1,0,-48,-52,-20,8,-23,-40,-21,-16,41,-24,39,-33,-49,265
-44,-39,-4,-11,-21,21,-14,13,14,-49,-59,-12,6,-34,-44,-18,-20,40,-28,39,-30,-35,279
-39,-29,-9,4,-10,29,-5,26,33,-43,-58,-4,4,-37,-42,-11,-16,38,-28,34,-22,-16,291
-27,-13,-14,21,0,38,6,36,53,-31,-49,-2,3,-34,-34,-1,-5,35,-20,24,-13,1,301
-13,2,-19,35,9,44,15,41,67,-16,-35,-6,3,-26,-23,11,7,28,-3,12,-5,12,310
0,13,-25,42,17,45,12,40,72,-2,-22,-13,-1,-18,-12,21,14,18,18,-3,2,16,321
10,17,-31,42,25,40,-2,34,65,8,-12,-19,-13,-15,-3,27,11,5,37,-19,6,16,335
13,17,-32,36,30,30,-24,24,49,12,-7,-20,-31,-15,3,27,2,-9,46,-34,9,13,355
10,10,-30,23,29,13,-47,11,26,9,-7,-21,-52,-19,5,20,-10,-26,45,-45,8,7,382
3,-3,-28,3,22,-12,-66,-5,-3,1,-12,-27,-72,-23,1,3,-28,-48,32,-56,3,-5,413
-8,-18,-32,-22,9,-42,-79,-26,-34,-6,-21,-37,-88,-27,-11,-21,-49,-71,12,-68,-7,-22,444
-18,-34,-38,-48,-8,-70,-84,-50,-63,-8,-32,-48,-98,-30,-26,-46,-66,-86,-9,-76,-22,-40,470
-24,-44,-41,-68,-23,-91,-85,-72,-88,-6,-38,-52,-97,-29,-38,-64,-76,-87,-23,-79,-39,-50,491
-25,-49,-41,-78,-33,-99,-83,-88,-108,-4,-41,-48,-89,-26,-47,-73,-76,-74,-30,-74,-52,-52,507
-25,-47,-38,-80,-40,-94,-81,-98,-121,-4,-41,-36,-80,-22,-50,-73,-68,-54,-37,-66,-58,-46,526
-27,-42,-33,-76,-47,-82,-81,-99,-126,-9,-40,-20,-72,-18,-50,-70,-55,-34,-47,-56,-59,-37,552
-31,-37,-29,-70,-56,-68,-83,-93,-124,-18,-40,-5,-67,-15,-47,-66,-39,-22,-59,-48,-59,-32,589
-36,-33,-26,-66,-68,-59,-87,-82,-117,-31,-39,2,-61,-12,-46,-66,-27,-21,-72,-42,-59,-33,633
-39,-30,-28,-63,-83,-53,-89,-69,-104,-41,-38,3,-52,-12,-46,-68,-21,-24,-84,-37,-59,-39,679
-40,-27,-29,-59,-93,-47,-85,-53,-85,-46,-36,0,-39,-11,-45,-68,-19,-21,-86,-29,-57,-43,724
-40,-21,-26,-51,-94,-37,-73,-33,-66,-48,-35,-5,-22,-11,-39,-59,-15,-10,-76,-17,-54,-42,763
-38,-15,-17,-40,-83,-20,-57,-13,-47,-50,-35,-12,-5,-13,-33,-43,-10,5,-57,-2,-49,-39,795
-37,-10,-7,-25,-62,2,-38,4,-29,-51,-36,-18,8,-15,-28,-24,-6,17,-36,15,-37,-34,820
-34,-6,3,-7,-35,24,-19,19,-10,-50,-36,-18,17,-15,-21,-5,-2,24,-15,29,-19,-26,843
-27,-3,12,12,-6,38,-4,32,11,-47,-34,-12,24,-14,-12,13,2,26,8,38,3,-15,867
-16,3,19,28,20,41,7,44,32,-42,-26,-4,29,-11,-2,28,5,26,32,43,25,-1,890
-3,9,21,40,39,35,19,53,52,-33,-14,3,33,-7,10,39,6,24,51,46,43,15,908
10,17,19,47,51,27,30,58,68,-21,-2,5,36,-3,24,47,9,24,63,46,53,27,918
21,24,14,49,57,22,38,59,74,-8,6,1,36,0,36,51,10,20,68,42,56,30,918
27,27,8,48,58,22,42,53,69,5,12,-10,30,3,44,49,10,9,64,32,51,25,906
30,27,3,49,53,25,43,38,58,17,15,-22,17,6,47,42,6,-9,51,16,44,13,886
32,26,0,51,43,27,39,17,42,27,18,-29,1,11,48,32,2,-27,33,-5,39,-1,854
36,25,1,52,31,24,29,-3,25,32,21,-26,-14,20,48,23,-2,-40,18,-27,36,-9,807
37,23,3,46,16,14,16,-18,7,31,25,-17,-28,27,46,16,-5,-45,12,-50,30,-11,741
35,19,3,32,-2,-1,0,-33,-11,23,30,-5,-43,29,39,14,-6,-45,9,-72,20,-13,653
30,12,2,12,-22,-12,-16,-47,-27,12,33,7,-55,27,28,14,-9,-40,6,-91,5,-18,543
24,5,1,-5,-36,-18,-30,-57,-40,5,36,18,-61,22,17,14,-10,-32,2,-101,-9,-26,413
22,4,6,-12,-42,-16,-36,-59,-45,7,45,29,-58,21,10,15,-9,-23,0,-98,-16,-32,273
26,9,17,-2,-41,-6,-30,-54,-42,18,61,40,-45,26,10,17,-2,-9,1,-82,-11,-30,138
35,18,33,17,-35,8,-16,-43,-34,32,77,49,-21,36,16,20,7,8,3,-57,2,-22,16
43,26,45,32,-26,18,-3,-30,-29,39,85,53,4,46,22,19,16,25,7,-30,13,-12,-90
44,26,47,32,-22,21,1,-20,-29,32,78,51,22,46,21,10,20,33,11,-11,13,-8,-179
32,14,39,17,-29,17,-3,-19,-34,9,55,41,24,32,9,-4,17,35,11,-6,2,-14,-250
