Time,T4
0.0,183
0.00390625,191
0.0078125,195
0.01171875,193
0.015625,185
0.01953125,176
0.0234375,172
0.02734375,171
0.03125,170
0.03515625,165
0.0390625,150
0.04296875,126
0.046875,96
0.05078125,64
0.0546875,35
0.05859375,12
0.0625,0
0.06640625,-2
0.0703125,0
0.07421875,6
0.078125,14
0.08203125,20
0.0859375,23
0.08984375,26
0.09375,30
0.09765625,31
0.1015625,27
0.10546875,17
0.109375,3
0.11328125,-9
0.1171875,-19
0.12109375,-25
0.125,-31
0.12890625,-39
0.1328125,-50
0.13671875,-63
0.140625,-74
0.14453125,-79
0.1484375,-78
0.15234375,-71
0.15625,-60
0.16015625,-49
0.1640625,-40
0.16796875,-33
0.171875,-24
0.17578125,-13
0.1796875,-4
0.18359375,-1
0.1875,-6
0.19140625,-17
0.1953125,-35
0.19921875,-53
0.203125,-67
0.20703125,-71
0.2109375,-67
0.21484375,-63
0.21875,-64
0.22265625,-72
0.2265625,-84
0.23046875,-93
0.234375,-92
0.23828125,-78
0.2421875,-51
0.24609375,-17
0.25,17
0.25390625,48
0.2578125,75
0.26171875,99
0.265625,119
0.26953125,136
0.2734375,149
0.27734375,157
0.28125,160
0.28515625,159
0.2890625,153
0.29296875,142
0.296875,129
0.30078125,114
0.3046875,101
0.30859375,90
0.3125,83
0.31640625,79
0.3203125,77
0.32421875,76
0.328125,78
0.33203125,84
0.3359375,92
0.33984375,103
0.34375,119
0.34765625,135
0.3515625,147
0.35546875,153
0.359375,155
0.36328125,153
0.3671875,145
0.37109375,131
0.375,113
0.37890625,95
0.3828125,80
0.38671875,70
0.390625,64
0.39453125,61
0.3984375,56
0.40234375,49
0.40625,40
0.41015625,33
0.4140625,31
0.41796875,39
0.421875,54
0.42578125,70
0.4296875,85
0.43359375,98
0.4375,109
0.44140625,113
0.4453125,107
0.44921875,93
0.453125,77
0.45703125,63
0.4609375,52
0.46484375,46
0.46875,43
0.47265625,35
0.4765625,14
0.48046875,-20
0.484375,-58
0.48828125,-91
0.4921875,-116
0.49609375,-132
0.5,-141
