Time,T4
0.0,-24
0.00390625,-24
0.0078125,-20
0.01171875,-12
0.015625,-4
0.01953125,0
0.0234375,0
0.02734375,-3
0.03125,-6
0.03515625,-9
0.0390625,-11
0.04296875,-13
0.046875,-14
0.05078125,-15
0.0546875,-15
0.05859375,-14
0.0625,-13
0.06640625,-14
0.0703125,-19
0.07421875,-24
0.078125,-25
0.08203125,-21
0.0859375,-15
0.08984375,-8
0.09375,-5
0.09765625,-4
0.1015625,-5
0.10546875,-3
0.109375,3
0.11328125,11
0.1171875,18
0.12109375,25
0.125,28
0.12890625,24
0.1328125,16
0.13671875,5
0.140625,-7
0.14453125,-19
0.1484375,-27
0.15234375,-29
0.15625,-27
0.16015625,-21
0.1640625,-13
0.16796875,-2
0.171875,9
0.17578125,16
0.1796875,19
0.18359375,16
0.1875,8
0.19140625,-2
0.1953125,-8
0.19921875,-9
0.203125,-11
0.20703125,-15
0.2109375,-20
0.21484375,-25
0.21875,-29
0.22265625,-31
0.2265625,-29
0.23046875,-26
0.234375,-24
0.23828125,-22
0.2421875,-17
0.24609375,-10
0.25,-3
0.25390625,0
0.2578125,-3
0.26171875,-10
0.265625,-16
0.26953125,-19
0.2734375,-19
0.27734375,-14
0.28125,-8
0.28515625,-3
0.2890625,2
0.29296875,5
0.296875,9
0.30078125,12
0.3046875,13
0.30859375,9
0.3125,4
0.31640625,-3
0.3203125,-9
0.32421875,-13
0.328125,-15
0.33203125,-12
0.3359375,-8
0.33984375,-7
0.34375,-9
0.34765625,-14
0.3515625,-20
0.35546875,-25
0.359375,-27
0.36328125,-24
0.3671875,-17
0.37109375,-9
0.375,-3
0.37890625,0
0.3828125,-1
0.38671875,-6
0.390625,-13
0.39453125,-24
0.3984375,-34
0.40234375,-44
0.40625,-51
0.41015625,-56
0.4140625,-58
0.41796875,-54
0.421875,-45
0.42578125,-35
0.4296875,-24
0.43359375,-16
0.4375,-13
0.44140625,-15
0.4453125,-19
0.44921875,-23
0.453125,-24
0.45703125,-20
0.4609375,-15
0.46484375,-10
0.46875,-5
0.47265625,-3
0.4765625,-3
0.48046875,-5
0.484375,-6
0.48828125,-5
0.4921875,-2
0.49609375,3
0.5,7
0.50390625,9
0.5078125,10
0.51171875,6
0.515625,-3
0.51953125,-12
0.5234375,-17
0.52734375,-19
0.53125,-19
