Time,O2
0.0,-24
0.00390625,-11
0.0078125,-1
0.01171875,5
0.015625,9
0.01953125,14
0.0234375,21
0.02734375,29
0.03125,36
0.03515625,41
0.0390625,38
0.04296875,18
0.046875,-13
0.05078125,-44
0.0546875,-64
0.05859375,-74
0.0625,-74
0.06640625,-66
0.0703125,-50
0.07421875,-30
0.078125,-9
0.08203125,6
0.0859375,14
0.08984375,16
0.09375,17
0.09765625,14
0.1015625,9
0.10546875,4
0.109375,-2
0.11328125,-11
0.1171875,-26
0.12109375,-41
0.125,-52
0.12890625,-52
0.1328125,-43
0.13671875,-30
0.140625,-18
0.14453125,-10
0.1484375,-9
0.15234375,-16
0.15625,-28
0.16015625,-38
0.1640625,-41
0.16796875,-36
0.171875,-26
0.17578125,-9
0.1796875,10
0.18359375,22
0.1875,21
0.19140625,14
0.1953125,10
0.19921875,13
0.203125,20
0.20703125,24
0.2109375,21
0.21484375,8
0.21875,-15
0.22265625,-39
0.2265625,-54
0.23046875,-55
0.234375,-43
0.23828125,-21
0.2421875,3
0.24609375,22
0.25,30
0.25390625,26
0.2578125,10
0.26171875,-14
0.265625,-38
0.26953125,-53
0.2734375,-56
0.27734375,-49
0.28125,-33
0.28515625,-11
0.2890625,10
0.29296875,22
0.296875,27
0.30078125,25
0.3046875,19
0.30859375,10
0.3125,2
0.31640625,-7
0.3203125,-16
0.32421875,-20
0.328125,-22
0.33203125,-24
0.3359375,-27
0.33984375,-27
0.34375,-25
0.34765625,-25
0.3515625,-22
0.35546875,-15
0.359375,-5
0.36328125,1
0.3671875,7
0.37109375,18
0.375,31
0.37890625,35
0.3828125,31
0.38671875,22
0.390625,15
0.39453125,11
0.3984375,13
0.40234375,21
0.40625,31
0.41015625,32
0.4140625,22
0.41796875,6
0.421875,-11
0.42578125,-23
0.4296875,-25
0.43359375,-17
0.4375,-4
0.44140625,5
0.4453125,6
0.44921875,4
0.453125,-3
0.45703125,-13
0.4609375,-22
0.46484375,-23
0.46875,-23
0.47265625,-29
0.4765625,-38
0.48046875,-45
0.484375,-52
0.48828125,-62
0.4921875,-69
0.49609375,-66
0.5,-52
0.50390625,-32
0.5078125,-12
0.51171875,2
0.515625,6
0.51953125,0
0.5234375,-12
0.52734375,-21
0.53125,-20
0.53515625,-6
0.5390625,14
0.54296875,31
0.546875,34
0.55078125,19
0.5546875,-8
0.55859375,-34
0.5625,-48
0.56640625,-43
0.5703125,-19
0.57421875,8
0.578125,21
0.58203125,12
0.5859375,-9
0.58984375,-29
0.59375,-40
0.59765625,-43
0.6015625,-38
0.60546875,-29
0.609375,-19
0.61328125,-7
0.6171875,7
0.62109375,27
0.625,50
0.62890625,69
0.6328125,79
0.63671875,81
0.640625,76
0.64453125,65
0.6484375,52
0.65234375,40
0.65625,27
0.66015625,12
0.6640625,-5
0.66796875,-21
0.671875,-35
0.67578125,-46
0.6796875,-52
0.68359375,-52
0.6875,-47
0.69140625,-36
0.6953125,-20
0.69921875,0
0.703125,17
0.70703125,29
0.7109375,33
0.71484375,33
0.71875,31
0.72265625,34
0.7265625,40
0.73046875,42
0.734375,32
0.73828125,14
0.7421875,-2
0.74609375,-6
0.75,2
0.75390625,17
0.7578125,30
0.76171875,32
0.765625,20
0.76953125,0
0.7734375,-19
0.77734375,-28
0.78125,-26
0.78515625,-15
0.7890625,2
0.79296875,26
0.796875,48
0.80078125,61
0.8046875,59
0.80859375,49
0.8125,33
0.81640625,21
0.8203125,21
0.82421875,32
0.828125,44
0.83203125,46
0.8359375,38
0.83984375,22
0.84375,7
0.84765625,-1
0.8515625,0
0.85546875,10
0.859375,22
0.86328125,33
0.8671875,37
0.87109375,36
0.875,32
0.87890625,30
0.8828125,35
0.88671875,53
0.890625,82
0.89453125,114
0.8984375,133
0.90234375,127
0.90625,98
0.91015625,62
0.9140625,34
0.91796875,24
0.921875,30
0.92578125,42
0.9296875,48
0.93359375,40
0.9375,23
0.94140625,2
0.9453125,-15
0.94921875,-26
0.953125,-29
0.95703125,-22
0.9609375,-5
0.96484375,19
0.96875,43
0.97265625,56
0.9765625,59
0.98046875,58
0.984375,56
0.98828125,50
0.9921875,41
0.99609375,29
1.0,15
1.00390625,2
1.0078125,-6
1.01171875,-6
1.015625,-2
1.01953125,0
1.0234375,-8
1.02734375,-22
1.03125,-35
1.03515625,-43
1.0390625,-43
1.04296875,-36
1.046875,-20
1.05078125,2
1.0546875,20
1.05859375,24
1.0625,12
1.06640625,-1
1.0703125,-5
1.07421875,-2
1.078125,6
1.08203125,18
1.0859375,27
1.08984375,24
1.09375,14
1.09765625,5
1.1015625,-1
1.10546875,-6
1.109375,-14
1.11328125,-26
1.1171875,-42
1.12109375,-58
1.125,-67
1.12890625,-66
1.1328125,-57
1.13671875,-37
1.140625,-12
1.14453125,10
1.1484375,20
1.15234375,19
1.15625,14
1.16015625,13
1.1640625,21
1.16796875,35
