Time,F8
0.0,-6
0.00390625,1
0.0078125,7
0.01171875,15
0.015625,24
0.01953125,32
0.0234375,40
0.02734375,51
0.03125,56
0.03515625,52
0.0390625,45
0.04296875,42
0.046875,43
0.05078125,47
0.0546875,54
0.05859375,65
0.0625,74
0.06640625,76
0.0703125,69
0.07421875,56
0.078125,45
0.08203125,41
0.0859375,46
0.08984375,56
0.09375,62
0.09765625,62
0.1015625,56
0.10546875,52
0.109375,52
0.11328125,53
0.1171875,56
0.12109375,58
0.125,58
0.12890625,52
0.1328125,46
0.13671875,41
0.140625,33
0.14453125,17
0.1484375,-3
0.15234375,-19
0.15625,-24
0.16015625,-17
0.1640625,-1
0.16796875,21
0.171875,42
0.17578125,55
0.1796875,57
0.18359375,50
0.1875,41
0.19140625,36
0.1953125,33
0.19921875,29
0.203125,22
0.20703125,11
0.2109375,1
0.21484375,-5
0.21875,-4
0.22265625,2
0.2265625,15
0.23046875,31
0.234375,46
0.23828125,57
0.2421875,63
0.24609375,63
0.25,57
0.25390625,47
0.2578125,36
0.26171875,28
0.265625,22
0.26953125,17
0.2734375,14
0.27734375,15
0.28125,19
0.28515625,23
0.2890625,23
0.29296875,15
0.296875,2
0.30078125,-12
0.3046875,-24
0.30859375,-31
0.3125,-27
0.31640625,-9
0.3203125,17
0.32421875,39
0.328125,54
0.33203125,60
0.3359375,58
0.33984375,49
0.34375,38
0.34765625,30
0.3515625,23
0.35546875,14
0.359375,5
0.36328125,-2
0.3671875,-6
0.37109375,-9
0.375,-14
0.37890625,-26
0.3828125,-43
0.38671875,-63
0.390625,-78
0.39453125,-85
0.3984375,-86
0.40234375,-79
0.40625,-66
0.41015625,-49
0.4140625,-34
0.41796875,-18
0.421875,-1
0.42578125,14
0.4296875,24
0.43359375,28
0.4375,28
0.44140625,23
0.4453125,13
0.44921875,0
0.453125,-17
0.45703125,-37
0.4609375,-56
0.46484375,-70
0.46875,-78
0.47265625,-82
0.4765625,-77
0.48046875,-68
0.484375,-60
0.48828125,-55
0.4921875,-45
0.49609375,-29
0.5,-9
0.50390625,8
0.5078125,20
0.51171875,21
0.515625,11
0.51953125,-3
0.5234375,-11
0.52734375,-10
0.53125,-3
0.53515625,1
0.5390625,-5
0.54296875,-24
0.546875,-49
0.55078125,-69
0.5546875,-74
0.55859375,-67
0.5625,-56
0.56640625,-49
0.5703125,-44
0.57421875,-45
0.578125,-53
0.58203125,-63
0.5859375,-69
0.58984375,-68
0.59375,-64
0.59765625,-58
0.6015625,-48
0.60546875,-36
0.609375,-26
0.61328125,-21
0.6171875,-21
0.62109375,-24
0.625,-29
0.62890625,-36
0.6328125,-41
0.63671875,-41
0.640625,-41
0.64453125,-46
0.6484375,-55
0.65234375,-63
0.65625,-65
0.66015625,-62
0.6640625,-53
0.66796875,-43
0.671875,-38
0.67578125,-38
0.6796875,-39
0.68359375,-35
0.6875,-25
0.69140625,-13
