Time,F8
0.0,-69
0.00390625,-53
0.0078125,-33
0.01171875,-12
0.015625,10
0.01953125,38
0.0234375,66
0.02734375,90
0.03125,108
0.03515625,126
0.0390625,139
0.04296875,137
0.046875,120
0.05078125,91
0.0546875,55
0.05859375,19
0.0625,-7
0.06640625,-17
0.0703125,-21
0.07421875,-34
0.078125,-58
0.08203125,-89
0.0859375,-119
0.08984375,-138
0.09375,-132
0.09765625,-101
0.1015625,-58
0.10546875,-13
0.109375,29
0.11328125,60
0.1171875,75
0.12109375,81
0.125,83
0.12890625,83
0.1328125,80
0.13671875,73
0.140625,57
0.14453125,27
0.1484375,-14
0.15234375,-60
0.15625,-103
0.16015625,-134
0.1640625,-142
0.16796875,-129
0.171875,-101
0.17578125,-68
0.1796875,-38
0.18359375,-15
0.1875,3
0.19140625,23
0.1953125,49
0.19921875,78
0.203125,105
0.20703125,124
0.2109375,130
0.21484375,122
0.21875,103
0.22265625,74
0.2265625,38
0.23046875,-3
0.234375,-45
0.23828125,-78
0.2421875,-97
0.24609375,-103
0.25,-99
0.25390625,-88
0.2578125,-78
0.26171875,-75
0.265625,-77
0.26953125,-78
0.2734375,-73
0.27734375,-61
0.28125,-38
0.28515625,-8
0.2890625,20
0.29296875,38
0.296875,48
0.30078125,57
0.3046875,69
0.30859375,78
0.3125,76
0.31640625,56
0.3203125,15
0.32421875,-40
0.328125,-96
0.33203125,-136
0.3359375,-155
0.33984375,-158
0.34375,-154
0.34765625,-149
0.3515625,-143
0.35546875,-129
0.359375,-105
0.36328125,-77
0.3671875,-50
0.37109375,-29
0.375,-16
0.37890625,-11
0.3828125,-5
0.38671875,12
0.390625,34
0.39453125,46
0.3984375,44
0.40234375,28
0.40625,2
0.41015625,-21
0.4140625,-32
0.41796875,-35
0.421875,-42
0.42578125,-61
0.4296875,-88
0.43359375,-115
0.4375,-134
0.44140625,-135
0.4453125,-117
0.44921875,-90
0.453125,-63
0.45703125,-38
0.4609375,-15
0.46484375,3
0.46875,14
0.47265625,20
0.4765625,23
0.48046875,25
0.484375,30
0.48828125,40
0.4921875,46
0.49609375,43
0.5,27
0.50390625,4
0.5078125,-22
0.51171875,-46
0.515625,-62
0.51953125,-69
0.5234375,-74
0.52734375,-80
0.53125,-85
0.53515625,-85
0.5390625,-79
0.54296875,-63
0.546875,-37
0.55078125,-3
0.5546875,31
0.55859375,58
0.5625,68
0.56640625,58
0.5703125,32
0.57421875,1
0.578125,-27
0.58203125,-44
0.5859375,-45
0.58984375,-34
0.59375,-25
0.59765625,-27
0.6015625,-47
0.60546875,-80
0.609375,-118
0.61328125,-148
0.6171875,-159
0.62109375,-151
0.625,-131
0.62890625,-111
0.6328125,-93
0.63671875,-77
0.640625,-58
0.64453125,-30
0.6484375,3
0.65234375,31
0.65625,43
0.66015625,38
0.6640625,21
0.66796875,-4
0.671875,-28
0.67578125,-42
0.6796875,-41
0.68359375,-30
0.6875,-23
0.69140625,-26
0.6953125,-41
0.69921875,-64
0.703125,-87
0.70703125,-103
0.7109375,-102
0.71484375,-84
0.71875,-57
0.72265625,-31
0.7265625,-5
0.73046875,24
0.734375,51
