Time,T5
0.0,-8
0.00390625,-14
0.0078125,-22
0.01171875,-28
0.015625,-30
0.01953125,-29
0.0234375,-30
0.02734375,-30
0.03125,-27
0.03515625,-18
0.0390625,-12
0.04296875,-17
0.046875,-29
0.05078125,-41
0.0546875,-48
0.05859375,-47
0.0625,-37
0.06640625,-18
0.0703125,6
0.07421875,28
0.078125,45
0.08203125,54
0.0859375,50
0.08984375,35
0.09375,14
0.09765625,-7
0.1015625,-27
0.10546875,-43
0.109375,-56
0.11328125,-68
0.1171875,-82
0.12109375,-99
0.125,-111
0.12890625,-111
0.1328125,-97
0.13671875,-74
0.140625,-45
0.14453125,-14
0.1484375,12
0.15234375,26
0.15625,32
0.16015625,32
0.1640625,31
0.16796875,29
0.171875,28
0.17578125,26
0.1796875,22
0.18359375,13
0.1875,0
0.19140625,-14
0.1953125,-21
0.19921875,-21
0.203125,-21
0.20703125,-27
0.2109375,-38
0.21484375,-53
0.21875,-67
0.22265625,-78
0.2265625,-77
0.23046875,-61
0.234375,-35
0.23828125,-4
0.2421875,27
0.24609375,52
0.25,64
0.25390625,62
0.2578125,49
0.26171875,29
0.265625,12
0.26953125,2
0.2734375,-2
0.27734375,-6
0.28125,-8
0.28515625,-7
0.2890625,-6
0.29296875,-10
0.296875,-19
0.30078125,-30
0.3046875,-40
0.30859375,-46
0.3125,-46
0.31640625,-42
0.3203125,-30
0.32421875,-10
0.328125,8
0.33203125,21
0.3359375,30
0.33984375,35
0.34375,34
0.34765625,25
0.3515625,16
0.35546875,11
0.359375,9
0.36328125,4
0.3671875,-2
0.37109375,-1
0.375,7
0.37890625,12
0.3828125,9
0.38671875,3
0.390625,-4
0.39453125,-9
0.3984375,-9
0.40234375,-4
0.40625,6
0.41015625,13
0.4140625,10
0.41796875,-1
0.421875,-13
0.42578125,-17
0.4296875,-10
0.43359375,5
0.4375,22
0.44140625,32
0.4453125,32
0.44921875,23
0.453125,9
0.45703125,-5
0.4609375,-13
0.46484375,-15
0.46875,-18
0.47265625,-29
0.4765625,-47
0.48046875,-65
0.484375,-77
0.48828125,-86
0.4921875,-85
0.49609375,-71
0.5,-45
0.50390625,-15
0.5078125,12
0.51171875,31
0.515625,42
0.51953125,44
0.5234375,41
0.52734375,34
0.53125,27
0.53515625,24
0.5390625,26
0.54296875,25
0.546875,17
0.55078125,0
0.5546875,-26
0.55859375,-56
0.5625,-82
0.56640625,-91
0.5703125,-79
0.57421875,-53
0.578125,-30
0.58203125,-18
0.5859375,-16
0.58984375,-16
0.59375,-13
0.59765625,-8
0.6015625,-2
0.60546875,3
0.609375,9
0.61328125,16
0.6171875,22
0.62109375,29
0.625,38
0.62890625,44
0.6328125,43
0.63671875,38
0.640625,29
0.64453125,15
0.6484375,-5
0.65234375,-28
0.65625,-49
0.66015625,-65
0.6640625,-75
0.66796875,-75
0.671875,-68
0.67578125,-56
0.6796875,-39
