Time,T5
0.0,34
0.00390625,41
0.0078125,43
0.01171875,41
0.015625,37
0.01953125,29
0.0234375,20
0.02734375,12
0.03125,5
0.03515625,-2
0.0390625,-11
0.04296875,-19
0.046875,-26
0.05078125,-33
0.0546875,-37
0.05859375,-36
0.0625,-31
0.06640625,-23
0.0703125,-17
0.07421875,-14
0.078125,-10
0.08203125,-3
0.0859375,7
0.08984375,16
0.09375,23
0.09765625,22
0.1015625,12
0.10546875,2
0.109375,-3
0.11328125,-2
0.1171875,3
0.12109375,10
0.125,15
0.12890625,12
0.1328125,-1
0.13671875,-19
0.140625,-38
0.14453125,-52
0.1484375,-60
0.15234375,-56
0.15625,-43
0.16015625,-27
0.1640625,-14
0.16796875,-7
0.171875,-3
0.17578125,4
0.1796875,14
0.18359375,27
0.1875,39
0.19140625,48
0.1953125,48
0.19921875,41
0.203125,28
0.20703125,17
0.2109375,10
0.21484375,8
0.21875,8
0.22265625,7
0.2265625,5
0.23046875,-1
0.234375,-13
0.23828125,-30
0.2421875,-46
0.24609375,-56
0.25,-56
0.25390625,-44
0.2578125,-19
0.26171875,12
0.265625,40
0.26953125,56
0.2734375,61
0.27734375,60
0.28125,55
0.28515625,45
0.2890625,30
0.29296875,15
0.296875,2
0.30078125,-10
0.3046875,-19
0.30859375,-28
0.3125,-38
0.31640625,-53
0.3203125,-67
0.32421875,-71
0.328125,-61
0.33203125,-40
0.3359375,-13
0.33984375,10
0.34375,19
0.34765625,16
0.3515625,11
0.35546875,10
0.359375,11
0.36328125,14
0.3671875,17
0.37109375,15
0.375,7
0.37890625,-4
0.3828125,-12
0.38671875,-16
0.390625,-16
0.39453125,-17
0.3984375,-18
0.40234375,-18
0.40625,-15
0.41015625,-9
0.4140625,1
0.41796875,12
0.421875,19
0.42578125,17
0.4296875,11
0.43359375,2
0.4375,-6
0.44140625,-8
0.4453125,-5
0.44921875,2
0.453125,6
0.45703125,5
0.4609375,0
0.46484375,-6
0.46875,-13
0.47265625,-21
0.4765625,-29
0.48046875,-33
0.484375,-35
0.48828125,-35
0.4921875,-36
0.49609375,-35
0.5,-30
0.50390625,-25
0.5078125,-19
0.51171875,-11
0.515625,2
0.51953125,14
0.5234375,23
0.52734375,29
0.53125,34
0.53515625,37
0.5390625,39
0.54296875,41
0.546875,45
0.55078125,48
0.5546875,47
0.55859375,42
0.5625,35
0.56640625,28
0.5703125,19
0.57421875,11
0.578125,6
0.58203125,-1
0.5859375,-16
0.58984375,-36
0.59375,-53
