Time,OZ
0.0,-22
0.00390625,-27
0.0078125,-30
0.01171875,-30
0.015625,-28
0.01953125,-23
0.0234375,-17
0.02734375,-10
0.03125,-1
0.03515625,11
0.0390625,23
0.04296875,29
0.046875,30
0.05078125,26
0.0546875,18
0.05859375,10
0.0625,5
0.06640625,6
0.0703125,9
0.07421875,10
0.078125,10
0.08203125,8
0.0859375,5
0.08984375,2
0.09375,3
0.09765625,4
0.1015625,3
0.10546875,2
0.109375,1
0.11328125,2
0.1171875,2
0.12109375,3
0.125,4
0.12890625,4
0.1328125,0
0.13671875,-6
0.140625,-12
0.14453125,-17
0.1484375,-21
0.15234375,-23
0.15625,-21
0.16015625,-17
0.1640625,-13
0.16796875,-8
0.171875,-1
0.17578125,6
0.1796875,13
0.18359375,18
0.1875,24
0.19140625,28
0.1953125,31
0.19921875,32
0.203125,31
0.20703125,27
0.2109375,23
0.21484375,24
0.21875,27
0.22265625,31
0.2265625,30
0.23046875,24
0.234375,11
0.23828125,-5
0.2421875,-15
0.24609375,-18
0.25,-13
0.25390625,-3
0.2578125,8
0.26171875,16
0.265625,22
0.26953125,25
0.2734375,25
0.27734375,23
0.28125,19
0.28515625,16
0.2890625,14
0.29296875,15
0.296875,17
0.30078125,20
0.3046875,21
0.30859375,20
0.3125,17
0.31640625,15
0.3203125,16
0.32421875,17
0.328125,15
0.33203125,10
0.3359375,5
0.33984375,0
0.34375,-2
0.34765625,2
0.3515625,11
0.35546875,16
0.359375,15
0.36328125,10
0.3671875,3
0.37109375,-1
0.375,0
0.37890625,7
0.3828125,17
0.38671875,27
0.390625,33
0.39453125,36
0.3984375,36
0.40234375,31
0.40625,24
0.41015625,16
0.4140625,8
0.41796875,2
0.421875,-4
0.42578125,-7
0.4296875,-8
0.43359375,-10
0.4375,-12
0.44140625,-14
0.4453125,-14
0.44921875,-12
0.453125,-9
0.45703125,-6
0.4609375,-4
0.46484375,-2
0.46875,0
0.47265625,3
0.4765625,6
0.48046875,7
0.484375,3
0.48828125,-7
0.4921875,-17
0.49609375,-23
0.5,-23
0.50390625,-19
0.5078125,-14
0.51171875,-11
0.515625,-13
0.51953125,-15
0.5234375,-16
0.52734375,-15
0.53125,-14
0.53515625,-14
0.5390625,-16
0.54296875,-17
0.546875,-15
0.55078125,-10
0.5546875,-5
0.55859375,-2
0.5625,0
0.56640625,3
0.5703125,6
0.57421875,10
0.578125,14
0.58203125,14
0.5859375,8
0.58984375,-1
0.59375,-6
0.59765625,-8
0.6015625,-6
0.60546875,-4
0.609375,-2
0.61328125,-1
0.6171875,-2
0.62109375,-2
0.625,2
0.62890625,8
0.6328125,12
0.63671875,11
0.640625,8
0.64453125,4
0.6484375,3
0.65234375,6
0.65625,12
0.66015625,15
0.6640625,13
0.66796875,5
0.671875,-7
0.67578125,-20
0.6796875,-28
0.68359375,-29
0.6875,-24
0.69140625,-16
0.6953125,-8
0.69921875,-3
0.703125,0
0.70703125,3
0.7109375,6
0.71484375,8
0.71875,10
0.72265625,13
0.7265625,19
0.73046875,28
0.734375,39
0.73828125,49
0.7421875,56
0.74609375,57
0.75,51
0.75390625,43
0.7578125,36
0.76171875,32
0.765625,27
0.76953125,23
0.7734375,20
0.77734375,21
0.78125,24
0.78515625,31
0.7890625,38
0.79296875,40
0.796875,37
0.80078125,33
0.8046875,31
0.80859375,32
0.8125,37
0.81640625,43
0.8203125,47
0.82421875,43
0.828125,33
0.83203125,21
0.8359375,11
0.83984375,4
0.84375,-1
0.84765625,-7
0.8515625,-14
0.85546875,-23
0.859375,-30
0.86328125,-31
0.8671875,-25
0.87109375,-15
0.875,-5
0.87890625,0
0.8828125,-4
0.88671875,-12
0.890625,-18
0.89453125,-17
0.8984375,-8
0.90234375,4
0.90625,17
0.91015625,25
0.9140625,26
0.91796875,22
0.921875,15
0.92578125,6
0.9296875,-5
0.93359375,-18
0.9375,-32
0.94140625,-44
0.9453125,-52
0.94921875,-56
0.953125,-56
0.95703125,-51
0.9609375,-45
0.96484375,-37
0.96875,-27
0.97265625,-16
0.9765625,-4
0.98046875,5
0.984375,12
0.98828125,14
0.9921875,13
0.99609375,9
1.0,6
1.00390625,2
1.0078125,-1
1.01171875,-2
1.015625,0
1.01953125,0
1.0234375,-1
1.02734375,-5
1.03125,-10
