Time,OZ
0.0,79
0.00390625,52
0.0078125,25
0.01171875,1
0.015625,-15
0.01953125,-23
0.0234375,-32
0.02734375,-44
0.03125,-58
0.03515625,-69
0.0390625,-75
0.04296875,-75
0.046875,-65
0.05078125,-46
0.0546875,-21
0.05859375,6
0.0625,27
0.06640625,36
0.0703125,35
0.07421875,34
0.078125,36
0.08203125,41
0.0859375,46
0.08984375,52
0.09375,53
0.09765625,38
0.1015625,3
0.10546875,-46
0.109375,-92
0.11328125,-125
0.1171875,-138
0.12109375,-129
0.125,-102
0.12890625,-71
0.1328125,-51
0.13671875,-43
0.140625,-34
0.14453125,-13
0.1484375,17
0.15234375,49
0.15625,81
0.16015625,105
0.1640625,114
0.16796875,108
0.171875,90
0.17578125,65
0.1796875,43
0.18359375,31
0.1875,25
0.19140625,19
0.1953125,8
0.19921875,-15
0.203125,-51
0.20703125,-92
0.2109375,-123
0.21484375,-138
0.21875,-129
0.22265625,-97
0.2265625,-49
0.23046875,2
0.234375,46
0.23828125,78
0.2421875,101
0.24609375,113
0.25,118
0.25390625,118
0.2578125,112
0.26171875,96
0.265625,69
0.26953125,39
0.2734375,15
0.27734375,0
0.28125,-10
0.28515625,-16
0.2890625,-19
0.29296875,-21
0.296875,-25
0.30078125,-30
0.3046875,-31
0.30859375,-30
0.3125,-22
0.31640625,-8
0.3203125,12
0.32421875,34
0.328125,58
0.33203125,83
0.3359375,102
0.33984375,109
0.34375,103
0.34765625,84
0.3515625,57
0.35546875,31
0.359375,13
0.36328125,8
0.3671875,14
0.37109375,23
0.375,23
0.37890625,14
0.3828125,0
0.38671875,-15
0.390625,-27
0.39453125,-29
0.3984375,-21
0.40234375,-9
0.40625,-7
0.41015625,-14
0.4140625,-21
0.41796875,-18
0.421875,1
0.42578125,35
0.4296875,78
0.43359375,112
0.4375,121
0.44140625,104
0.4453125,78
0.44921875,51
0.453125,25
0.45703125,-2
0.4609375,-29
0.46484375,-54
0.46875,-74
0.47265625,-84
0.4765625,-79
0.48046875,-64
0.484375,-50
0.48828125,-43
0.4921875,-36
0.49609375,-18
0.5,15
0.50390625,57
0.5078125,98
0.51171875,125
0.515625,134
0.51953125,123
0.5234375,103
0.52734375,82
0.53125,68
0.53515625,62
0.5390625,58
0.54296875,53
0.546875,44
0.55078125,32
0.5546875,20
0.55859375,9
0.5625,3
0.56640625,2
0.5703125,4
0.57421875,10
0.578125,25
0.58203125,50
0.5859375,81
0.58984375,106
0.59375,118
0.59765625,113
0.6015625,96
0.60546875,74
0.609375,63
0.61328125,70
0.6171875,89
0.62109375,103
0.625,103
0.62890625,93
0.6328125,78
0.63671875,64
0.640625,52
0.64453125,44
0.6484375,35
0.65234375,19
0.65625,-1
0.66015625,-9
0.6640625,3
0.66796875,31
0.671875,67
0.67578125,100
0.6796875,120
0.68359375,124
0.6875,115
0.69140625,102
0.6953125,90
0.69921875,84
0.703125,81
0.70703125,78
0.7109375,70
0.71484375,59
0.71875,48
0.72265625,39
0.7265625,32
0.73046875,26
0.734375,17
0.73828125,-2
0.7421875,-29
0.74609375,-54
0.75,-66
0.75390625,-63
0.7578125,-48
0.76171875,-28
0.765625,-10
0.76953125,1
0.7734375,7
0.77734375,16
0.78125,33
0.78515625,57
0.7890625,82
0.79296875,102
0.796875,111
0.80078125,110
0.8046875,103
0.80859375,95
0.8125,88
0.81640625,84
0.8203125,81
0.82421875,77
0.828125,66
0.83203125,51
0.8359375,37
0.83984375,24
0.84375,11
0.84765625,1
0.8515625,0
0.85546875,5
0.859375,16
0.86328125,35
0.8671875,63
0.87109375,95
0.875,125
0.87890625,149
0.8828125,161
0.88671875,158
0.890625,136
0.89453125,101
0.8984375,60
0.90234375,25
0.90625,1
0.91015625,-14
0.9140625,-27
0.91796875,-40
0.921875,-51
0.92578125,-60
0.9296875,-61
0.93359375,-48
0.9375,-22
0.94140625,9
0.9453125,37
0.94921875,53
0.953125,57
0.95703125,52
0.9609375,44
0.96484375,40
0.96875,45
0.97265625,58
0.9765625,71
0.98046875,70
0.984375,47
0.98828125,3
0.9921875,-43
0.99609375,-77
1.0,-82
1.00390625,-52
1.0078125,-1
1.01171875,41
1.015625,55
1.01953125,44
1.0234375,21
1.02734375,0
1.03125,-6
1.03515625,6
1.0390625,23
1.04296875,30
1.046875,28
1.05078125,30
1.0546875,42
1.05859375,58
1.0625,68
1.06640625,62
1.0703125,36
1.07421875,-5
1.078125,-48
1.08203125,-84
1.0859375,-104
1.08984375,-107
1.09375,-96
1.09765625,-77
1.1015625,-55
1.10546875,-32
1.109375,-12
1.11328125,4
1.1171875,18
1.12109375,34
1.125,52
1.12890625,66
1.1328125,70
1.13671875,62
1.140625,46
1.14453125,33
1.1484375,27
1.15234375,27
1.15625,33
1.16015625,38
1.1640625,37
1.16796875,28
1.171875,12
1.17578125,-7
1.1796875,-26
1.18359375,-44
1.1875,-59
1.19140625,-68
1.1953125,-72
1.19921875,-71
1.203125,-67
1.20703125,-60
1.2109375,-49
1.21484375,-29
1.21875,1
1.22265625,37
1.2265625,71
1.23046875,98
1.234375,113
1.23828125,115
1.2421875,108
1.24609375,99
1.25,93
1.25390625,81
1.2578125,55
1.26171875,14
1.265625,-37
1.26953125,-91
1.2734375,-130
1.27734375,-144
1.28125,-131
1.28515625,-102
1.2890625,-75
1.29296875,-60
1.296875,-49
1.30078125,-34
1.3046875,-12
1.30859375,22
1.3125,67
1.31640625,104
1.3203125,118
1.32421875,106
1.328125,79
1.33203125,40
1.3359375,-6
1.33984375,-52
1.34375,-88
1.34765625,-107
1.3515625,-108
1.35546875,-93
1.359375,-70
1.36328125,-50
1.3671875,-45
1.37109375,-52
1.375,-56
1.37890625,-46
1.3828125,-21
1.38671875,12
1.390625,42
1.39453125,59
1.3984375,60
1.40234375,50
1.40625,35
1.41015625,23
1.4140625,17
1.41796875,18
1.421875,20
1.42578125,20
1.4296875,17
1.43359375,7
1.4375,-9
1.44140625,-25
1.4453125,-35
1.44921875,-43
1.453125,-51
1.45703125,-57
1.4609375,-56
1.46484375,-45
1.46875,-27
1.47265625,-6
1.4765625,16
1.48046875,33
1.484375,43
1.48828125,47
1.4921875,49
1.49609375,50
1.5,46
1.50390625,37
1.5078125,23
1.51171875,11
1.515625,2
1.51953125,-6
1.5234375,-15
1.52734375,-23
1.53125,-28
1.53515625,-26
1.5390625,-20
1.54296875,-17
1.546875,-22
1.55078125,-33
1.5546875,-44
1.55859375,-44
1.5625,-29
1.56640625,0
1.5703125,32
1.57421875,51
1.578125,49
1.58203125,30
1.5859375,8
1.58984375,-4
1.59375,-7
1.59765625,-8
1.6015625,-17
1.60546875,-34
1.609375,-58
1.61328125,-82
1.6171875,-98
1.62109375,-100
1.625,-90
1.62890625,-77
1.6328125,-66
1.63671875,-57
1.640625,-46
1.64453125,-34
1.6484375,-27
1.65234375,-22
1.65625,-15
1.66015625,-5
1.6640625,8
1.66796875,20
1.671875,31
1.67578125,44
1.6796875,56
1.68359375,62
1.6875,59
1.69140625,47
1.6953125,29
1.69921875,8
1.703125,-9
1.70703125,-15
1.7109375,-14
1.71484375,-13
1.71875,-17
1.72265625,-29
1.7265625,-41
1.73046875,-44
1.734375,-34
1.73828125,-14
1.7421875,12
1.74609375,39
1.75,63
1.75390625,79
1.7578125,85
1.76171875,77
1.765625,58
1.76953125,30
1.7734375,1
1.77734375,-22
1.78125,-33
1.78515625,-37
1.7890625,-43
1.79296875,-54
1.796875,-68
1.80078125,-84
1.8046875,-97
1.80859375,-108
1.8125,-116
1.81640625,-121
1.8203125,-120
1.82421875,-106
1.828125,-71
1.83203125,-20
1.8359375,34
1.83984375,74
1.84375,95
1.84765625,99
1.8515625,89
1.85546875,68
1.859375,41
1.86328125,12
