Time,OZ
0.0,-21
0.00390625,-14
0.0078125,2
0.01171875,19
0.015625,33
0.01953125,44
0.0234375,53
0.02734375,63
0.03125,73
0.03515625,81
0.0390625,89
0.04296875,96
0.046875,100
0.05078125,99
0.0546875,97
0.05859375,95
0.0625,84
0.06640625,60
0.0703125,25
0.07421875,-12
0.078125,-46
0.08203125,-72
0.0859375,-85
0.08984375,-85
0.09375,-77
0.09765625,-68
0.1015625,-60
0.10546875,-53
0.109375,-42
0.11328125,-26
0.1171875,-10
0.12109375,0
0.125,5
0.12890625,8
0.1328125,16
0.13671875,27
0.140625,40
0.14453125,47
0.1484375,46
0.15234375,37
0.15625,20
0.16015625,3
0.1640625,-9
0.16796875,-20
0.171875,-37
0.17578125,-58
0.1796875,-74
0.18359375,-79
0.1875,-71
0.19140625,-51
0.1953125,-22
0.19921875,7
0.203125,28
0.20703125,33
0.2109375,23
0.21484375,6
0.21875,-4
0.22265625,1
0.2265625,22
0.23046875,50
0.234375,74
0.23828125,88
0.2421875,90
0.24609375,86
0.25,82
0.25390625,77
0.2578125,63
0.26171875,37
0.265625,3
0.26953125,-26
0.2734375,-46
0.27734375,-57
0.28125,-59
0.28515625,-52
0.2890625,-35
0.29296875,-12
0.296875,19
0.30078125,53
0.3046875,80
0.30859375,90
0.3125,82
0.31640625,68
0.3203125,56
0.32421875,51
0.328125,48
0.33203125,40
0.3359375,21
0.33984375,-6
0.34375,-38
0.34765625,-68
0.3515625,-88
0.35546875,-100
0.359375,-106
0.36328125,-111
0.3671875,-111
0.37109375,-98
0.375,-69
0.37890625,-29
0.3828125,12
0.38671875,45
0.390625,64
0.39453125,65
0.3984375,56
0.40234375,50
0.40625,52
0.41015625,52
0.4140625,42
0.41796875,24
0.421875,1
0.42578125,-24
0.4296875,-46
0.43359375,-54
0.4375,-48
0.44140625,-41
0.4453125,-40
0.44921875,-43
0.453125,-44
0.45703125,-45
0.4609375,-45
0.46484375,-43
0.46875,-39
0.47265625,-37
0.4765625,-34
0.48046875,-26
0.484375,-9
0.48828125,14
0.4921875,37
0.49609375,52
0.5,53
0.50390625,39
0.5078125,15
0.51171875,-14
0.515625,-38
0.51953125,-53
0.5234375,-59
0.52734375,-63
0.53125,-69
0.53515625,-78
0.5390625,-90
0.54296875,-104
0.546875,-112
0.55078125,-107
0.5546875,-92
0.55859375,-69
0.5625,-41
0.56640625,-14
0.5703125,5
0.57421875,17
0.578125,30
0.58203125,47
0.5859375,65
0.58984375,76
