Time,F2
0.0,-18
0.00390625,-25
0.0078125,-27
0.01171875,-23
0.015625,-16
0.01953125,-11
0.0234375,-8
0.02734375,-8
0.03125,-9
0.03515625,-9
0.0390625,-4
0.04296875,3
0.046875,11
0.05078125,17
0.0546875,21
0.05859375,21
0.0625,19
0.06640625,18
0.0703125,17
0.07421875,16
0.078125,17
0.08203125,18
0.0859375,19
0.08984375,21
0.09375,23
0.09765625,26
0.1015625,29
0.10546875,32
0.109375,31
0.11328125,29
0.1171875,27
0.12109375,25
0.125,23
0.12890625,23
0.1328125,25
0.13671875,29
0.140625,32
0.14453125,33
0.1484375,35
0.15234375,36
0.15625,35
0.16015625,32
0.1640625,30
0.16796875,28
0.171875,26
0.17578125,24
0.1796875,22
0.18359375,20
0.1875,18
0.19140625,16
0.1953125,15
0.19921875,14
0.203125,14
0.20703125,14
0.2109375,14
0.21484375,16
0.21875,20
0.22265625,24
0.2265625,29
0.23046875,32
0.234375,32
0.23828125,27
0.2421875,19
0.24609375,10
0.25,0
0.25390625,-9
0.2578125,-18
0.26171875,-26
0.265625,-35
0.26953125,-46
0.2734375,-56
0.27734375,-63
0.28125,-66
0.28515625,-65
0.2890625,-60
0.29296875,-51
0.296875,-39
0.30078125,-25
0.3046875,-10
0.30859375,8
0.3125,26
0.31640625,41
0.3203125,51
0.32421875,54
0.328125,49
0.33203125,41
0.3359375,32
0.33984375,24
0.34375,18
0.34765625,12
0.3515625,5
0.35546875,-5
0.359375,-18
0.36328125,-31
0.3671875,-41
0.37109375,-49
0.375,-53
0.37890625,-56
0.3828125,-62
0.38671875,-72
0.390625,-87
0.39453125,-100
0.3984375,-106
0.40234375,-100
0.40625,-80
0.41015625,-52
0.4140625,-23
0.41796875,0
0.421875,12
0.42578125,16
0.4296875,14
0.43359375,11
0.4375,8
0.44140625,8
0.4453125,9
0.44921875,10
0.453125,9
0.45703125,5
0.4609375,-1
0.46484375,-8
0.46875,-14
0.47265625,-18
0.4765625,-19
0.48046875,-16
0.484375,-11
0.48828125,-6
0.4921875,0
0.49609375,5
0.5,11
0.50390625,16
0.5078125,21
0.51171875,23
0.515625,22
0.51953125,18
0.5234375,13
0.52734375,7
0.53125,2
0.53515625,-3
0.5390625,-8
0.54296875,-16
0.546875,-26
0.55078125,-34
0.5546875,-39
0.55859375,-41
0.5625,-38
0.56640625,-35
0.5703125,-33
0.57421875,-32
0.578125,-31
0.58203125,-30
0.5859375,-28
0.58984375,-27
0.59375,-27
0.59765625,-26
0.6015625,-27
0.60546875,-26
0.609375,-23
0.61328125,-18
0.6171875,-14
0.62109375,-10
0.625,-8
0.62890625,-7
0.6328125,-9
0.63671875,-11
0.640625,-13
0.64453125,-15
0.6484375,-14
0.65234375,-12
0.65625,-9
0.66015625,-4
0.6640625,0
0.66796875,3
0.671875,2
0.67578125,-1
0.6796875,-5
0.68359375,-7
0.6875,-8
0.69140625,-7
0.6953125,-5
0.69921875,-3
0.703125,-2
0.70703125,-3
0.7109375,-3
0.71484375,-3
0.71875,-1
0.72265625,3
0.7265625,9
0.73046875,17
0.734375,24
0.73828125,28
0.7421875,28
0.74609375,24
0.75,18
0.75390625,11
0.7578125,5
0.76171875,0
0.765625,-2
0.76953125,-2
0.7734375,1
0.77734375,6
0.78125,10
0.78515625,13
0.7890625,14
0.79296875,13
0.796875,12
0.80078125,13
0.8046875,16
0.80859375,20
0.8125,23
0.81640625,26
0.8203125,26
0.82421875,23
0.828125,19
0.83203125,14
0.8359375,10
0.83984375,7
0.84375,6
0.84765625,5
0.8515625,3
0.85546875,-2
0.859375,-8
0.86328125,-12
0.8671875,-14
0.87109375,-12
0.875,-6
0.87890625,2
0.8828125,10
0.88671875,17
0.890625,23
0.89453125,28
0.8984375,32
0.90234375,36
0.90625,40
0.91015625,41
0.9140625,39
0.91796875,35
0.921875,32
0.92578125,31
0.9296875,32
0.93359375,36
0.9375,39
0.94140625,38
0.9453125,30
0.94921875,13
0.953125,-10
0.95703125,-37
0.9609375,-59
0.96484375,-72
0.96875,-71
0.97265625,-57
0.9765625,-33
0.98046875,-8
0.984375,12
0.98828125,23
0.9921875,25
0.99609375,22
1.0,15
1.00390625,6
1.0078125,-2
1.01171875,-7
1.015625,-7
1.01953125,-2
1.0234375,8
1.02734375,20
1.03125,30
1.03515625,39
1.0390625,44
1.04296875,47
1.046875,48
1.05078125,44
1.0546875,37
1.05859375,26
1.0625,15
1.06640625,5
1.0703125,-1
1.07421875,-5
1.078125,-8
1.08203125,-9
1.0859375,-7
1.08984375,-4
1.09375,1
1.09765625,4
1.1015625,4
1.10546875,1
1.109375,-4
1.11328125,-8
1.1171875,-9
1.12109375,-9
1.125,-8
1.12890625,-8
1.1328125,-10
1.13671875,-13
1.140625,-14
1.14453125,-14
1.1484375,-13
1.15234375,-12
1.15625,-11
1.16015625,-11
1.1640625,-10
1.16796875,-9
1.171875,-5
1.17578125,-1
1.1796875,2
1.18359375,1
1.1875,-4
1.19140625,-12
1.1953125,-21
1.19921875,-27
1.203125,-30
1.20703125,-29
1.2109375,-25
1.21484375,-19
1.21875,-12
1.22265625,-6
1.2265625,-2
1.23046875,-1
1.234375,1
1.23828125,2
1.2421875,5
1.24609375,10
1.25,17
1.25390625,23
1.2578125,25
1.26171875,24
1.265625,21
1.26953125,17
1.2734375,11
1.27734375,4
1.28125,-3
1.28515625,-11
1.2890625,-18
1.29296875,-23
1.296875,-24
1.30078125,-21
1.3046875,-14
1.30859375,-4
1.3125,7
1.31640625,20
1.3203125,32
1.32421875,43
1.328125,51
1.33203125,54
1.3359375,53
1.33984375,49
1.34375,42
1.34765625,33
1.3515625,22
1.35546875,8
1.359375,-7
1.36328125,-20
1.3671875,-30
1.37109375,-38
1.375,-44
1.37890625,-50
1.3828125,-56
1.38671875,-61
1.390625,-62
1.39453125,-57
1.3984375,-48
1.40234375,-36
1.40625,-25
1.41015625,-16
1.4140625,-10
1.41796875,-5
1.421875,-1
1.42578125,2
1.4296875,5
1.43359375,8
1.4375,10
1.44140625,12
1.4453125,12
1.44921875,12
1.453125,11
1.45703125,8
1.4609375,2
1.46484375,-6
1.46875,-15
1.47265625,-23
1.4765625,-27
1.48046875,-25
1.484375,-17
1.48828125,-5
1.4921875,6
1.49609375,12
1.5,9
1.50390625,-4
1.5078125,-21
1.51171875,-37
1.515625,-45
1.51953125,-40
1.5234375,-25
1.52734375,-4
1.53125,14
1.53515625,23
1.5390625,20
1.54296875,8
