Time,P2
0.0,78
0.00390625,76
0.0078125,92
0.01171875,111
0.015625,127
0.01953125,145
0.0234375,180
0.02734375,226
0.03125,257
0.03515625,259
0.0390625,235
0.04296875,184
0.046875,115
0.05078125,66
0.0546875,63
0.05859375,99
0.0625,142
0.06640625,172
0.0703125,182
0.07421875,174
0.078125,153
0.08203125,129
0.0859375,112
0.08984375,104
0.09375,96
0.09765625,84
0.1015625,69
0.10546875,56
0.109375,45
0.11328125,35
0.1171875,25
0.12109375,17
0.125,15
0.12890625,19
0.1328125,30
0.13671875,42
0.140625,52
0.14453125,56
0.1484375,53
0.15234375,46
0.15625,39
0.16015625,35
0.1640625,32
0.16796875,23
0.171875,4
0.17578125,-22
0.1796875,-45
0.18359375,-57
0.1875,-57
0.19140625,-47
0.1953125,-31
0.19921875,-18
0.203125,-16
0.20703125,-22
0.2109375,-25
0.21484375,-20
0.21875,-6
0.22265625,16
0.2265625,41
0.23046875,60
0.234375,65
0.23828125,57
0.2421875,42
0.24609375,24
0.25,5
0.25390625,-12
0.2578125,-28
0.26171875,-43
0.265625,-59
0.26953125,-75
0.2734375,-87
0.27734375,-89
0.28125,-81
0.28515625,-66
0.2890625,-51
0.29296875,-39
0.296875,-37
0.30078125,-44
0.3046875,-52
0.30859375,-52
0.3125,-42
0.31640625,-28
0.3203125,-18
0.32421875,-15
0.328125,-16
0.33203125,-17
0.3359375,-18
0.33984375,-16
0.34375,-15
0.34765625,-14
0.3515625,-16
0.35546875,-23
0.359375,-31
0.36328125,-38
0.3671875,-45
0.37109375,-59
0.375,-79
0.37890625,-97
0.3828125,-108
0.38671875,-109
0.390625,-98
0.39453125,-75
0.3984375,-45
0.40234375,-16
0.40625,3
0.41015625,11
0.4140625,10
0.41796875,3
0.421875,-6
0.42578125,-20
0.4296875,-38
0.43359375,-55
0.4375,-70
0.44140625,-82
0.4453125,-90
0.44921875,-94
0.453125,-94
0.45703125,-96
0.4609375,-104
0.46484375,-113
0.46875,-119
0.47265625,-119
0.4765625,-113
0.48046875,-97
0.484375,-71
0.48828125,-37
0.4921875,-3
0.49609375,27
0.5,51
0.50390625,64
0.5078125,60
0.51171875,40
0.515625,13
0.51953125,-15
0.5234375,-36
0.52734375,-48
0.53125,-49
0.53515625,-46
0.5390625,-47
0.54296875,-56
0.546875,-70
0.55078125,-84
0.5546875,-93
0.55859375,-96
0.5625,-90
0.56640625,-75
0.5703125,-55
0.57421875,-38
0.578125,-28
0.58203125,-27
0.5859375,-32
0.58984375,-38
0.59375,-42
0.59765625,-43
0.6015625,-47
0.60546875,-56
0.609375,-70
0.61328125,-84
0.6171875,-91
0.62109375,-82
0.625,-57
0.62890625,-27
0.6328125,-5
0.63671875,0
0.640625,-11
0.64453125,-29
0.6484375,-48
0.65234375,-59
0.65625,-59
0.66015625,-51
0.6640625,-42
0.66796875,-34
0.671875,-28
0.67578125,-24
0.6796875,-18
0.68359375,-5
0.6875,11
0.69140625,21
0.6953125,23
0.69921875,18
0.703125,2
0.70703125,-20
0.7109375,-40
0.71484375,-51
0.71875,-55
0.72265625,-59
0.7265625,-64
0.73046875,-72
0.734375,-80
0.73828125,-83
0.7421875,-80
0.74609375,-69
0.75,-47
0.75390625,-20
0.7578125,5
0.76171875,24
0.765625,36
0.76953125,38
0.7734375,31
0.77734375,24
0.78125,18
0.78515625,13
0.7890625,3
0.79296875,-9
0.796875,-25
0.80078125,-43
0.8046875,-60
0.80859375,-72
0.8125,-73
0.81640625,-64
0.8203125,-51
0.82421875,-35
0.828125,-17
0.83203125,0
0.8359375,12
0.83984375,18
0.84375,22
0.84765625,25
0.8515625,24
0.85546875,20
0.859375,13
0.86328125,6
0.8671875,-3
0.87109375,-18
0.875,-38
0.87890625,-58
0.8828125,-76
0.88671875,-88
0.890625,-96
0.89453125,-99
0.8984375,-101
0.90234375,-102
0.90625,-101
0.91015625,-92
0.9140625,-77
0.91796875,-57
0.921875,-35
0.92578125,-14
0.9296875,1
0.93359375,11
0.9375,18
0.94140625,23
0.9453125,24
0.94921875,24
0.953125,22
0.95703125,17
0.9609375,8
0.96484375,-6
0.96875,-23
0.97265625,-43
0.9765625,-60
0.98046875,-70
0.984375,-73
0.98828125,-72
0.9921875,-69
0.99609375,-66
1.0,-63
1.00390625,-62
1.0078125,-60
1.01171875,-54
1.015625,-48
1.01953125,-44
1.0234375,-43
1.02734375,-45
1.03125,-47
1.03515625,-49
1.0390625,-52
1.04296875,-55
1.046875,-63
1.05078125,-74
1.0546875,-86
1.05859375,-97
1.0625,-107
1.06640625,-116
1.0703125,-121
1.07421875,-120
1.078125,-115
1.08203125,-105
1.0859375,-92
1.08984375,-81
1.09375,-71
1.09765625,-62
1.1015625,-52
1.10546875,-39
