Time,P2
0.0,88
0.00390625,77
0.0078125,68
0.01171875,65
0.015625,66
0.01953125,68
0.0234375,68
0.02734375,66
0.03125,63
0.03515625,59
0.0390625,58
0.04296875,61
0.046875,67
0.05078125,71
0.0546875,74
0.05859375,78
0.0625,84
0.06640625,91
0.0703125,97
0.07421875,102
0.078125,106
0.08203125,104
0.0859375,100
0.08984375,95
0.09375,90
0.09765625,85
0.1015625,79
0.10546875,73
0.109375,66
0.11328125,57
0.1171875,49
0.12109375,42
0.125,37
0.12890625,33
0.1328125,33
0.13671875,34
0.140625,34
0.14453125,33
0.1484375,32
0.15234375,35
0.15625,40
0.16015625,44
0.1640625,43
0.16796875,37
0.171875,24
0.17578125,7
0.1796875,-8
0.18359375,-18
0.1875,-22
0.19140625,-23
0.1953125,-23
0.19921875,-24
0.203125,-24
0.20703125,-24
0.2109375,-23
0.21484375,-20
0.21875,-14
0.22265625,-6
0.2265625,2
0.23046875,10
0.234375,16
0.23828125,21
0.2421875,25
0.24609375,29
0.25,34
0.25390625,37
0.2578125,40
0.26171875,41
0.265625,43
0.26953125,46
0.2734375,48
0.27734375,47
0.28125,43
0.28515625,34
0.2890625,24
0.29296875,16
0.296875,14
0.30078125,17
0.3046875,21
0.30859375,21
0.3125,16
0.31640625,5
0.3203125,-8
0.32421875,-16
0.328125,-18
0.33203125,-13
0.3359375,-6
0.33984375,1
0.34375,7
0.34765625,10
0.3515625,10
0.35546875,10
0.359375,10
0.36328125,10
0.3671875,11
0.37109375,12
0.375,11
0.37890625,8
0.3828125,3
0.38671875,-3
0.390625,-8
0.39453125,-9
0.3984375,-5
0.40234375,1
0.40625,7
0.41015625,15
0.4140625,24
0.41796875,34
0.421875,45
0.42578125,57
0.4296875,67
0.43359375,72
0.4375,72
0.44140625,70
0.4453125,68
0.44921875,65
0.453125,59
0.45703125,51
0.4609375,40
0.46484375,27
0.46875,16
0.47265625,9
0.4765625,8
0.48046875,8
0.484375,5
0.48828125,0
0.4921875,-6
0.49609375,-10
0.5,-12
0.50390625,-11
0.5078125,-9
0.51171875,-7
0.515625,-5
0.51953125,-4
0.5234375,-5
0.52734375,-6
0.53125,-6
0.53515625,-3
0.5390625,2
0.54296875,10
0.546875,16
0.55078125,16
0.5546875,9
0.55859375,-1
0.5625,-9
0.56640625,-12
0.5703125,-9
0.57421875,-4
0.578125,0
0.58203125,3
0.5859375,5
0.58984375,11
0.59375,21
0.59765625,32
0.6015625,41
0.60546875,44
0.609375,39
0.61328125,30
0.6171875,22
0.62109375,16
0.625,11
0.62890625,6
0.6328125,-2
0.63671875,-14
0.640625,-27
0.64453125,-38
0.6484375,-42
0.65234375,-38
0.65625,-30
0.66015625,-22
0.6640625,-15
0.66796875,-11
0.671875,-10
0.67578125,-11
0.6796875,-15
0.68359375,-19
0.6875,-21
0.69140625,-19
0.6953125,-15
0.69921875,-9
0.703125,-3
0.70703125,1
0.7109375,1
0.71484375,-1
0.71875,-6
0.72265625,-10
0.7265625,-16
0.73046875,-22
0.734375,-28
0.73828125,-32
0.7421875,-34
0.74609375,-33
0.75,-31
0.75390625,-25
0.7578125,-16
0.76171875,-6
0.765625,4
0.76953125,10
0.7734375,10
0.77734375,3
0.78125,-8
0.78515625,-19
0.7890625,-27
0.79296875,-30
0.796875,-30
0.80078125,-32
0.8046875,-40
0.80859375,-53
0.8125,-68
0.81640625,-81
0.8203125,-88
0.82421875,-88
0.828125,-81
0.83203125,-70
0.8359375,-61
0.83984375,-54
0.84375,-48
0.84765625,-42
0.8515625,-36
0.85546875,-31
0.859375,-26
0.86328125,-22
0.8671875,-20
0.87109375,-23
0.875,-28
0.87890625,-33
0.8828125,-36
0.88671875,-35
0.890625,-32
0.89453125,-26
0.8984375,-18
0.90234375,-9
0.90625,-4
0.91015625,-3
0.9140625,-6
0.91796875,-12
0.921875,-19
0.92578125,-22
0.9296875,-20
0.93359375,-13
0.9375,-3
0.94140625,3
0.9453125,6
0.94921875,10
0.953125,15
0.95703125,21
0.9609375,25
0.96484375,27
0.96875,24
0.97265625,15
0.9765625,5
0.98046875,-3
0.984375,-9
0.98828125,-15
0.9921875,-21
0.99609375,-24
1.0,-23
1.00390625,-20
1.0078125,-18
1.01171875,-18
1.015625,-22
1.01953125,-28
1.0234375,-32
1.02734375,-32
1.03125,-29
1.03515625,-25
1.0390625,-21
1.04296875,-20
1.046875,-19
1.05078125,-16
1.0546875,-9
1.05859375,0
1.0625,6
1.06640625,8
1.0703125,7
1.07421875,5
1.078125,3
1.08203125,2
1.0859375,0
1.08984375,-2
1.09375,-6
1.09765625,-8
1.1015625,-7
1.10546875,-3
1.109375,5
1.11328125,11
1.1171875,10
1.12109375,4
1.125,-5
1.12890625,-9
1.1328125,-8
1.13671875,0
1.140625,11
1.14453125,20
1.1484375,23
1.15234375,19
1.15625,12
1.16015625,7
1.1640625,5
1.16796875,6
1.171875,9
1.17578125,12
1.1796875,15
1.18359375,18
1.1875,21
1.19140625,24
1.1953125,27
1.19921875,29
1.203125,28
1.20703125,27
1.2109375,26
1.21484375,26
1.21875,28
1.22265625,32
1.2265625,35
1.23046875,36
1.234375,32
1.23828125,26
1.2421875,20
1.24609375,13
1.25,8
1.25390625,4
1.2578125,1
1.26171875,-3
1.265625,-7
1.26953125,-8
1.2734375,-7
1.27734375,-5
1.28125,-2
1.28515625,1
1.2890625,0
1.29296875,-1
1.296875,-1
1.30078125,1
1.3046875,5
1.30859375,10
1.3125,15
1.31640625,16
1.3203125,13
1.32421875,9
1.328125,4
1.33203125,-2
1.3359375,-5
1.33984375,-7
1.34375,-11
1.34765625,-19
1.3515625,-27
1.35546875,-34
1.359375,-35
1.36328125,-29
1.3671875,-17
1.37109375,-3
1.375,9
1.37890625,14
1.3828125,15
1.38671875,16
1.390625,16
1.39453125,15
1.3984375,14
1.40234375,12
1.40625,8
1.41015625,4
1.4140625,1
1.41796875,1
1.421875,2
1.42578125,1
1.4296875,0
1.43359375,-1
1.4375,-1
1.44140625,-4
1.4453125,-8
1.44921875,-13
1.453125,-18
1.45703125,-22
1.4609375,-23
1.46484375,-23
1.46875,-22
1.47265625,-21
1.4765625,-19
1.48046875,-16
1.484375,-11
1.48828125,-5
1.4921875,0
1.49609375,0
1.5,-5
1.50390625,-13
1.5078125,-22
1.51171875,-29
1.515625,-30
1.51953125,-28
1.5234375,-24
1.52734375,-21
1.53125,-17
1.53515625,-15
1.5390625,-14
1.54296875,-15
1.546875,-15
1.55078125,-15
