Time,P2
0.0,94
0.00390625,98
0.0078125,105
0.01171875,116
0.015625,129
0.01953125,141
0.0234375,152
0.02734375,158
0.03125,160
0.03515625,158
0.0390625,153
0.04296875,146
0.046875,140
0.05078125,135
0.0546875,132
0.05859375,129
0.0625,125
0.06640625,118
0.0703125,110
0.07421875,100
0.078125,93
0.08203125,89
0.0859375,89
0.08984375,93
0.09375,98
0.09765625,102
0.1015625,105
0.10546875,106
0.109375,106
0.11328125,106
0.1171875,105
0.12109375,102
0.125,97
0.12890625,90
0.1328125,84
0.13671875,79
0.140625,77
0.14453125,75
0.1484375,71
0.15234375,64
0.15625,54
0.16015625,43
0.1640625,33
0.16796875,25
0.171875,20
0.17578125,17
0.1796875,14
0.18359375,12
0.1875,10
0.19140625,9
0.1953125,12
0.19921875,16
0.203125,23
0.20703125,30
0.2109375,36
0.21484375,39
0.21875,38
0.22265625,34
0.2265625,31
0.23046875,29
0.234375,28
0.23828125,29
0.2421875,29
0.24609375,29
0.25,29
0.25390625,28
0.2578125,28
0.26171875,28
0.265625,26
0.26953125,21
0.2734375,12
0.27734375,3
0.28125,-3
0.28515625,-7
0.2890625,-8
0.29296875,-7
0.296875,-5
0.30078125,-3
0.3046875,0
0.30859375,4
0.3125,11
0.31640625,16
0.3203125,17
0.32421875,15
0.328125,9
0.33203125,4
0.3359375,1
0.33984375,1
0.34375,4
0.34765625,8
0.3515625,11
0.35546875,11
0.359375,8
0.36328125,3
0.3671875,-3
0.37109375,-9
0.375,-14
0.37890625,-16
0.3828125,-15
0.38671875,-11
0.390625,-6
0.39453125,-2
0.3984375,2
0.40234375,4
0.40625,5
0.41015625,6
0.4140625,9
0.41796875,13
0.421875,16
0.42578125,20
0.4296875,21
0.43359375,21
0.4375,20
0.44140625,17
0.4453125,13
0.44921875,8
0.453125,3
0.45703125,-2
0.4609375,-6
0.46484375,-8
0.46875,-8
0.47265625,-8
0.4765625,-9
0.48046875,-12
0.484375,-17
0.48828125,-21
0.4921875,-24
0.49609375,-23
0.5,-18
0.50390625,-12
0.5078125,-6
0.51171875,1
0.515625,7
0.51953125,11
0.5234375,13
0.52734375,11
0.53125,6
0.53515625,0
0.5390625,-6
0.54296875,-11
0.546875,-14
0.55078125,-16
0.5546875,-20
0.55859375,-25
0.5625,-33
0.56640625,-42
0.5703125,-49
0.57421875,-55
0.578125,-58
0.58203125,-58
0.5859375,-55
0.58984375,-53
0.59375,-49
0.59765625,-45
0.6015625,-37
0.60546875,-28
0.609375,-18
0.61328125,-9
0.6171875,-3
0.62109375,-2
0.625,-3
0.62890625,-6
0.6328125,-8
0.63671875,-9
0.640625,-8
0.64453125,-8
0.6484375,-9
0.65234375,-13
0.65625,-19
0.66015625,-25
0.6640625,-30
0.66796875,-32
0.671875,-31
0.67578125,-26
0.6796875,-19
0.68359375,-10
0.6875,-2
0.69140625,4
0.6953125,9
0.69921875,11
0.703125,10
0.70703125,9
0.7109375,7
0.71484375,6
0.71875,6
0.72265625,8
0.7265625,11
0.73046875,12
0.734375,11
0.73828125,6
0.7421875,0
0.74609375,-7
0.75,-14
0.75390625,-21
0.7578125,-28
