Time,P2
0.0,-25
0.00390625,-22
0.0078125,-16
0.01171875,-10
0.015625,-3
0.01953125,3
0.0234375,5
0.02734375,4
0.03125,-1
0.03515625,-12
0.0390625,-26
0.04296875,-38
0.046875,-47
0.05078125,-55
0.0546875,-60
0.05859375,-60
0.0625,-54
0.06640625,-47
0.0703125,-42
0.07421875,-38
0.078125,-38
0.08203125,-42
0.0859375,-51
0.08984375,-60
0.09375,-66
0.09765625,-68
0.1015625,-69
0.10546875,-67
0.109375,-61
0.11328125,-52
0.1171875,-42
0.12109375,-32
0.125,-23
0.12890625,-14
0.1328125,-7
0.13671875,-2
0.140625,2
0.14453125,5
0.1484375,8
0.15234375,9
0.15625,11
0.16015625,13
0.1640625,15
0.16796875,18
0.171875,22
0.17578125,24
0.1796875,23
0.18359375,18
0.1875,11
0.19140625,4
0.1953125,2
0.19921875,6
0.203125,14
0.20703125,20
0.2109375,22
0.21484375,17
0.21875,6
0.22265625,-6
0.2265625,-14
0.23046875,-17
0.234375,-13
0.23828125,-7
0.2421875,-1
0.24609375,3
0.25,2
0.25390625,-4
0.2578125,-11
0.26171875,-16
0.265625,-17
0.26953125,-15
0.2734375,-13
0.27734375,-15
0.28125,-21
0.28515625,-33
0.2890625,-45
0.29296875,-54
0.296875,-59
0.30078125,-61
0.3046875,-59
0.30859375,-56
0.3125,-51
0.31640625,-46
0.3203125,-39
0.32421875,-31
0.328125,-25
0.33203125,-23
0.3359375,-24
0.33984375,-25
0.34375,-26
0.34765625,-25
0.3515625,-23
0.35546875,-20
0.359375,-17
0.36328125,-14
0.3671875,-11
0.37109375,-8
0.375,-7
0.37890625,-8
0.3828125,-10
0.38671875,-14
0.390625,-17
0.39453125,-17
0.3984375,-13
0.40234375,-8
0.40625,-3
0.41015625,0
0.4140625,-1
0.41796875,-5
0.421875,-12
0.42578125,-18
0.4296875,-25
0.43359375,-32
0.4375,-39
0.44140625,-44
0.4453125,-47
0.44921875,-48
0.453125,-45
0.45703125,-39
0.4609375,-32
0.46484375,-26
0.46875,-26
0.47265625,-31
0.4765625,-38
0.48046875,-44
0.484375,-48
0.48828125,-50
0.4921875,-50
0.49609375,-48
0.5,-46
0.50390625,-43
0.5078125,-37
0.51171875,-31
0.515625,-28
0.51953125,-29
0.5234375,-33
0.52734375,-37
0.53125,-39
0.53515625,-37
0.5390625,-35
0.54296875,-34
0.546875,-36
0.55078125,-40
0.5546875,-44
0.55859375,-46
0.5625,-45
0.56640625,-43
0.5703125,-41
0.57421875,-40
0.578125,-39
0.58203125,-37
0.5859375,-33
0.58984375,-28
0.59375,-22
0.59765625,-17
0.6015625,-15
0.60546875,-14
0.609375,-12
0.61328125,-10
0.6171875,-8
0.62109375,-6
0.625,-5
0.62890625,-5
0.6328125,-4
0.63671875,-3
0.640625,2
0.64453125,7
0.6484375,14
0.65234375,22
0.65625,28
0.66015625,32
0.6640625,31
0.66796875,29
0.671875,24
0.67578125,18
0.6796875,14
0.68359375,14
0.6875,15
0.69140625,16
0.6953125,15
0.69921875,15
0.703125,15
0.70703125,13
0.7109375,11
0.71484375,7
0.71875,-1
0.72265625,-12
0.7265625,-25
0.73046875,-33
0.734375,-35
0.73828125,-31
0.7421875,-23
0.74609375,-17
0.75,-13
0.75390625,-13
0.7578125,-13
0.76171875,-13
0.765625,-12
0.76953125,-9
0.7734375,-4
0.77734375,0
0.78125,2
0.78515625,3
0.7890625,3
0.79296875,0
0.796875,-4
0.80078125,-8
0.8046875,-10
0.80859375,-8
0.8125,-5
0.81640625,0
0.8203125,5
0.82421875,7
0.828125,4
0.83203125,-1
0.8359375,-7
0.83984375,-11
0.84375,-13
0.84765625,-13
0.8515625,-12
0.85546875,-11
0.859375,-9
0.86328125,-6
0.8671875,-3
0.87109375,0
0.875,3
0.87890625,6
0.8828125,8
0.88671875,9
0.890625,8
0.89453125,6
0.8984375,2
0.90234375,-2
0.90625,-7
0.91015625,-11
0.9140625,-14
0.91796875,-17
0.921875,-18
0.92578125,-16
0.9296875,-12
0.93359375,-7
0.9375,-4
0.94140625,-6
0.9453125,-11
0.94921875,-18
0.953125,-24
0.95703125,-25
0.9609375,-22
0.96484375,-16
0.96875,-10
0.97265625,-6
0.9765625,-5
0.98046875,-7
0.984375,-11
0.98828125,-14
0.9921875,-16
0.99609375,-17
1.0,-17
1.00390625,-17
1.0078125,-19
1.01171875,-21
1.015625,-21
1.01953125,-19
1.0234375,-18
1.02734375,-17
1.03125,-16
1.03515625,-17
1.0390625,-21
1.04296875,-25
1.046875,-29
1.05078125,-33
1.0546875,-38
1.05859375,-40
1.0625,-38
1.06640625,-36
1.0703125,-36
1.07421875,-37
