Time,P2
0.0,-1
0.00390625,-11
0.0078125,-27
0.01171875,-42
0.015625,-52
0.01953125,-57
0.0234375,-58
0.02734375,-59
0.03125,-61
0.03515625,-64
0.0390625,-65
0.04296875,-64
0.046875,-61
0.05078125,-59
0.0546875,-58
0.05859375,-56
0.0625,-52
0.06640625,-47
0.0703125,-40
0.07421875,-33
0.078125,-26
0.08203125,-23
0.0859375,-21
0.08984375,-20
0.09375,-19
0.09765625,-17
0.1015625,-14
0.10546875,-7
0.109375,3
0.11328125,13
0.1171875,21
0.12109375,25
0.125,26
0.12890625,23
0.1328125,18
0.13671875,10
0.140625,2
0.14453125,-6
0.1484375,-11
0.15234375,-13
0.15625,-10
0.16015625,-5
0.1640625,3
0.16796875,10
0.171875,16
0.17578125,20
0.1796875,21
0.18359375,21
0.1875,19
0.19140625,17
0.1953125,15
0.19921875,13
0.203125,13
0.20703125,12
0.2109375,11
0.21484375,11
0.21875,13
0.22265625,18
0.2265625,23
0.23046875,27
0.234375,30
0.23828125,31
0.2421875,31
0.24609375,29
0.25,25
0.25390625,19
0.2578125,9
0.26171875,-4
0.265625,-16
0.26953125,-24
0.2734375,-23
0.27734375,-13
0.28125,1
0.28515625,16
0.2890625,28
0.29296875,33
0.296875,31
0.30078125,25
0.3046875,19
0.30859375,18
0.3125,20
0.31640625,22
0.3203125,24
0.32421875,25
0.328125,27
0.33203125,29
0.3359375,29
0.33984375,28
0.34375,26
0.34765625,23
0.3515625,21
0.35546875,22
0.359375,27
0.36328125,34
0.3671875,39
0.37109375,41
0.375,37
0.37890625,29
0.3828125,18
0.38671875,6
0.390625,-5
0.39453125,-14
0.3984375,-22
0.40234375,-29
0.40625,-35
0.41015625,-38
0.4140625,-39
0.41796875,-37
0.421875,-32
0.42578125,-25
0.4296875,-19
0.43359375,-15
0.4375,-12
0.44140625,-10
0.4453125,-10
0.44921875,-11
0.453125,-10
0.45703125,-8
0.4609375,-6
0.46484375,-4
0.46875,-4
0.47265625,-6
0.4765625,-8
0.48046875,-10
0.484375,-13
0.48828125,-17
0.4921875,-23
0.49609375,-31
0.5,-39
0.50390625,-45
0.5078125,-46
0.51171875,-43
0.515625,-36
0.51953125,-29
0.5234375,-21
0.52734375,-14
0.53125,-7
0.53515625,-3
0.5390625,1
0.54296875,3
0.546875,3
0.55078125,4
0.5546875,6
0.55859375,10
0.5625,14
0.56640625,17
0.5703125,18
0.57421875,16
0.578125,10
0.58203125,3
0.5859375,-5
0.58984375,-14
0.59375,-24
0.59765625,-33
0.6015625,-41
0.60546875,-48
0.609375,-52
0.61328125,-52
0.6171875,-48
0.62109375,-38
0.625,-25
0.62890625,-9
0.6328125,7
0.63671875,19
0.640625,26
0.64453125,27
0.6484375,25
0.65234375,20
0.65625,14
0.66015625,7
0.6640625,0
0.66796875,-6
0.671875,-11
0.67578125,-14
0.6796875,-15
0.68359375,-17
0.6875,-18
0.69140625,-19
0.6953125,-20
0.69921875,-19
0.703125,-17
0.70703125,-13
0.7109375,-9
0.71484375,-3
0.71875,4
0.72265625,12
0.7265625,20
0.73046875,24
0.734375,23
0.73828125,15
0.7421875,3
0.74609375,-9
0.75,-20
0.75390625,-27
0.7578125,-29
0.76171875,-30
0.765625,-33
0.76953125,-37
0.7734375,-45
0.77734375,-55
0.78125,-66
0.78515625,-76
0.7890625,-82
0.79296875,-82
0.796875,-76
0.80078125,-65
0.8046875,-50
0.80859375,-34
0.8125,-18
0.81640625,-4
0.8203125,9
0.82421875,18
0.828125,23
0.83203125,24
0.8359375,21
0.83984375,14
0.84375,3
0.84765625,-9
0.8515625,-22
0.85546875,-34
0.859375,-43
0.86328125,-50
0.8671875,-53
0.87109375,-53
0.875,-53
0.87890625,-53
0.8828125,-52
0.88671875,-50
0.890625,-47
0.89453125,-45
0.8984375,-43
0.90234375,-44
0.90625,-49
0.91015625,-55
0.9140625,-60
0.91796875,-62
0.921875,-59
0.92578125,-49
0.9296875,-35
0.93359375,-18
0.9375,-5
0.94140625,1
0.9453125,-1
0.94921875,-11
0.953125,-23
0.95703125,-34
0.9609375,-40
0.96484375,-42
0.96875,-40
0.97265625,-38
0.9765625,-35
0.98046875,-32
0.984375,-30
0.98828125,-28
0.9921875,-26
0.99609375,-23
1.0,-21
1.00390625,-19
1.0078125,-17
1.01171875,-15
1.015625,-11
1.01953125,-3
1.0234375,7
1.02734375,18
1.03125,27
1.03515625,33
1.0390625,33
1.04296875,29
1.046875,22
1.05078125,14
1.0546875,6
1.05859375,-3
1.0625,-12
1.06640625,-20
1.0703125,-26
1.07421875,-30
1.078125,-32
1.08203125,-32
1.0859375,-30
1.08984375,-26
1.09375,-20
1.09765625,-15
1.1015625,-10
1.10546875,-7
1.109375,-6
1.11328125,-5
1.1171875,-6
1.12109375,-6
1.125,-4
1.12890625,0
1.1328125,7
1.13671875,14
1.140625,21
