Time,O1
0.0,-31
0.00390625,-47
0.0078125,-59
0.01171875,-67
0.015625,-73
0.01953125,-78
0.0234375,-83
0.02734375,-89
0.03125,-95
0.03515625,-96
0.0390625,-94
0.04296875,-90
0.046875,-86
0.05078125,-81
0.0546875,-71
0.05859375,-54
0.0625,-31
0.06640625,-7
0.0703125,14
0.07421875,28
0.078125,31
0.08203125,26
0.0859375,20
0.08984375,15
0.09375,11
0.09765625,6
0.1015625,2
0.10546875,1
0.109375,1
0.11328125,3
0.1171875,8
0.12109375,12
0.125,10
0.12890625,1
0.1328125,-12
0.13671875,-22
0.140625,-28
0.14453125,-27
0.1484375,-19
0.15234375,-6
0.15625,13
0.16015625,32
0.1640625,49
0.16796875,58
0.171875,58
0.17578125,49
0.1796875,34
0.18359375,18
0.1875,5
0.19140625,-8
0.1953125,-21
0.19921875,-36
0.203125,-50
0.20703125,-60
0.2109375,-60
0.21484375,-46
0.21875,-21
0.22265625,6
0.2265625,32
0.23046875,52
0.234375,64
0.23828125,67
0.2421875,63
0.24609375,55
0.25,43
0.25390625,30
0.2578125,22
0.26171875,19
0.265625,19
0.26953125,19
0.2734375,18
0.27734375,13
0.28125,5
0.28515625,-1
0.2890625,-5
0.29296875,-8
0.296875,-12
0.30078125,-14
0.3046875,-15
0.30859375,-13
0.3125,-7
0.31640625,3
0.3203125,16
0.32421875,29
0.328125,40
0.33203125,47
0.3359375,48
0.33984375,43
0.34375,32
0.34765625,20
0.3515625,10
0.35546875,1
0.359375,-11
0.36328125,-25
0.3671875,-37
0.37109375,-45
0.375,-47
0.37890625,-44
0.3828125,-40
0.38671875,-40
0.390625,-48
0.39453125,-61
0.3984375,-71
0.40234375,-71
0.40625,-62
0.41015625,-47
0.4140625,-28
0.41796875,-9
0.421875,6
0.42578125,14
0.4296875,14
0.43359375,10
0.4375,1
0.44140625,-12
0.4453125,-26
0.44921875,-35
0.453125,-40
0.45703125,-44
0.4609375,-48
0.46484375,-51
0.46875,-52
0.47265625,-51
0.4765625,-53
0.48046875,-63
0.484375,-77
0.48828125,-93
0.4921875,-107
0.49609375,-112
0.5,-103
0.50390625,-79
0.5078125,-51
0.51171875,-30
0.515625,-16
0.51953125,-8
0.5234375,-6
0.52734375,-12
0.53125,-23
0.53515625,-30
0.5390625,-33
0.54296875,-34
0.546875,-36
0.55078125,-39
0.5546875,-44
0.55859375,-51
0.5625,-61
0.56640625,-68
0.5703125,-69
0.57421875,-64
0.578125,-58
0.58203125,-51
0.5859375,-41
0.58984375,-30
0.59375,-20
0.59765625,-12
0.6015625,-3
0.60546875,8
0.609375,20
0.61328125,29
0.6171875,30
0.62109375,20
0.625,1
0.62890625,-23
0.6328125,-42
0.63671875,-49
0.640625,-44
0.64453125,-31
0.6484375,-15
0.65234375,-2
0.65625,4
0.66015625,1
0.6640625,-9
0.66796875,-19
0.671875,-25
0.67578125,-24
0.6796875,-16
0.68359375,-5
0.6875,6
0.69140625,10
0.6953125,10
0.69921875,10
0.703125,12
0.70703125,14
0.7109375,13
0.71484375,10
0.71875,7
0.72265625,8
0.7265625,12
0.73046875,16
0.734375,16
0.73828125,8
0.7421875,-6
0.74609375,-23
0.75,-34
0.75390625,-38
0.7578125,-35
0.76171875,-27
0.765625,-16
0.76953125,-5
0.7734375,4
0.77734375,9
0.78125,11
0.78515625,9
0.7890625,10
0.79296875,17
0.796875,28
0.80078125,34
0.8046875,35
0.80859375,35
0.8125,35
0.81640625,33
0.8203125,30
0.82421875,24
0.828125,13
0.83203125,-2
0.8359375,-17
0.83984375,-26
0.84375,-28
0.84765625,-22
0.8515625,-10
0.85546875,5
0.859375,21
0.86328125,33
0.8671875,35
0.87109375,24
0.875,7
0.87890625,-6
0.8828125,-8
0.88671875,-2
0.890625,5
0.89453125,7
0.8984375,0
0.90234375,-17
0.90625,-36
0.91015625,-49
0.9140625,-56
0.91796875,-63
0.921875,-72
0.92578125,-82
0.9296875,-89
0.93359375,-90
0.9375,-85
0.94140625,-74
0.9453125,-61
0.94921875,-49
0.953125,-38
0.95703125,-26
0.9609375,-15
0.96484375,-8
0.96875,-6
0.97265625,-7
0.9765625,-5
0.98046875,1
0.984375,10
0.98828125,19
0.9921875,22
0.99609375,13
1.0,-6
1.00390625,-27
1.0078125,-40
1.01171875,-47
1.015625,-50
1.01953125,-50
1.0234375,-46
1.02734375,-42
1.03125,-38
1.03515625,-33
1.0390625,-27
1.04296875,-22
1.046875,-17
1.05078125,-8
1.0546875,7
1.05859375,24
1.0625,43
1.06640625,58
1.0703125,64
1.07421875,58
1.078125,45
1.08203125,34
1.0859375,25
1.08984375,16
1.09375,6
1.09765625,-4
1.1015625,-13
1.10546875,-19
1.109375,-22
1.11328125,-24
1.1171875,-25
1.12109375,-30
1.125,-37
1.12890625,-41
1.1328125,-36
1.13671875,-21
1.140625,-1
1.14453125,16
1.1484375,26
1.15234375,28
1.15625,28
1.16015625,29
1.1640625,27
1.16796875,19
1.171875,9
1.17578125,-1
1.1796875,-14
1.18359375,-24
1.1875,-24
1.19140625,-15
1.1953125,-4
1.19921875,4
1.203125,10
1.20703125,16
1.2109375,19
1.21484375,18
1.21875,16
1.22265625,14
1.2265625,8
1.23046875,-1
1.234375,-4
1.23828125,0
1.2421875,10
1.24609375,24
1.25,41
1.25390625,52
1.2578125,49
1.26171875,31
1.265625,7
1.26953125,-13
1.2734375,-26
1.27734375,-25
1.28125,-13
1.28515625,-1
1.2890625,3
1.29296875,-4
1.296875,-13
1.30078125,-17
1.3046875,-12
1.30859375,-3
1.3125,10
1.31640625,23
1.3203125,33
1.32421875,36
1.328125,36
1.33203125,37
1.3359375,41
1.33984375,42
1.34375,40
1.34765625,33
1.3515625,22
1.35546875,6
1.359375,-16
1.36328125,-37
1.3671875,-52
1.37109375,-60
1.375,-62
1.37890625,-58
1.3828125,-50
1.38671875,-41
1.390625,-33
1.39453125,-25
1.3984375,-20
1.40234375,-16
1.40625,-10
1.41015625,-1
1.4140625,7
1.41796875,12
1.421875,16
1.42578125,15
1.4296875,10
1.43359375,3
1.4375,-1
1.44140625,1
1.4453125,6
1.44921875,8
1.453125,3
1.45703125,-13
1.4609375,-36
1.46484375,-53
1.46875,-61
1.47265625,-56
1.4765625,-42
1.48046875,-22
1.484375,-7
1.48828125,0
1.4921875,4
1.49609375,11
1.5,21
1.50390625,30
1.5078125,32
1.51171875,31
1.515625,32
1.51953125,34
1.5234375,33
1.52734375,30
1.53125,27
1.53515625,21
1.5390625,10
1.54296875,0
1.546875,-3
1.55078125,-2
1.5546875,-4
1.55859375,-11
1.5625,-17
1.56640625,-20
1.5703125,-17
1.57421875,-11
1.578125,-2
1.58203125,8
1.5859375,18
1.58984375,28
1.59375,37
1.59765625,44
1.6015625,47
1.60546875,48
1.609375,48
1.61328125,51
1.6171875,58
1.62109375,63
1.625,59
1.62890625,42
1.6328125,12
1.63671875,-22
1.640625,-50
1.64453125,-66
1.6484375,-70
1.65234375,-66
1.65625,-59
1.66015625,-54
1.6640625,-52
1.66796875,-50
1.671875,-42
1.67578125,-29
1.6796875,-13
1.68359375,-1
1.6875,2
1.69140625,-5
1.6953125,-14
1.69921875,-19
1.703125,-15
1.70703125,-5
1.7109375,6
1.71484375,8
1.71875,-5
1.72265625,-25
1.7265625,-42
1.73046875,-49
1.734375,-46
1.73828125,-36
1.7421875,-22
1.74609375,-12
1.75,-10
1.75390625,-15
1.7578125,-21
1.76171875,-25
1.765625,-25
1.76953125,-20
1.7734375,-13
1.77734375,-5
1.78125,6
1.78515625,15
1.7890625,20
1.79296875,22
1.796875,23
1.80078125,23
1.8046875,23
1.80859375,26
1.8125,32
1.81640625,36
1.8203125,33
1.82421875,22
1.828125,10
1.83203125,1
1.8359375,-3
1.83984375,0
1.84375,7
1.84765625,13
1.8515625,17
1.85546875,24
1.859375,35
1.86328125,46
1.8671875,50
1.87109375,50
1.875,48
1.87890625,47
1.8828125,47
1.88671875,47
1.890625,42
1.89453125,29
1.8984375,9
1.90234375,-11
1.90625,-24
1.91015625,-27
1.9140625,-21
1.91796875,-11
1.921875,-2
1.92578125,7
1.9296875,16
1.93359375,26
1.9375,35
1.94140625,46
1.9453125,57
1.94921875,66
1.953125,68
1.95703125,67
1.9609375,61
1.96484375,52
1.96875,43
1.97265625,36
1.9765625,30
1.98046875,18
1.984375,2
1.98828125,-15
1.9921875,-31
1.99609375,-43
2.0,-49
2.00390625,-48
2.0078125,-43
2.01171875,-39
2.015625,-37
2.01953125,-33
2.0234375,-26
2.02734375,-18
2.03125,-7
2.03515625,6
2.0390625,19
2.04296875,28
2.046875,32
2.05078125,31
2.0546875,28
2.05859375,22
2.0625,11
2.06640625,-5
2.0703125,-25
2.07421875,-44
2.078125,-57
2.08203125,-63
2.0859375,-60
2.08984375,-54
2.09375,-51
2.09765625,-53
2.1015625,-59
2.10546875,-67
2.109375,-72
2.11328125,-69
2.1171875,-56
2.12109375,-35
2.125,-12
2.12890625,7
2.1328125,19
2.13671875,27
2.140625,35
2.14453125,44
2.1484375,51
2.15234375,50
2.15625,38
2.16015625,14
2.1640625,-15
2.16796875,-40
2.171875,-57
2.17578125,-65
2.1796875,-69
2.18359375,-74
2.1875,-80
2.19140625,-82
2.1953125,-80
2.19921875,-73
2.203125,-61
2.20703125,-44
2.2109375,-22
2.21484375,1
2.21875,21
2.22265625,35
2.2265625,39
2.23046875,36
2.234375,31
2.23828125,28
2.2421875,26
2.24609375,25
2.25,19
2.25390625,2
2.2578125,-21
2.26171875,-39
2.265625,-49
2.26953125,-51
2.2734375,-48
2.27734375,-40
2.28125,-32
2.28515625,-24
2.2890625,-18
