Time,C3
0.0,23
0.00390625,43
0.0078125,54
0.01171875,47
0.015625,25
0.01953125,-4
0.0234375,-27
0.02734375,-40
0.03125,-38
0.03515625,-24
0.0390625,-2
0.04296875,19
0.046875,32
0.05078125,42
0.0546875,52
0.05859375,64
0.0625,78
0.06640625,92
0.0703125,105
0.07421875,109
0.078125,104
0.08203125,94
0.0859375,86
0.08984375,81
0.09375,80
0.09765625,77
0.1015625,70
0.10546875,60
0.109375,49
0.11328125,37
0.1171875,24
0.12109375,12
0.125,4
0.12890625,4
0.1328125,9
0.13671875,18
0.140625,27
0.14453125,32
0.1484375,29
0.15234375,20
0.15625,11
0.16015625,10
0.1640625,13
0.16796875,14
0.171875,11
0.17578125,4
0.1796875,-4
0.18359375,-11
0.1875,-11
0.19140625,-3
0.1953125,10
0.19921875,21
0.203125,24
0.20703125,20
0.2109375,17
0.21484375,17
0.21875,24
0.22265625,37
0.2265625,53
0.23046875,65
0.234375,69
0.23828125,67
0.2421875,61
0.24609375,52
0.25,40
0.25390625,28
0.2578125,18
0.26171875,9
0.265625,0
0.26953125,-10
0.2734375,-20
0.27734375,-31
0.28125,-42
0.28515625,-48
0.2890625,-47
0.29296875,-39
0.296875,-30
0.30078125,-21
0.3046875,-12
0.30859375,-1
0.3125,8
0.31640625,13
0.3203125,12
0.32421875,7
0.328125,3
0.33203125,3
0.3359375,8
0.33984375,17
0.34375,22
0.34765625,19
0.3515625,7
0.35546875,-7
0.359375,-18
0.36328125,-24
0.3671875,-26
0.37109375,-30
0.375,-41
0.37890625,-57
0.3828125,-72
0.38671875,-79
0.390625,-77
0.39453125,-64
0.3984375,-45
0.40234375,-24
0.40625,-8
0.41015625,4
0.4140625,15
0.41796875,23
0.421875,28
0.42578125,26
0.4296875,19
0.43359375,10
0.4375,1
0.44140625,-7
0.4453125,-12
0.44921875,-17
0.453125,-23
0.45703125,-32
0.4609375,-43
0.46484375,-52
0.46875,-56
0.47265625,-53
0.4765625,-46
0.48046875,-36
0.484375,-21
0.48828125,3
0.4921875,30
0.49609375,55
0.5,72
0.50390625,78
0.5078125,71
0.51171875,55
0.515625,38
0.51953125,30
0.5234375,33
0.52734375,38
0.53125,39
0.53515625,32
0.5390625,17
0.54296875,-5
0.546875,-30
0.55078125,-52
0.5546875,-65
0.55859375,-70
0.5625,-71
0.56640625,-67
0.5703125,-59
0.57421875,-51
0.578125,-45
0.58203125,-39
0.5859375,-32
0.58984375,-24
0.59375,-17
0.59765625,-14
0.6015625,-16
0.60546875,-24
0.609375,-31
0.61328125,-34
0.6171875,-31
0.62109375,-24
0.625,-13
0.62890625,-7
0.6328125,-9
0.63671875,-19
0.640625,-31
0.64453125,-39
0.6484375,-43
0.65234375,-44
0.65625,-40
0.66015625,-33
0.6640625,-26
0.66796875,-18
0.671875,-13
0.67578125,-10
0.6796875,-7
0.68359375,-1
0.6875,4
0.69140625,7
0.6953125,6
0.69921875,2
0.703125,-6
0.70703125,-17
0.7109375,-23
0.71484375,-21
0.71875,-16
0.72265625,-12
0.7265625,-14
0.73046875,-21
0.734375,-28
0.73828125,-33
0.7421875,-33
0.74609375,-26
0.75,-9
0.75390625,16
0.7578125,41
0.76171875,62
0.765625,77
0.76953125,83
0.7734375,76
0.77734375,60
0.78125,41
0.78515625,24
0.7890625,9
0.79296875,1
0.796875,-2
0.80078125,-4
0.8046875,-7
0.80859375,-12
0.8125,-19
0.81640625,-24
0.8203125,-25
0.82421875,-22
0.828125,-14
0.83203125,-3
0.8359375,6
0.83984375,10
0.84375,11
0.84765625,10
0.8515625,8
0.85546875,3
0.859375,-2
0.86328125,-6
0.8671875,-9
0.87109375,-15
0.875,-25
0.87890625,-33
0.8828125,-40
0.88671875,-48
0.890625,-55
0.89453125,-58
0.8984375,-59
0.90234375,-60
0.90625,-61
0.91015625,-62
0.9140625,-58
0.91796875,-50
0.921875,-39
0.92578125,-24
0.9296875,-6
0.93359375,9
0.9375,19
0.94140625,21
0.9453125,20
0.94921875,15
0.953125,7
0.95703125,-3
0.9609375,-11
0.96484375,-17
0.96875,-24
0.97265625,-33
0.9765625,-41
0.98046875,-47
0.984375,-50
0.98828125,-53
0.9921875,-54
0.99609375,-51
1.0,-48
1.00390625,-49
1.0078125,-51
1.01171875,-51
1.015625,-51
