Time,C3
0.0,-34
0.00390625,-33
0.0078125,-27
0.01171875,-21
0.015625,-19
0.01953125,-22
0.0234375,-27
0.02734375,-31
0.03125,-34
0.03515625,-35
0.0390625,-33
0.04296875,-29
0.046875,-27
0.05078125,-27
0.0546875,-29
0.05859375,-33
0.0625,-39
0.06640625,-43
0.0703125,-39
0.07421875,-25
0.078125,-3
0.08203125,23
0.0859375,45
0.08984375,52
0.09375,44
0.09765625,34
0.1015625,32
0.10546875,35
0.109375,37
0.11328125,38
0.1171875,38
0.12109375,32
0.125,22
0.12890625,12
0.1328125,8
0.13671875,9
0.140625,15
0.14453125,23
0.1484375,33
0.15234375,42
0.15625,37
0.16015625,14
0.1640625,-15
0.16796875,-29
0.171875,-26
0.17578125,-13
0.1796875,1
0.18359375,9
0.1875,1
0.19140625,-19
0.1953125,-34
0.19921875,-31
0.203125,-10
0.20703125,12
0.2109375,28
0.21484375,37
0.21875,44
0.22265625,52
0.2265625,56
0.23046875,53
0.234375,42
0.23828125,25
0.2421875,8
0.24609375,-4
0.25,-8
0.25390625,-16
0.2578125,-35
0.26171875,-55
0.265625,-64
0.26953125,-59
0.2734375,-45
0.27734375,-25
0.28125,-7
0.28515625,-1
0.2890625,-8
0.29296875,-10
0.296875,5
0.30078125,29
0.3046875,46
0.30859375,49
0.3125,43
0.31640625,37
0.3203125,33
0.32421875,30
0.328125,25
0.33203125,16
0.3359375,-6
0.33984375,-41
0.34375,-73
0.34765625,-86
0.3515625,-83
0.35546875,-70
0.359375,-49
0.36328125,-22
0.3671875,5
0.37109375,23
0.375,29
0.37890625,25
0.3828125,13
0.38671875,-2
0.390625,-6
0.39453125,7
0.3984375,31
0.40234375,52
0.40625,60
0.41015625,51
0.4140625,25
0.41796875,-6
0.421875,-28
0.42578125,-36
0.4296875,-36
0.43359375,-31
0.4375,-24
0.44140625,-23
0.4453125,-28
0.44921875,-32
0.453125,-33
0.45703125,-33
0.4609375,-34
0.46484375,-31
0.46875,-26
0.47265625,-21
0.4765625,-15
0.48046875,2
0.484375,28
0.48828125,51
0.4921875,68
0.49609375,79
0.5,84
0.50390625,82
