Time,PG1
0.0,76
0.00390625,95
0.0078125,116
0.01171875,138
0.015625,158
0.01953125,171
0.0234375,170
0.02734375,150
0.03125,117
0.03515625,78
0.0390625,41
0.04296875,12
0.046875,-7
0.05078125,-22
0.0546875,-34
0.05859375,-40
0.0625,-38
0.06640625,-32
0.0703125,-24
0.07421875,-15
0.078125,-4
0.08203125,5
0.0859375,13
0.08984375,23
0.09375,34
0.09765625,37
0.1015625,31
0.10546875,18
0.109375,0
0.11328125,-22
0.1171875,-44
0.12109375,-62
0.125,-73
0.12890625,-77
0.1328125,-75
0.13671875,-68
0.140625,-64
0.14453125,-71
0.1484375,-87
0.15234375,-101
0.15625,-107
0.16015625,-101
0.1640625,-82
0.16796875,-55
0.171875,-29
0.17578125,-9
0.1796875,6
0.18359375,15
0.1875,12
0.19140625,-4
0.1953125,-30
0.19921875,-62
0.203125,-89
0.20703125,-101
0.2109375,-93
0.21484375,-70
0.21875,-43
0.22265625,-19
0.2265625,-1
0.23046875,8
0.234375,6
0.23828125,-4
0.2421875,-17
0.24609375,-32
0.25,-46
0.25390625,-55
0.2578125,-53
0.26171875,-42
0.265625,-26
0.26953125,-9
0.2734375,9
0.27734375,22
0.28125,28
0.28515625,27
0.2890625,22
0.29296875,11
0.296875,-6
0.30078125,-25
0.3046875,-43
0.30859375,-59
0.3125,-71
0.31640625,-77
0.3203125,-78
0.32421875,-74
0.328125,-70
0.33203125,-64
0.3359375,-55
0.33984375,-43
0.34375,-32
0.34765625,-22
0.3515625,-13
0.35546875,-5
0.359375,-1
0.36328125,-5
0.3671875,-12
0.37109375,-18
0.375,-25
0.37890625,-38
0.3828125,-55
0.38671875,-70
0.390625,-80
0.39453125,-84
0.3984375,-73
0.40234375,-48
0.40625,-16
0.41015625,11
0.4140625,27
0.41796875,32
0.421875,27
0.42578125,15
0.4296875,6
0.43359375,8
0.4375,22
0.44140625,40
0.4453125,54
0.44921875,58
0.453125,51
0.45703125,37
0.4609375,20
0.46484375,9
0.46875,8
0.47265625,13
0.4765625,18
0.48046875,22
0.484375,25
0.48828125,23
0.4921875,13
0.49609375,0
0.5,-6
0.50390625,-2
0.5078125,9
0.51171875,22
0.515625,33
0.51953125,39
0.5234375,39
0.52734375,36
0.53125,35
0.53515625,36
0.5390625,36
0.54296875,29
0.546875,13
0.55078125,-7
0.5546875,-28
0.55859375,-45
0.5625,-53
0.56640625,-46
0.5703125,-26
0.57421875,-4
0.578125,11
0.58203125,13
0.5859375,2
0.58984375,-17
0.59375,-36
0.59765625,-45
0.6015625,-43
0.60546875,-33
0.609375,-16
0.61328125,9
0.6171875,36
0.62109375,57
0.625,64
0.62890625,57
0.6328125,43
0.63671875,27
0.640625,19
0.64453125,23
0.6484375,34
0.65234375,40
0.65625,32
0.66015625,14
0.6640625,-8
0.66796875,-29
0.671875,-42
0.67578125,-42
0.6796875,-36
0.68359375,-29
0.6875,-20
0.69140625,-7
0.6953125,10
0.69921875,28
0.703125,44
0.70703125,55
0.7109375,58
0.71484375,55
0.71875,49
0.72265625,44
0.7265625,42
0.73046875,35
0.734375,19
0.73828125,-2
0.7421875,-25
0.74609375,-46
0.75,-63
0.75390625,-68
0.7578125,-66
0.76171875,-64
0.765625,-66
0.76953125,-63
0.7734375,-52
0.77734375,-35
0.78125,-15
0.78515625,5
0.7890625,20
0.79296875,24
0.796875,18
0.80078125,7
0.8046875,-2
0.80859375,-10
0.8125,-15
0.81640625,-14
0.8203125,-3
0.82421875,15
0.828125,27
0.83203125,27
0.8359375,14
0.83984375,-6
0.84375,-28
0.84765625,-39
0.8515625,-35
0.85546875,-22
0.859375,-12
0.86328125,-10
0.8671875,-14
0.87109375,-18
0.875,-10
0.87890625,17
0.8828125,51
0.88671875,74
0.890625,80
0.89453125,71
0.8984375,54
0.90234375,36
0.90625,29
0.91015625,33
0.9140625,35
0.91796875,26
0.921875,9
0.92578125,-6
0.9296875,-12
0.93359375,-11
0.9375,-3
0.94140625,6
0.9453125,15
0.94921875,18
0.953125,19
0.95703125,20
0.9609375,20
0.96484375,15
0.96875,5
0.97265625,-5
0.9765625,-11
0.98046875,-14
0.984375,-15
0.98828125,-13
0.9921875,-7
0.99609375,2
1.0,11
1.00390625,17
1.0078125,17
1.01171875,8
1.015625,-8
1.01953125,-25
1.0234375,-37
1.02734375,-37
1.03125,-27
